# trial, microseconds
0,1189
1,121
2,108
3,107
4,107
5,106
6,125
7,107
8,107
9,107
10,105
11,104
12,115
13,105
14,104
15,104
16,105
17,105
18,119
19,105
20,104
21,105
22,104
23,104
24,104
25,106
26,105
27,105
28,104
29,104
30,105
31,120
32,105
33,105
34,103
35,104
36,104
37,117
38,106
39,105
40,104
41,105
42,105
43,117
44,105
45,104
46,104
47,105
48,103
49,104
50,106
51,104
52,104
53,104
54,105
55,105
56,106
57,105
58,104
59,104
60,104
61,104
62,117
63,104
64,114
65,104
66,104
67,104
68,117
69,104
70,107
71,104
72,103
73,104
74,120
75,104
76,105
77,103
78,104
79,104
80,104
81,106
82,105
83,103
84,102
85,104
86,105
87,116
88,104
89,104
90,104
91,105
92,103
93,119
94,105
95,104
96,104
97,104
98,103
99,119
100,105
101,104
102,104
103,105
104,105
105,104
106,106
107,104
108,104
109,105
110,103
111,102
112,128
113,104
114,104
115,104
116,104
117,102
118,120
119,105
120,105
121,102
122,103
123,106
124,119
125,105
126,106
127,105
128,105
129,103
130,103
131,105
132,105
133,103
134,103
135,105
136,105
137,119
138,104
139,104
140,104
141,105
142,103
143,116
144,105
145,104
146,105
147,103
148,104
149,118
150,105
151,101
152,104
153,103
154,104
155,104
156,107
157,104
158,103
159,105
160,105
161,105
162,145
163,105
164,105
165,105
166,105
167,104
168,119
169,105
170,105
171,105
172,104
173,104
174,118
175,105
176,105
177,105
178,105
179,104
180,120
181,105
182,105
183,104
184,105
185,105
186,116
187,106
188,104
189,104
190,105
191,105
192,106
193,106
194,105
195,105
196,104
197,105
198,105
199,116
200,106
201,104
202,105
203,105
204,103
205,120
206,105
207,104
208,104
209,105
210,104
211,145
212,105
213,103
214,102
215,103
216,105
217,121
218,105
219,103
220,105
221,105
222,104
223,105
224,105
225,104
226,105
227,104
228,105
229,102
230,121
231,105
232,104
233,104
234,105
235,102
236,118
237,105
238,105
239,104
240,105
241,104
242,118
243,106
244,105
245,104
246,103
247,104
248,106
249,109
250,105
251,105
252,105
253,103
254,105
255,118
256,106
257,105
258,105
259,105
260,103
261,140
262,105
263,106
264,104
265,105
266,105
267,117
268,105
269,104
270,104
271,104
272,104
273,121
274,106
275,104
276,105
277,104
278,106
279,105
280,107
281,104
282,105
283,103
284,105
285,103
286,118
287,106
288,104
289,104
290,105
291,104
292,117
293,105
294,105
295,105
296,105
297,105
298,311
299,107
300,104
301,104
302,105
303,120
304,105
305,105
306,105
307,105
308,103
309,104
310,107
311,105
312,106
313,104
314,104
315,104
316,106
317,104
318,105
319,103
320,108
321,102
322,118
323,105
324,105
325,105
326,104
327,105
328,123
329,104
330,104
331,104
332,104
333,104
334,118
335,105
336,104
337,105
338,104
339,104
340,105
341,103
342,104
343,105
344,104
345,104
346,105
347,105
348,104
349,102
350,103
351,105
352,105
353,119
354,104
355,103
356,104
357,104
358,104
359,144
360,106
361,104
362,105
363,105
364,104
365,119
366,105
367,105
368,105
369,105
370,104
371,103
372,106
373,104
374,106
375,104
376,105
377,105
378,123
379,105
380,104
381,105
382,104
383,102
384,120
385,105
386,105
387,105
388,105
389,104
390,117
391,105
392,105
393,105
394,105
395,105
396,105
397,106
398,105
399,108
400,107
401,105
402,104
403,104
404,106
405,105
406,105
407,104
408,104
409,139
410,106
411,105
412,105
413,105
414,105
415,116
416,105
417,104
418,105
419,104
420,106
421,119
422,104
423,105
424,105
425,105
426,105
427,105
428,105
429,104
430,105
431,105
432,105
433,105
434,112
