# trial, microseconds
0,1333
1,87
2,82
3,78
4,79
5,80
6,94
7,78
8,80
9,81
10,79
11,77
12,78
13,113
14,79
15,79
16,78
17,76
18,79
19,76
20,79
21,81
22,78
23,79
24,80
25,76
26,79
27,78
28,91
29,80
30,76
31,76
32,78
33,79
34,76
35,77
36,81
37,79
38,79
39,76
40,77
41,76
42,76
43,93
44,79
45,77
46,78
47,79
48,79
49,77
50,77
51,81
52,78
53,78
54,78
55,76
56,78
57,79
58,92
59,78
60,77
61,78
62,78
63,78
64,82
65,78
66,78
67,78
68,77
69,76
70,77
71,78
72,79
73,93
74,79
75,79
76,79
77,78
78,77
79,78
80,77
81,82
82,76
83,77
84,78
85,76
86,78
87,78
88,92
89,79
90,78
91,76
92,78
93,78
94,78
95,77
96,80
97,78
98,78
99,79
100,79
101,77
102,79
103,90
104,76
105,79
106,79
107,77
108,79
109,78
110,78
111,79
112,76
113,79
114,78
115,76
116,78
117,78
118,91
119,77
120,80
121,78
122,78
123,78
124,78
125,79
126,76
127,76
128,78
129,77
130,78
131,78
132,77
133,103
134,78
135,79
136,81
137,78
138,79
139,77
140,76
141,78
142,79
143,79
144,80
145,79
146,77
147,80
148,94
149,76
150,80
151,77
152,79
153,79
154,76
155,77
156,79
157,79
158,77
159,77
160,76
161,78
162,78
163,96
164,78
165,78
166,76
167,78
168,78
169,78
170,78
171,83
172,79
173,78
174,79
175,76
176,79
177,78
178,91
179,83
180,78
181,78
182,79
183,79
184,78
185,89
186,80
187,78
188,78
189,78
190,76
191,77
192,79
193,81
194,79
195,78
196,78
197,79
198,77
199,78
200,93
201,79
202,77
203,78
204,78
205,78
206,77
207,78
208,79
209,79
210,78
211,76
212,78
213,79
214,80
215,97
216,79
217,77
218,79
219,78
220,76
221,77
222,79
223,79
224,78
225,78
226,76
227,78
228,78
229,78
230,92
231,77
232,79
233,78
234,78
235,78
236,80
237,79
238,83
239,78
240,78
241,76
242,78
243,77
244,78
245,95
246,79
247,79
248,80
249,83
250,78
251,77
252,79
253,77
254,76
255,80
256,76
257,78
258,77
259,76
260,93
261,78
262,76
263,77
264,79
265,79
266,77
267,78
268,79
269,77
270,76
271,78
272,78
273,80
274,76
275,94
276,77
277,78
278,79
279,78
280,78
281,76
282,78
283,79
284,78
285,75
286,76
287,79
288,78
289,77
290,92
291,79
292,80
293,79
294,78
295,78
296,77
297,78
298,85
299,79
300,78
301,76
302,78
303,78
304,76
305,97
306,78
307,75
308,79
309,80
310,79
311,76
312,80
313,81
314,78
315,78
316,79
317,78
318,78
319,78
320,98
321,77
322,78
323,78
324,78
325,78
326,78
327,88
328,79
329,78
330,78
331,79
332,79
333,78
334,78
335,96
336,77
337,76
338,78
339,78
340,76
341,79
342,79
343,78
344,76
345,79
346,78
347,77
348,79
349,78
350,94
351,78
352,79
353,78
354,78
355,77
356,77
357,76
358,79
359,78
360,78
361,77
362,76
363,78
364,79
365,92
366,78
367,78
368,79
369,77
370,78
371,76
372,75
373,79
374,78
375,78
376,79
377,78
378,78
379,78
380,93
381,79
382,78
383,78
384,78
385,78
386,78
387,90
388,79
389,77
390,78
391,79
392,79
393,78
394,78
395,94
396,78
397,78
398,76
399,79
400,76
401,79
402,88
403,79
404,78
405,78
406,78
407,79
408,79
409,81
410,96
411,76
412,78
413,77
414,78
415,78
416,78
417,78
418,79
419,80
420,78
421,79
422,78
423,78
424,79
425,95
426,75
427,76
428,79
429,78
430,76
431,76
432,78
433,79
434,78
435,80
436,78
437,76
438,78
439,77
440,92
