# trial, us for 1000 calls
0, 156918
1, 157062
2, 156619
3, 157088
4, 156630
5, 155896
6, 155781
7, 166148
8, 176572
9, 176812
10, 176668
11, 176632
12, 160252
13, 156500
14, 156674
15, 155486
16, 155413
17, 163445
18, 176094
19, 176300
20, 178157
21, 178633
22, 178357
23, 178468
24, 178313
25, 178546
26, 178426
27, 178821
28, 178560
29, 178534
30, 178601
31, 178478
32, 178277
33, 177992
34, 177711
35, 163251
36, 155387
37, 155328
38, 155236
39, 155237
40, 176060
41, 168607
42, 156742
43, 156805
44, 156807
45, 158976
46, 156845
47, 156667
48, 156194
49, 155767
50, 155547
51, 155743
52, 155695
53, 155963
54, 155623
55, 155926
56, 155578
57, 155624
58, 155618
59, 155525
60, 155510
61, 155147
62, 154958
63, 164881
64, 169196
65, 169070
66, 168232
67, 156252
68, 156330
69, 156062
70, 155837
71, 156817
72, 155819
73, 157943
74, 156141
75, 155703
76, 155981
77, 155940
78, 155736
79, 156059
80, 156150
81, 155932
82, 155984
83, 159865
84, 156418
85, 156195
86, 155969
87, 156006
88, 156018
89, 155612
90, 155615
91, 155974
92, 155871
93, 157951
94, 156029
95, 155914
96, 160342
97, 169471
98, 166244
99, 156317
