# trial, latency
0,2429
1,278
2,263
3,243
4,236
5,235
6,261
7,235
8,234
9,231
10,243
11,235
12,232
13,232
14,231
15,277
16,234
17,231
18,233
19,249
20,232
21,232
22,232
23,268
24,234
25,230
26,230
27,245
28,232
29,231
30,230
31,242
32,231
33,230
34,231
35,232
36,246
37,231
38,230
39,230
40,246
41,230
42,230
43,232
44,242
45,232
46,232
47,231
48,242
49,232
50,232
51,232
52,242
53,231
54,231
55,232
56,231
57,249
58,231
59,231
60,231
61,245
62,232
63,241
64,233
65,245
66,230
67,230
68,228
69,242
70,231
71,229
72,231
73,230
74,231
75,230
76,231
77,230
78,245
79,231
80,232
81,231
82,244
83,232
84,232
85,231
86,245
87,233
88,230
89,233
90,245
91,230
92,230
93,231
94,233
95,247
96,231
97,231
98,230
99,245
100,230
101,232
102,231
103,245
104,232
105,230
106,307
107,263
108,249
109,248
110,231
111,251
112,232
113,230
114,231
115,244
116,233
117,231
118,233
119,243
120,230
121,230
122,230
123,231
124,247
125,231
126,230
127,232
128,249
129,230
130,231
131,230
132,249
133,231
134,230
135,231
136,245
137,234
138,231
139,229
140,243
141,232
142,230
143,230
144,230
145,245
146,231
147,231
148,231
149,270
150,232
151,230
152,232
153,246
154,233
155,230
156,229
157,247
158,231
159,230
160,230
161,230
162,249
163,231
164,230
165,231
166,247
167,230
168,229
169,230
170,244
171,233
172,230
173,229
174,250
175,231
176,232
177,230
178,245
179,233
180,230
181,231
182,228
183,245
184,231
185,230
186,230
187,244
188,231
189,230
190,230
191,246
192,231
193,231
194,231
195,245
196,231
197,231
198,231
199,230
200,245
201,231
202,230
203,232
204,248
205,231
206,232
207,229
208,242
209,232
210,231
211,231
212,245
213,232
214,231
215,230
216,241
217,231
218,233
219,231
220,231
221,244
222,230
223,230
224,231
225,244
226,230
227,231
228,231
229,245
230,232
231,231
232,231
233,243
234,232
235,232
236,230
237,231
238,245
239,230
240,231
241,231
242,245
243,230
244,231
245,231
246,246
247,230
248,230
249,231
250,246
251,231
252,232
253,232
254,244
255,233
256,231
257,232
258,231
259,245
260,229
261,230
262,230
263,244
264,233
265,230
266,230
267,246
268,231
269,230
270,231
271,244
272,231
273,230
274,232
275,233
276,247
277,231
278,232
279,230
280,245
281,231
282,232
283,231
284,245
285,231
286,231
287,230
288,243
289,231
290,230
291,230
292,242
293,233
294,231
295,230
296,231
297,244
298,229
299,230
300,230
301,245
302,231
303,231
304,232
305,245
306,231
307,230
308,231
309,244
310,231
311,231
312,231
313,231
314,248
315,231
316,230
317,231
318,244
319,243
320,233
321,231
322,244
323,231
324,229
325,229
326,243
327,231
328,231
329,230
330,242
331,232
332,230
333,229
334,229
335,246
336,231
337,229
338,230
339,244
340,231
341,231
342,231
343,245
344,230
345,232
346,230
347,240
348,231
349,230
350,232
351,232
352,246
353,230
354,231
355,230
356,244
357,232
358,230
359,231
360,244
361,231
362,230
363,232
364,245
365,231
366,230
367,230
368,230
369,244
370,230
371,231
372,230
373,244
374,231
375,231
376,229
377,242
378,230
379,230
380,229
381,243
382,233
383,231
384,231
385,243
386,231
387,231
388,231
389,231
390,246
391,230
392,230
393,230
394,245
395,232
396,232
397,232
398,246
399,232
400,232
401,231
402,243
403,231
404,231
405,230
406,231
407,245
408,229
409,230
410,231
411,246
412,232
413,230
414,230
415,245
416,230
417,230
418,231
419,263
420,233
421,231
422,232
423,243
424,231
425,230
426,231
427,231
428,244
429,231
430,230
431,231
432,244
433,232
434,231
435,231
436,243
437,232
438,232
439,230
440,241
441,233
442,231
443,232
444,230
445,247
446,230
447,232
448,233
449,244
450,230
451,230
452,231
453,244
454,231
455,229
456,230
457,244
458,233
459,231
460,231
461,244
462,232
463,229
464,230
465,232
466,245
467,231
468,230
469,246
470,251
471,232
472,230
473,230
474,243
475,233
476,230
477,232
478,242
479,232
480,229
481,229
482,230
483,244
484,230
485,230
486,230
487,252
488,232
489,232
490,230
491,245
492,232
493,230
494,230
495,244
496,231
497,230
498,231
499,242
500,231
501,230
502,230
503,231
504,244
505,231
506,231
507,231
508,244
509,231
510,230
511,232
512,245
513,233
514,230
515,229
516,243
517,230
518,231
519,231
520,230
521,251
522,230
523,230
524,239
525,245
526,230
527,230
528,231
529,246
530,229
531,231
532,231
533,244
534,231
535,231
536,231
537,245
538,232
539,231
540,232
541,242
542,232
543,231
544,230
545,232
546,245
547,231
548,230
549,229
550,245
551,232
552,230
553,230
554,244
555,232
556,231
557,229
558,244
559,231
560,229
561,229
562,231
563,244
564,231
565,230
