# trial, latency
0, 315811
1, 149815
2, 76648
3, 75537
4, 75391
5, 90092
6, 75091
7, 75516
8, 75584
9, 75109
10, 75247
11, 75956
12, 75544
13, 75427
14, 76633
15, 75400
16, 75159
17, 77248
18, 75471
19, 76147
20, 75320
21, 75702
22, 75694
23, 75690
24, 75165
25, 104098
26, 75895
27, 76045
28, 74987
29, 75593
30, 75538
31, 75238
32, 75207
33, 75470
34, 75785
35, 75531
36, 75415
37, 75629
38, 75477
39, 75192
40, 75345
41, 75263
42, 75381
43, 75250
44, 75819
45, 75376
46, 75730
47, 75846
48, 75483
49, 75287
50, 75186
51, 75540
52, 75562
53, 75137
54, 75336
55, 75078
56, 75547
57, 75131
58, 75519
59, 75679
60, 75862
61, 75780
62, 75663
63, 75654
64, 75660
65, 75920
66, 75097
67, 75363
68, 75440
69, 75951
70, 75795
71, 75479
72, 75308
73, 76819
74, 75543
75, 75617
76, 75859
77, 76394
78, 75865
79, 75663
80, 75791
81, 75914
82, 75434
83, 75800
84, 75691
85, 75608
86, 75743
87, 76125
88, 75709
89, 75397
90, 75079
91, 75375
92, 75311
93, 76385
94, 76009
95, 75920
96, 75868
97, 75850
98, 75831
99, 75559
100, 75599
101, 75309
102, 75550
103, 75642
104, 76736
105, 76045
106, 75636
107, 75696
108, 75482
109, 76097
110, 75363
111, 76006
112, 75513
113, 75180
114, 75510
115, 75504
116, 75709
117, 75871
118, 75923
119, 75354
120, 75177
121, 76780
122, 76103
123, 74932
124, 76382
125, 75932
126, 76067
127, 75798
128, 75831
129, 77499
130, 76162
131, 75608
132, 75679
133, 76002
134, 75629
135, 75611
136, 76342
137, 76177
138, 75630
139, 75296
140, 75675
141, 75241
142, 75498
143, 75642
144, 74944
145, 75767
146, 76088
147, 75284
148, 76113
149, 75611
150, 75608
151, 75384
152, 75620
153, 75663
154, 76003
155, 76247
156, 75247
157, 75831
158, 75495
159, 75733
160, 79226
161, 75403
162, 75669
163, 75357
164, 75801
165, 75633
166, 75339
167, 75752
168, 75520
169, 75403
170, 76131
171, 75782
172, 75908
173, 75935
174, 75914
175, 75143
176, 75330
177, 75868
178, 75782
179, 75926
180, 75957
181, 75002
182, 75889
183, 75030
184, 99329
185, 75856
186, 75366
187, 75400
188, 75617
189, 76155
190, 75795
191, 75507
192, 75899
193, 75849
194, 75893
195, 75541
196, 75908
197, 75510
198, 74975
199, 75388
200, 75531
201, 75305
202, 75091
203, 75464
204, 75489
205, 75822
206, 75027
207, 74712
208, 75119
209, 75727
210, 75382
211, 75770
212, 75675
213, 75247
214, 74849
215, 75253
216, 75210
217, 75354
218, 75553
219, 75088
220, 75370
221, 74999
222, 75745
223, 76254
224, 75767
225, 75272
226, 75360
227, 114284
228, 75223
229, 75951
230, 75510
231, 74926
232, 75143
233, 75342
234, 75205
235, 75473
236, 75400
237, 75311
238, 75232
239, 75039
240, 75899
241, 79474
242, 75767
243, 75684
244, 76202
245, 76336
246, 76290
247, 76155
248, 76987
249, 75666
250, 76843
251, 75559
252, 76287
253, 75495
254, 75948
255, 76318
256, 75948
257, 76409
258, 76804
259, 76526
260, 76370
261, 76189
262, 76040
263, 76235
264, 76300
265, 76247
266, 76058
267, 76156
268, 76092
269, 75630
270, 76088
271, 75914
272, 76100
273, 75648
274, 76048
275, 76492
276, 76156
277, 75819
278, 76122
279, 76284
280, 76183
281, 75954
282, 75807
283, 75559
284, 75718
285, 76021
286, 76195
287, 76281
288, 76348
289, 76063
290, 76449
291, 76379
292, 75969
293, 75813
294, 95805
295, 76339
296, 101926
297, 76623
298, 76241
299, 76617
300, 76012
301, 76211
302, 76116
303, 76373
304, 76311
305, 75984
306, 76336
307, 75712
308, 76262
309, 76379
310, 75890
311, 76119
312, 75556
313, 75954
314, 76107
315, 75476
316, 75945
317, 75938
318, 76030
319, 76370
320, 75553
321, 75914
322, 76290
323, 76036
324, 76140
325, 75743
326, 75935
327, 75825
328, 75168
329, 75428
330, 75877
331, 75908
332, 75914
333, 76165
334, 76174
335, 76168
336, 75315
337, 75877
338, 75694
339, 76226
340, 75434
341, 75960
342, 75969
343, 75773
344, 76238
345, 76278
346, 75966
347, 75755
348, 76269
349, 75853
350, 76361
351, 75633
352, 77030
353, 116672
354, 78850
355, 76560
356, 76198
357, 76354
358, 75758
359, 76593
360, 95252
361, 77437
362, 76816
363, 76199
364, 76627
365, 76978
366, 76697
367, 76663
368, 76131
369, 76048
370, 76492
371, 76700
372, 76773
373, 76211
374, 76785
375, 76403
376, 76792
377, 76514
378, 76728
379, 76774
380, 76226
381, 76376
382, 78156
383, 76419
384, 76663
385, 75810
386, 76171
387, 75329
388, 76406
389, 76070
390, 75865
391, 76266
392, 76058
393, 76217
394, 76263
395, 76271
396, 75914
397, 76015
398, 76385
399, 75743
400, 76161
401, 75926
402, 76153
403, 76510
404, 76118
405, 76116
406, 75920
407, 78569
408, 75730
409, 75522
410, 76186
411, 75590
412, 76030
413, 75889
414, 75532
415, 76174
416, 76507
417, 75156
418, 75464
419, 75770
420, 75944
421, 75030
422, 75468
423, 75366
424, 75657
425, 75345
426, 95050
427, 76820
428, 76052
429, 75871
430, 75859
431, 76241
432, 76636
433, 77009
434, 76566
435, 76272
436, 75751
437, 76232
438, 76400
439, 76639
440, 76180
441, 76617
442, 76336
443, 76070
444, 76112
445, 76070
446, 76156
447, 76222
448, 76431
449, 76168
450, 75504
451, 75553
452, 75513
453, 76165
454, 75596
455, 75687
456, 76355
457, 76137
458, 76480
459, 75767
460, 76370
461, 76510
462, 101382
463, 76684
464, 76137
465, 76303
466, 77122
467, 75709
468, 76119
469, 75614
470, 76094
471, 75972
472, 75758
473, 76483
474, 75608
475, 76467
476, 76000
477, 76336
478, 76027
479, 76330
480, 76339
481, 76204
482, 76137
483, 76416
484, 76101
485, 76354
486, 76244
487, 75684
488, 75846
489, 76018
490, 75779
491, 76027
492, 76725
493, 93282
494, 76758
495, 76927
496, 76030
497, 76109
498, 76605
499, 76517
500, 75908
501, 76030
502, 76146
503, 76700
504, 76336
505, 76045
506, 76070
507, 76782
508, 76752
509, 76428
510, 76263
511, 75880
512, 76125
513, 76002
514, 76336
515, 76210
516, 76476
517, 75773
518, 158062
519, 77275
520, 76412
521, 76407
522, 76557
523, 76091
524, 76523
525, 76483
526, 76309
527, 106868
528, 73778
529, 74247
530, 73573
531, 73787
532, 73471
533, 73546
534, 73641
535, 73487
536, 73121
537, 73329
538, 73820
539, 73721
540, 73840
541, 72815
542, 73540
543, 73816
544, 73679
545, 73403
546, 73674
547, 73543
548, 73459
549, 72933
550, 73647
551, 73585
552, 73486
553, 73516
554, 73549
555, 73483
556, 73608
557, 73569
558, 73805
559, 73469
560, 74125
561, 77929
562, 74212
563, 73825
564, 73745
565, 73554
566, 73775
567, 73400
568, 73305
569, 73596
570, 74155
571, 73721
572, 73736
573, 74291
574, 73459
575, 107288
576, 73341
577, 73852
578, 73424
579, 74084
580, 73302
581, 73290
582, 73270
583, 73388
584, 73481
585, 73531
586, 73629
587, 73546
588, 73457
589, 73290
590, 73680
591, 73368
592, 73124
593, 73198
594, 73840
595, 73754
596, 73124
597, 73483
598, 73397
599, 73344
600, 73513
601, 73343
602, 73626
603, 73558
604, 73772
605, 73296
606, 73373
607, 73525
608, 73534
609, 73314
610, 73264
611, 73266
612, 73849
613, 73299
614, 73653
615, 73525
616, 73522
617, 73216
618, 73186
619, 73385
620, 73246
621, 72854
622, 73068
623, 73341
624, 73326
625, 73406
626, 72975
627, 73210
628, 73385
