PAE,kmain(),after recv(),after send()
9492,16254,114996,214746
11487,17010,1275624,1341501
13881,20139,74592,157269
12663,19362,76440,195090
10479,17451,72975,187068
10521,16254,60270,155022
11991,18627,67473,188097
13293,20160,78603,212877
9219,16233,60039,145761
10836,16989,184170,227157
8799,15309,59913,145404
10563,16401,60396,141939
9009,15372,61803,146517
8631,13797,52689,124950
8925,15204,56217,142632
9975,16275,59808,150633
9555,9744,37821,108843
11697,11970,39459,93597
9429,9849,53844,124614
9219,9639,39039,109725
8505,8673,36876,103971
9408,9723,38346,95424
10164,10353,39144,145236
9450,9849,39060,106344
9429,9597,38976,103488
14175,14469,132657,162225
9597,9996,38115,105882
9975,10164,40299,106722
9345,9534,41076,109809
10017,10206,36918,94290
10416,10794,37212,106113
8988,9366,38157,105315
8841,9009,37380,107856
34734,35049,67179,123585
9093,9513,38619,106995
9450,9849,37485,104538
8631,8820,38829,104076
8715,8904,46032,101724
9912,10101,37779,140595
10395,10815,40530,102228
9198,9597,36876,99729
12999,13398,143871,178269
10101,10479,39249,108150
9093,9261,37506,102375
9156,9555,38136,104307
9240,9429,36939,90384
8694,8862,33789,107184
9072,9450,36309,98742
9072,9261,38451,104118
10038,10311,37212,86835
8799,9198,36036,98511
8022,8211,91959,153531
8673,9093,39018,99624
8862,9345,36582,90909
9219,9597,37737,151641
9681,10101,38808,98133
8568,8757,36435,94353
12663,13062,872445,909573
8547,8967,1265796,1327536
8673,8841,40614,102648
9114,9576,38178,99771
9429,9618,35469,90216
8715,8883,632037,692643
8337,8715,126021,184086
10185,10395,38514,102669
10290,10857,117621,162561
9639,10080,176610,232323
8274,8463,34272,95508
9051,9450,40068,102459
8757,8946,36267,90741
8946,9135,111951,174216
9471,10857,38997,96642
9429,9618,37359,96054
12936,13209,141708,173628
8484,8673,225645,286146
8106,8295,248682,307608
9744,10227,611373,671601
14049,14343,119532,207417
8799,9177,35763,97461
8589,8988,609252,666960
8589,8778,141162,198534
10059,10353,36057,86058
8211,8631,620319,679371
8589,8757,128751,189084
8253,8421,37506,97671
10269,10605,39774,98028
8568,8967,37233,169743
8316,8757,36981,96264
8589,8988,36792,97629
13608,13902,134526,168084
8883,9051,122199,181923
8673,8883,130389,190386
8421,8610,36792,98532
9240,9429,36372,89859
8799,9009,109641,172368
8610,8778,114765,170436
8610,8799,124719,187047
13419,13734,43113,96033
7770,8232,116361,172116
9177,9345,129738,189777
8589,8778,37065,96726
8631,8799,36372,89355
19803,20202,68187,143640
8232,8421,36015,94542
8190,8589,35469,91938
12285,12579,128310,160839
8547,8967,116949,174006
8547,8736,127596,184527
8673,9072,37359,94563
8904,9072,33201,86205
9303,9765,35112,88872
8274,8442,619500,676998
8463,8631,138558,197316
13398,14427,45045,102081
8694,9135,122451,178437
9366,9534,131292,191856
8673,8862,39312,99078
8694,8967,607194,659526
8106,8295,136500,196644
7875,8043,35658,93282
8820,8988,36498,92337
14091,14385,284760,318759
8652,8820,36981,102543
9912,10080,38976,97251
8757,9156,38073,99729
7875,8064,33033,85449
8337,8526,34566,96264
9072,9261,37338,96726
7896,8085,35574,111237
10290,11172,649614,697704
9198,9576,603792,663117
7938,8127,34986,106764
7539,7728,165963,222285
8484,8673,35133,88095
8253,8463,34566,152964
8757,8946,84567,144795
8505,8925,36351,94416
11676,11970,136962,170037
8925,9324,198849,257775
9639,9807,167685,222222
8337,8757,108906,166047
7812,8022,126945,177681
7875,8064,33600,91056
7308,7476,35868,94605
8253,8505,36330,97062
10878,11172,37443,87234
7728,8148,122661,180579
7245,7413,134337,192171
7476,7686,36561,97545
8274,8547,35679,87570
8463,8841,48006,104055
8043,8463,243621,297738
8106,8295,262500,318381
12705,12999,125916,157248
8757,9156,177114,234906
7917,8106,34839,90993
8736,9156,113967,170688
7371,7581,126210,174363
8085,8463,34524,93429
8169,8337,36225,92904
8211,8400,167160,223314
10815,11088,37485,85869
7959,8379,117558,174573
7476,7665,131250,188937
8190,8379,36204,96096
8883,9093,643461,696360
8169,8547,151053,212226
7245,7413,100338,153846
7413,7581,121863,177576
12873,13209,205212,236796
7434,7833,35805,96600
8589,8757,35112,91308
7833,8253,35763,96537
7413,7623,133014,180621
8400,8568,134463,192654
7350,7539,618051,673092
7245,7434,140028,200844
10584,10857,36939,86856
7497,7896,2450070,2507883
7917,8106,1413531,1469475
7056,7245,1436127,1493898
10164,10479,1373001,1437177
8400,8778,60102,135618
8148,8526,35889,93597
7770,7959,36120,95025
15372,15666,245070,278019
7476,7665,793674,849534
7665,7854,35196,92757
8547,8946,35931,96369
9303,10122,37338,101388
8841,9030,128520,197022
8421,8589,155589,210924
8463,8652,258657,313593
14049,14364,77490,137235
8610,9051,36645,100968
7518,7707,106512,163548
8715,8904,36288,96075
9828,10143,113043,168147
8925,9303,139188,200004
8505,8694,99960,156933
8253,8421,95046,152418
13566,13860,126042,157920
8106,8526,122808,179193
7623,7812,138789,198744
7308,7728,106386,167223
7371,7560,31290,80157
8253,8421,35007,95970
8001,8169,37107,95613
7896,8085,121212,178143
13566,13860,139860,195531
