# trial, latency
0,1943844
1,1943844
2,1841721
3,1858269
4,1835001
5,1931307
6,1875342
7,1814127
8,1806840
9,1935759
10,1810914
11,1813665
12,1843422
13,1842834
14,1834581
15,1806000
16,1839159
17,1837080
18,1817739
19,1832418
20,1819188
21,1813581
22,1815072
23,1840923
24,1858332
25,1831515
26,1809486
27,1844283
28,1866669
29,1798356
30,1800624
31,1827042
32,1874145
33,1817130
34,1814001
35,1817382
36,1841763
37,1837983
38,1810683
39,1830549
40,1862049
41,1831305
42,1820154
43,1793904
44,1831179
45,1794597
46,1833111
47,1811166
48,1828197
49,1819902
50,1798566
51,1845900
52,1841679
53,1790817
54,1825572
55,1872423
56,1866438
57,1822191
58,1841574
59,1824249
60,1861524
61,1820973
62,1794219
63,1841028
64,1887879
65,1822338
66,1811586
67,1809465
68,1834980
69,1823955
70,1810053
71,1857492
72,1841238
73,1833573
74,1814505
75,1798797
76,1834896
77,1799091
78,1833111
79,1821141
80,1830969
81,1803627
82,1822485
83,1850436
84,1821918
85,1798041
86,1815786
87,1859802
88,1818495
89,1832964
90,1818516
91,1858710
92,1840293
93,1810725
94,1838277
95,1855917
96,1824333
97,1803186
98,1813413
99,1828176
100,1800624
101,1836429
102,1843275
103,1823115
104,1802262
105,1825593
106,1830885
107,1818915
108,1801107
109,1809969
110,1854132
111,1838046
112,1816416
113,1869231
114,1827021
115,1817676
116,1793799
117,1824732
118,1806294
119,1836009
120,1855224
121,1862322
122,1824165
123,1821834
124,1822569
125,1831620
126,1802220
127,1861860
128,1827105
129,1837668
130,1789347
131,1836387
132,1807785
133,1852410
134,1818600
135,1832838
136,1866837
137,1832985
138,1811565
139,1855728
140,1810410
141,1843716
142,1820616
143,1834245
144,1830717
145,1840608
146,1900857
147,1877694
148,1792056
149,1806987
150,1828806
151,1875027
152,1803060
153,1814736
154,1854783
155,1849113
156,1814463
157,1797285
158,1842372
159,1812090
160,1825278
161,1815870
162,1848336
163,1795353
164,1813728
165,1819062
166,1864506
167,1815135
168,1886451
169,1829814
170,1840797
171,1836009
172,1821120
173,1795668
174,1831788
175,1837857
176,1797873
177,1807575
178,1840209
179,1853313
180,1794597
181,1807218
182,1828575
183,1840083
184,1876812
185,1815786
186,1838907
187,1822359
188,1795983
189,1799301
190,1850415
191,1851318
192,1813476
193,1820301
194,1909593
195,1850331
196,1786827
197,1889538
198,1826139
199,1799154
200,1793505
201,1881180
202,1816290
203,1794345
204,1875195
205,1814505
206,1825992
207,1821561
208,1807974
209,1803879
210,1880844
211,1872150
212,1796613
213,1812447
214,1802052
215,1815744
216,1806882
217,1824858
218,1807428
219,1841700
220,1849071
221,1857198
222,1859571
223,1818033
224,1822128
225,1856694
226,1809780
227,1852725
228,1805727
229,1866522
230,1824375
231,1806777
232,1800183
233,1874628
234,1814379
235,1833741
236,1819608
237,1824270
238,1827672
239,1838067
240,1799427
241,1819062
242,1808709
243,1857282
244,1785294
245,1892751
246,1846257
247,1798608
248,1812783
249,1848357
250,1819587
251,1880361
252,1812930
253,1873284
254,1815954
255,1804362
256,1817382
257,1854090
258,1873137
259,1831431
260,1843443
261,1875888
262,1831956
263,1820364
264,1884246
265,1850982
266,1835337
267,1822065
268,1832712
269,1833951
270,1780989
271,1930089
272,1858962
273,1830045
274,1828386
275,1832775
276,1840335
277,1895943
278,1806903
279,1832754
280,1873452
281,1806525
282,1810368
283,1811313
284,1848273
285,1804572
286,1812636
287,1794492
288,1887585
289,1833783
290,1805622
291,1793358
292,1823640
293,1799763
294,1794681
295,1797957
296,1854783
297,1836177
298,1899744
299,1812510
300,1823388
301,1827378
302,1798230
303,1807953
304,1854384
305,1823997
306,1793778
307,1847244
308,1849470
309,1833699
310,1800162
311,1820385
312,1844325
313,1838907
314,1807575
315,1843254
316,1899135
317,1809696
318,1793253
319,1834182
320,1903188
321,1821330
322,1800204
323,1856988
324,1832880
325,1819776
326,1822926
327,1795122
328,1819146
329,1831914
330,1802199
331,1792224
332,1834581
333,1833426
334,1810830
335,1795899
336,1829604
337,1823346
338,1812636
339,1922235
340,1813329
341,1798839
342,1796445
343,1877841
344,1820763
345,1794828
346,1803375
347,1851087
348,1824438
349,1832628
350,1799091
351,1867110
352,1801716
353,1806084
354,1803207
355,1832103
356,1868307
357,1810977
358,1822170
359,1852368
360,1796109
361,1819020
362,1828239
363,1829751
364,1814211
365,1805748
366,1816437
367,1830612
368,1795416
369,1800771
370,1867782
371,1868328
372,1804068
373,1801884
374,1802178
375,1915389
376,1812468
377,1811082
378,1858416
379,1827966
380,1815912
381,1831851
382,1841910
383,1822065
384,1811754
385,1820364
386,1856064
387,1848882
388,1809234
389,1821309
390,1796088
391,1840692
392,1818873
393,1864674
394,1901109
395,1829835
396,1817004
397,1839348
398,1806567
399,1812951
400,1816353
401,1804635
402,1837773
403,1819419
404,1834728
405,1833468
406,1845774
407,1797264
408,1818075
409,1821204
410,1830612
411,1882062
412,1816752
413,1808352
414,1851822
415,1782690
416,1801002
417,1808163
418,1882755
419,1797243
420,1809801
421,1806798
422,1819041
423,1811544
424,1806462
425,1814946
426,1846467
427,1809465
428,1800078
429,1826496
430,1896321
431,1895712
432,1823178
433,1818285
434,1827966
435,1822695
436,1809801
437,1798587
438,1838991
439,1877736
440,1876077
441,1830339
442,1842624
443,1834833
444,1828806
445,1826496
446,1834140
447,1855581
448,1844199
449,1808016
450,1845711
451,1827210
452,1948464
453,1839474
454,1846719
455,1813077
456,1809906
457,1795080
458,1825005
459,1821582
460,1831893
461,1802199
462,1855749
463,1801758
464,1810725
465,1816710
466,1802304
467,1845627
468,1860936
469,1893234
470,1807050
471,1782081
472,1848693
473,1834476
474,1821078
475,1813224
476,1805853
477,1842540
478,1809528
479,1788192
