# trial, latency
0,3429
2,1146
4,11145
6,1072
8,1112
10,1027
12,1064
14,1083
16,1090
18,1118
20,3766
22,1082
24,1080
26,1099
28,1128
30,1119
32,1088
34,1148
36,6952
38,1053
40,1008
42,1067
44,1003
46,1661
48,1054
50,13504
52,995
54,977
56,1040
58,1028
60,1001
62,1001
64,996
66,1002
68,994
70,8269
72,1061
74,1023
76,1144
78,1072
80,1009
82,1255
84,1027
86,1018
88,1001
90,1007
92,1016
94,1455
96,1471
98,8559
100,1440
102,1464
104,1492
106,1427
108,1036
110,2707
112,1027
114,4877
116,12840
118,977
120,989
122,1043
124,992
126,1006
128,998
130,992
132,1018
134,1000
136,1055
138,1075
140,1045
142,1006
144,1018
146,1003
148,1006
150,1017
152,2346
154,1017
156,1090
158,1040
160,1040
162,1002
164,1074
166,1001
168,988
170,1006
172,5525
174,1000
176,1002
178,1022
180,2697
182,6133
184,3089
186,1043
188,1051
190,3535
192,1034
194,1048
196,1000
198,1061
200,1005
202,1035
204,1000
206,1062
208,992
210,1005
212,1002
214,1045
216,5546
218,1046
220,1198
222,1011
224,1017
226,6145
228,1046
230,996
232,1015
234,996
236,1042
238,1023
240,998
242,1013
244,2493
246,1041
248,1001
250,1011
252,1051
254,1075
256,8873
258,1018
260,1006
262,1083
264,991
266,1022
268,3304
270,1031
272,1008
274,1084
276,1037
278,5693
280,1096
282,1031
284,1003
286,2173
288,1047
290,1016
292,1187
294,10457
296,1047
298,1070
300,1022
302,1021
304,1012
306,996
308,1004
310,1077
312,7552
314,1011
316,1012
318,1144
320,1001
322,993
324,1019
326,994
328,7736
330,1042
332,1011
334,1020
336,1017
338,1040
340,1006
342,1047
344,1011
346,1012
348,1041
350,1015
352,1063
354,1000
356,1030
358,990
360,1026
362,1004
364,1052
366,990
368,1018
370,1000
372,1228
374,1073
376,1112
378,1428
380,7517
382,1278
384,1123
386,1029
388,1004
390,1113
392,1026
394,2520
396,5436
398,12833
400,992
402,978
404,1011
406,1006
408,1067
410,989
412,1008
414,1011
416,1010
418,7879
420,1062
422,1062
424,1147
426,1011
428,1004
430,987
432,994
434,1091
436,1093
438,1016
440,1018
442,974
444,1129
446,1049
448,3599
450,1450
452,4330
454,1082
456,1019
458,3577
460,1489
462,3568
464,2957
466,1490
468,3690
470,1047
472,4902
474,1031
476,8184
478,1169
480,1048
482,1000
484,1061
486,1020
488,1009
490,6757
492,1010
494,1003
496,1039
498,1010
500,7062
502,1106
504,1093
506,1020
508,1030
510,1043
512,1056
514,995
516,1024
518,1050
520,1039
522,1044
524,3021
526,1014
528,988
530,1019
532,992
534,1091
536,1042
538,1029
540,1038
542,1043
544,1018
546,2310
548,1106
550,1100
552,999
554,3595
556,1016
558,4931
560,1029
562,5049
564,1053
566,1038
568,4244
570,1042
572,993
574,10307
576,1033
578,8294
580,1092
582,1014
584,1311
586,1339
588,1335
590,1308
592,1343
594,1320
596,4697
598,1113
600,1039
602,1031
604,8722
606,1025
608,1017
610,1018
612,1015
614,1051
616,6301
618,1039
620,1013
622,1021
624,1030
626,1225
628,1325
630,3688
632,2859
634,2942
636,1085
638,1114
640,1034
642,1082
644,1010
646,1158
648,988
650,5347
652,1049
654,1041
656,1043
658,1022
660,1048
662,1036
664,16255
666,1091
668,1082
670,1059
672,1065
674,1097
676,1074
678,1006
680,1002
682,1030
684,1045
686,1050
688,1140
690,12145
692,1026
694,1072
696,1017
698,1017
700,1031
702,1015
704,1020
706,1036
708,1480
710,1567
712,1488
714,1447
716,1484
718,1398
720,1467
722,1513
724,1198
726,1120
728,1005
730,1119
732,9393
734,1075
736,1096
738,1165
740,1817
742,1466
744,1532
746,1121
748,1046
750,1011
752,5917
754,1012
756,1018
758,1052
760,2556
762,1029
764,1095
766,1126
768,1034
770,1035
772,1020
774,982
776,1054
778,1019
780,983
782,980
784,5677
786,989
788,1037
790,1006
792,5933
794,997
796,1041
798,1014
800,970
802,1019
804,1037
806,1022
808,2969
810,1037
812,977
814,990
816,944
818,1023
820,941
822,931
824,1013
826,997
828,1023
830,5921
832,1418
834,1049
836,992
838,1002
840,6188
842,1485
844,1390
846,3118
848,1166
850,3282
852,2629
854,1096
856,8011
858,1045
860,1013
862,1073
864,2229
866,1038
868,11465
870,993
872,988
874,1040
876,1005
878,1047
880,1024
882,1000
884,1025
886,3607
888,1081
890,1015
892,1096
894,998
896,8031
898,1014
900,1012
902,1026
904,1009
906,1148
908,1040
910,1004
912,1019
914,980
916,1006
918,1017
920,981
922,1026
924,990
926,988
928,1099
930,1002
932,1061
934,1082
936,999
938,1049
940,5194
942,1453
944,1417
946,1436
948,1426
950,8504
952,1092
954,1468
956,1505
958,1433
960,1140
962,1012
964,1050
966,1048
968,8076
970,1471
972,1431
974,1469
976,1570
978,1099
980,997
982,1002
984,987
986,7718
988,1444
990,1437
992,1434
994,1424
996,1137
998,1043
