# trial, microseconds
0, 44
1, 16
2, 15
3, 14
4, 14
5, 14
6, 13
7, 13
8, 14
9, 13
10, 13
11, 13
12, 13
13, 12
14, 13
15, 13
16, 13
17, 13
18, 13
19, 13
20, 13
21, 13
22, 13
23, 13
24, 13
25, 14
26, 14
27, 13
28, 13
29, 13
30, 13
31, 13
32, 13
33, 14
34, 13
35, 14
36, 14
37, 13
38, 13
39, 13
40, 13
41, 13
42, 13
43, 14
44, 13
45, 14
46, 13
47, 14
48, 13
49, 14
50, 13
51, 13
52, 12
53, 14
54, 13
55, 13
56, 13
57, 14
58, 13
59, 13
60, 14
61, 13
62, 13
63, 13
64, 13
65, 13
66, 12
67, 13
68, 13
69, 14
70, 13
71, 13
72, 13
73, 14
74, 13
75, 14
76, 14
77, 12
78, 13
79, 14
80, 14
81, 13
82, 13
83, 14
84, 13
85, 15
86, 13
87, 13
88, 14
89, 13
90, 13
91, 13
92, 13
93, 13
94, 12
95, 17
96, 13
97, 14
98, 14
99, 13
100, 13
101, 13
102, 13
103, 13
104, 13
105, 13
106, 15
107, 13
108, 14
109, 14
110, 13
111, 14
112, 14
113, 14
114, 13
115, 14
116, 13
117, 14
118, 13
119, 13
120, 13
121, 13
122, 14
123, 13
124, 13
125, 12
126, 13
127, 13
128, 13
129, 12
130, 13
131, 13
132, 14
133, 13
134, 13
135, 13
136, 14
137, 13
138, 13
139, 12
140, 14
141, 14
142, 14
143, 14
144, 13
145, 13
146, 14
147, 14
148, 13
149, 13
150, 13
151, 13
152, 13
153, 15
154, 13
155, 13
156, 13
157, 16
158, 13
159, 13
160, 13
161, 14
162, 15
163, 23
164, 14
165, 14
166, 14
167, 13
168, 14
169, 14
170, 13
171, 14
172, 13
173, 13
174, 14
175, 13
176, 13
177, 13
178, 13
179, 13
180, 13
181, 14
182, 14
183, 14
184, 13
185, 14
186, 14
187, 13
188, 14
189, 13
190, 13
191, 13
192, 15
193, 15
194, 14
195, 13
196, 13
197, 13
198, 13
199, 14
200, 13
201, 14
202, 14
203, 14
204, 13
205, 14
206, 13
207, 13
208, 13
209, 12
210, 13
211, 13
212, 13
213, 13
214, 13
215, 13
216, 13
217, 14
218, 13
219, 14
220, 13
221, 14
222, 13
223, 14
224, 22
225, 14
226, 14
227, 13
228, 13
229, 13
230, 13
231, 14
232, 13
233, 14
234, 13
235, 13
236, 14
237, 13
238, 13
239, 13
240, 13
241, 14
242, 13
243, 13
244, 14
245, 13
246, 13
247, 13
248, 13
249, 14
250, 13
251, 13
252, 14
253, 14
254, 14
255, 13
256, 13
257, 13
258, 13
259, 14
260, 14
261, 13
262, 14
263, 13
264, 13
265, 14
266, 13
267, 13
268, 14
269, 14
270, 12
271, 14
272, 14
273, 13
274, 13
275, 14
276, 13
277, 13
278, 13
279, 13
280, 13
281, 13
282, 13
283, 13
284, 13
285, 13
286, 13
287, 13
288, 13
289, 14
290, 14
291, 13
292, 13
293, 14
294, 13
295, 14
296, 13
297, 14
298, 13
299, 13
300, 13
301, 13
302, 13
303, 13
304, 13
305, 13
306, 14
307, 13
308, 13
309, 13
310, 14
311, 13
312, 13
313, 13
314, 14
315, 14
316, 14
317, 13
318, 13
319, 13
320, 15
321, 13
322, 13
323, 13
324, 13
325, 14
326, 14
327, 13
328, 13
329, 13
330, 13
331, 13
332, 13
333, 13
334, 13
335, 14
336, 15
337, 17
338, 19
339, 18
340, 15
341, 14
342, 14
343, 14
344, 13
345, 13
346, 14
347, 13
348, 13
349, 14
350, 13
351, 13
352, 14
353, 13
354, 17
355, 13
356, 14
357, 13
358, 14
359, 13
360, 14
361, 13
362, 13
363, 14
364, 13
365, 13
366, 13
367, 13
368, 13
369, 15
370, 14
371, 14
372, 14
373, 14
374, 13
375, 13
376, 13
377, 13
378, 13
379, 14
380, 14
381, 14
382, 14
383, 13
384, 13
385, 13
386, 13
387, 14
388, 13
389, 13
390, 13
391, 14
392, 13
393, 13
394, 13
395, 13
396, 13
397, 13
398, 14
399, 14
400, 13
401, 14
402, 14
403, 14
404, 14
405, 13
406, 13
407, 13
408, 14
409, 13
410, 14
411, 13
412, 14
413, 14
414, 13
415, 14
416, 13
417, 13
418, 14
419, 13
420, 13
421, 13
422, 14
423, 13
424, 14
425, 14
426, 15
427, 14
428, 13
429, 14
430, 13
431, 13
432, 14
433, 13
434, 13
435, 14
436, 13
437, 14
438, 14
439, 13
440, 14
441, 13
442, 13
443, 14
444, 13
445, 13
446, 13
447, 13
448, 13
449, 13
450, 13
451, 14
452, 13
453, 13
454, 14
455, 14
456, 14
457, 13
458, 13
459, 13
460, 14
461, 13
462, 13
463, 13
464, 13
465, 14
466, 13
467, 13
468, 13
469, 13
470, 14
471, 14
472, 13
473, 13
474, 13
475, 14
476, 13
477, 14
478, 13
479, 14
480, 14
481, 14
482, 13
483, 13
484, 14
485, 13
486, 14
487, 13
488, 13
489, 13
490, 13
491, 13
492, 13
493, 13
494, 13
495, 15
496, 13
497, 13
498, 13
499, 13
500, 13
501, 13
502, 13
503, 13
504, 13
505, 13
506, 14
507, 13
508, 14
509, 14
510, 13
511, 13
512, 13
513, 13
514, 13
515, 13
516, 14
517, 13
518, 13
519, 13
520, 13
521, 14
522, 13
523, 13
524, 13
525, 13
526, 13
527, 13
528, 13
529, 13
530, 13
531, 13
532, 14
533, 14
534, 12
535, 13
536, 13
537, 14
538, 13
539, 13
540, 14
541, 14
542, 13
543, 15
544, 15
545, 14
