# trial, microseconds
0, 3183
1, 82
2, 92
3, 73
4, 89
5, 74
6, 90
7, 74
8, 91
9, 74
10, 75
11, 89
12, 74
13, 91
14, 74
15, 89
16, 74
17, 88
18, 74
19, 74
20, 90
21, 73
22, 89
23, 73
24, 90
25, 74
26, 89
27, 73
28, 73
29, 89
30, 74
31, 88
32, 81
33, 91
34, 76
35, 91
36, 74
37, 75
38, 89
39, 76
40, 91
41, 74
42, 89
43, 76
44, 91
45, 74
46, 75
47, 94
48, 75
49, 89
50, 75
51, 91
52, 76
53, 92
54, 75
55, 75
56, 90
57, 75
58, 91
59, 75
60, 95
61, 76
62, 92
63, 78
64, 89
65, 92
66, 74
67, 90
68, 76
69, 93
70, 76
71, 93
72, 75
73, 75
74, 90
75, 75
76, 91
77, 75
78, 92
79, 75
80, 91
81, 74
82, 74
83, 97
84, 75
85, 95
86, 75
87, 100
88, 76
89, 101
90, 75
91, 75
92, 99
93, 75
94, 100
95, 76
96, 103
97, 77
98, 99
99, 76
100, 75
101, 96
102, 75
103, 98
104, 76
105, 96
106, 74
107, 93
108, 75
109, 74
110, 96
111, 76
112, 93
113, 75
114, 97
115, 75
116, 96
117, 74
118, 74
119, 92
120, 74
121, 97
122, 74
123, 91
124, 75
125, 97
126, 75
127, 76
128, 115
129, 75
130, 94
131, 74
132, 93
133, 75
134, 93
135, 75
136, 76
137, 93
138, 74
139, 95
140, 74
141, 92
142, 75
143, 94
144, 74
145, 74
146, 89
147, 74
148, 92
149, 76
150, 94
151, 75
152, 92
153, 75
154, 75
155, 92
156, 81
157, 90
158, 76
159, 92
160, 75
161, 95
162, 74
163, 73
164, 88
165, 74
166, 90
167, 73
168, 89
169, 73
170, 90
171, 73
172, 73
173, 89
174, 73
175, 88
176, 73
177, 92
178, 72
179, 89
180, 73
181, 74
182, 91
183, 73
184, 87
185, 73
186, 90
187, 73
188, 91
189, 72
190, 73
191, 88
192, 73
193, 93
194, 68
195, 89
196, 74
197, 91
198, 73
199, 74
200, 92
201, 73
202, 88
203, 73
204, 91
205, 73
206, 87
207, 73
208, 73
209, 90
210, 73
211, 90
212, 72
213, 88
214, 73
215, 91
216, 73
217, 73
218, 89
219, 73
220, 91
221, 73
222, 92
223, 73
224, 87
225, 74
226, 73
227, 97
228, 73
229, 88
230, 73
231, 91
232, 73
233, 90
234, 73
235, 72
236, 90
237, 73
238, 91
239, 73
240, 89
241, 73
242, 92
243, 73
244, 74
245, 94
246, 73
247, 89
248, 73
249, 93
250, 73
251, 90
252, 73
253, 72
254, 91
255, 72
256, 91
257, 73
258, 88
259, 72
260, 96
261, 74
262, 74
263, 88
264, 73
265, 90
266, 73
267, 91
268, 73
269, 89
270, 73
271, 73
272, 91
273, 73
274, 89
275, 73
276, 94
277, 73
278, 89
279, 72
280, 73
281, 87
282, 73
283, 89
284, 73
285, 86
286, 72
287, 91
288, 73
289, 72
290, 89
291, 73
292, 87
293, 72
294, 92
295, 73
296, 87
297, 74
298, 72
299, 89
300, 73
301, 90
302, 73
303, 86
304, 72
305, 90
306, 73
307, 73
308, 85
309, 73
310, 90
311, 74
312, 90
313, 72
314, 86
315, 72
316, 73
317, 90
318, 73
319, 93
320, 74
321, 88
322, 72
323, 91
324, 73
325, 73
326, 86
327, 215
328, 86
329, 73
330, 86
331, 73
332, 86
333, 72
334, 74
335, 86
336, 72
337, 87
338, 74
339, 87
340, 73
341, 87
342, 72
343, 73
344, 87
345, 73
346, 86
347, 73
348, 85
349, 73
350, 86
351, 83
352, 76
353, 90
354, 74
355, 87
356, 73
357, 87
358, 79
359, 88
360, 74
361, 73
362, 91
363, 73
364, 91
365, 73
366, 87
367, 74
368, 90
369, 73
370, 72
371, 87
372, 73
373, 89
374, 73
375, 90
376, 73
377, 87
378, 73
379, 72
380, 90
381, 73
382, 87
383, 73
384, 91
385, 74
386, 91
387, 73
388, 73
389, 87
390, 73
391, 95
392, 199
393, 171
394, 144
395, 164
396, 142
397, 143
398, 94
399, 73
400, 86
401, 74
402, 87
403, 75
404, 87
405, 73
406, 74
407, 88
408, 74
409, 88
410, 73
411, 88
412, 74
413, 90
414, 74
415, 74
416, 86
417, 73
418, 87
419, 81
420, 88
421, 74
422, 88
423, 73
424, 73
425, 95
426, 76
427, 90
428, 76
429, 89
430, 74
431, 89
432, 73
433, 74
434, 89
435, 74
436, 89
437, 74
438, 89
439, 74
440, 88
441, 74
442, 73
443, 89
444, 73
445, 89
446, 74
447, 94
448, 73
449, 87
450, 74
451, 74
452, 93
453, 73
454, 88
455, 74
