# trial, us for 1000 calls
0, 101654
1, 104217
2, 100044
3, 105535
4, 99177
5, 99333
6, 97162
7, 98211
8, 105077
9, 95825
10, 98501
11, 104029
12, 100403
13, 102643
14, 99731
15, 100633
16, 99624
17, 100245
18, 105975
19, 100327
20, 95748
21, 95059
22, 101088
23, 98164
24, 94337
25, 107227
26, 97696
27, 95241
28, 101246
29, 97154
30, 102255
31, 96803
32, 95977
33, 96206
34, 99394
35, 102366
36, 99892
37, 97307
38, 95376
39, 99607
40, 102902
41, 102064
42, 104162
43, 99730
44, 98947
45, 102667
46, 106181
47, 107463
48, 101203
49, 104592
50, 100918
51, 97227
52, 107134
53, 103699
54, 97370
55, 101258
56, 105450
57, 100391
58, 96072
59, 97125
60, 103551
61, 103941
62, 101659
63, 102153
64, 94925
65, 106368
66, 100163
67, 98456
68, 100204
69, 95956
70, 96044
71, 96147
72, 99890
73, 103920
74, 104866
75, 101223
76, 100654
77, 95753
78, 97813
79, 97355
80, 100252
81, 102265
82, 105021
83, 94875
84, 95314
85, 98610
86, 99215
87, 94310
88, 98393
89, 101430
90, 98912
91, 101241
92, 99962
93, 97242
94, 99961
95, 102273
96, 101571
97, 97021
98, 96434
99, 97778
