# trial, latency
0,517
1,434
2,415
3,417
4,441
5,412
6,412
7,310
8,225
9,226
10,225
11,227
12,222
13,222
14,221
15,229
16,223
17,401
18,223
19,228
20,222
21,221
22,221
23,222
24,220
25,221
26,220
27,221
28,226
29,220
30,221
31,227
32,225
33,220
34,220
35,220
36,220
37,221
38,221
39,220
40,220
41,222
42,223
43,220
44,220
45,221
46,232
47,221
48,220
49,220
50,220
51,220
52,220
53,220
54,220
55,220
56,219
57,220
58,219
59,219
60,220
61,278
62,221
63,219
64,219
65,219
66,220
67,220
68,219
69,220
70,220
71,219
72,220
73,222
74,220
75,221
76,222
77,220
78,220
79,220
80,220
81,224
82,221
83,220
84,233
85,220
86,223
87,221
88,219
89,222
90,224
91,223
92,220
93,220
94,220
95,219
96,222
97,221
98,220
99,221
100,228
101,220
102,219
103,220
104,220
105,219
106,235
107,219
108,219
109,220
110,220
111,219
112,219
113,219
114,228
115,220
116,221
117,219
118,219
119,219
120,220
121,225
122,220
123,219
124,220
125,219
126,219
127,220
128,221
129,220
130,220
131,219
132,219
133,219
134,219
135,219
136,223
137,241
138,222
139,220
140,220
141,220
142,220
143,220
144,220
145,220
146,218
147,219
148,220
149,219
150,220
151,220
152,222
153,219
154,220
155,220
156,220
157,220
158,220
159,224
160,221
161,219
162,219
163,220
164,219
165,220
166,219
167,221
168,219
169,219
170,220
171,220
172,220
173,220
174,220
175,219
176,218
177,219
178,219
179,218
180,220
181,219
182,221
183,219
184,219
185,219
186,224
187,220
188,219
189,219
190,218
191,219
192,218
193,220
194,220
195,219
196,219
197,231
198,220
199,219
200,224
201,219
202,220
203,219
204,219
205,219
206,218
207,218
208,219
209,218
210,219
211,219
212,223
213,219
214,219
215,219
216,219
217,218
218,220
219,219
220,219
221,219
222,218
223,219
224,218
225,220
226,219
227,227
228,218
229,219
230,218
231,219
232,219
233,219
234,220
235,218
236,220
237,220
238,219
239,218
240,219
241,220
242,220
243,223
244,220
245,225
246,220
247,220
248,219
249,219
250,220
251,219
252,219
253,219
254,221
255,223
256,221
257,220
258,228
259,220
260,221
261,221
262,220
263,219
264,220
265,219
266,220
267,220
268,219
269,220
270,220
271,220
272,219
273,224
274,220
275,219
276,219
277,220
278,220
279,220
280,219
281,220
282,220
283,220
284,221
285,221
286,225
287,219
288,222
289,219
290,219
291,219
292,219
293,219
294,222
295,220
296,220
297,219
298,221
299,221
300,225
301,219
302,220
303,223
304,219
305,218
306,218
307,220
308,219
309,220
310,220
311,219
312,219
313,219
314,220
315,218
316,220
317,218
318,221
319,219
320,218
321,220
322,222
323,221
324,220
325,219
326,219
327,224
328,220
329,220
330,220
331,218
332,219
333,222
334,219
335,220
336,219
337,220
338,219
339,219
340,219
341,218
342,220
343,220
344,219
345,224
346,219
347,219
348,219
349,222
350,219
351,218
352,220
353,218
354,220
355,219
356,219
357,220
358,219
359,223
360,220
361,218
362,218
363,219
364,222
365,219
366,220
367,218
368,219
369,218
370,219
371,219
372,222
373,221
374,219
375,220
376,219
377,219
378,219
379,222
380,219
381,219
382,218
383,219
384,219
385,218
386,220
387,222
388,220
389,221
390,219
391,221
392,221
393,219
394,220
395,219
396,219
397,219
398,220
399,219
400,219
401,219
402,220
403,220
404,219
405,220
406,219
407,219
408,220
409,223
410,219
411,218
412,219
413,220
414,218
415,219
416,219
417,220
418,219
419,219
420,218
421,219
422,219
423,219
424,222
425,220
426,219
427,219
428,220
429,219
430,220
431,220
432,221
433,220
434,219
435,222
436,221
437,220
438,220
439,219
440,221
441,219
442,220
443,220
444,221
445,220
446,219
447,218
448,217
449,222
450,221
451,221
452,220
453,221
454,219
455,222
456,221
457,219
458,219
459,219
460,219
461,220
462,218
463,219
464,219
465,219
466,219
467,218
468,221
469,221
470,223
471,219
472,221
473,224
474,221
475,220
476,220
477,220
478,219
479,220
480,219
481,219
482,220
483,218
484,219
485,224
486,224
487,219
488,221
489,220
490,219
491,219
492,220
493,219
494,220
495,220
496,219
497,218
498,218
499,218
500,221
501,219
502,220
503,219
504,219
505,219
506,219
507,219
508,219
509,218
510,219
511,219
512,219
513,222
514,220
515,221
516,220
517,221
518,220
519,220
520,219
521,219
522,220
523,220
524,221
525,219
526,219
527,220
528,220
529,220
530,223
531,219
532,219
533,219
534,219
535,219
536,219
537,219
538,220
539,219
540,219
541,221
542,220
543,223
544,220
545,219
546,221
547,219
548,219
549,219
550,219
551,219
552,219
553,219
554,218
555,218
556,219
557,218
558,219
559,224
560,219
561,221
562,218
563,219
564,220
565,218
566,219
567,219
568,220
569,219
570,219
571,218
572,219
573,224
574,219
575,219
576,221
577,220
578,218
579,219
580,219
581,218
582,219
583,219
584,218
585,219
586,224
587,219
588,219
589,219
590,218
591,224
592,220
593,218
594,222
595,219
596,218
597,219
598,218
599,217
600,219
601,218
602,218
603,219
604,218
605,222
606,222
607,220
608,219
609,221
610,220
611,219
612,219
613,220
614,220
615,220
616,219
617,218
618,220
619,221
620,220
621,220
622,220
623,224
624,219
625,219
626,219
627,219
628,218
629,220
630,218
631,219
632,220
633,219
634,219
635,218
636,218
637,221
638,221
639,219
640,219
641,221
642,220
643,219
644,220
645,225
646,221
647,220
648,219
649,220
650,219
651,220
652,222
653,219
654,219
655,219
656,218
657,219
658,220
659,225
660,219
661,219
662,219
663,222
664,220
665,220
666,219
667,220
668,218
669,222
670,220
671,220
672,219
673,220
674,218
675,219
676,219
677,219
678,219
679,219
680,219
681,219
682,221
683,219
684,220
685,219
686,225
687,220
688,219
689,219
690,220
691,219
692,220
693,222
694,220
695,220
696,219
697,223
698,221
699,220
700,226
701,219
702,218
703,219
704,219
705,220
706,219
707,220
708,221
709,220
710,220
711,219
712,222
713,220
714,218
715,218
716,219
717,219
718,224
719,219
720,219
721,219
722,219
723,218
724,219
725,218
726,218
727,219
728,222
729,219
730,219
731,219
732,224
733,217
734,219
735,218
736,218
737,219
738,219
739,219
740,218
741,218
742,219
743,221
744,219
745,219
746,219
747,219
748,217
749,219
750,219
751,221
752,218
753,218
754,218
755,219
756,220
757,221
758,222
759,220
760,218
761,218
762,220
763,219
764,220
765,218
766,219
767,222
768,220
769,219
770,218
771,219
772,219
773,221
774,220
775,219
776,219
777,221
778,219
779,218
780,222
781,218
782,219
783,217
784,221
785,220
786,219
787,218
788,222
789,220
790,218
791,219
792,219
793,218
794,219
795,219
796,219
797,218
798,218
799,219
800,218
801,219
802,219
803,219
804,222
805,224
806,218
807,219
808,219
809,219
810,218
811,218
812,219
813,219
814,218
815,218
816,218
817,218
818,222
819,224
820,219
821,219
822,219
823,219
824,218
825,219
826,219
827,218
828,220
829,220
830,218
831,219
832,218
833,219
834,222
835,220
836,219
837,218
838,219
839,219
840,219
841,218
842,220
843,220
844,219
845,219
846,218
847,219
848,219
849,220
850,219
851,222
852,221
853,219
854,220
855,219
856,219
857,220
858,219
859,220
860,218
861,219
862,219
863,219
864,221
865,218
866,218
867,219
868,219
869,219
870,219
871,219
872,220
873,225
874,219
875,220
876,218
877,222
878,220
879,222
880,220
881,219
882,219
883,220
884,219
885,219
886,218
887,224
888,219
889,219
890,219
891,219
892,218
893,219
894,219
895,221
896,219
897,220
898,219
899,219
900,219
901,222
902,219
903,219
904,219
905,224
906,218
907,218
908,217
909,218
910,221
911,218
912,218
913,220
914,222
915,221
916,220
917,219
918,219
919,225
920,220
921,219
922,218
923,221
924,220
925,221
926,219
927,219
928,219
929,218
930,219
931,219
932,220
933,218
934,218
935,217
936,217
937,218
938,219
939,218
940,221
941,218
942,218
943,222
944,221
945,220
946,225
947,220
948,220
949,221
950,220
951,220
952,219
953,220
954,219
955,220
956,228
957,218
958,219
959,212
960,226
961,220
962,220
963,220
964,219
965,220
966,222
967,220
968,219
969,219
970,223
971,220
972,219
973,223
974,218
975,221
976,220
977,220
978,219
979,219
980,220
981,219
982,220
983,220
984,220
985,219
986,223
987,219
988,219
989,219
990,218
991,217
992,218
993,221
994,221
995,220
996,220
997,220
998,220
999,220
