# trial, latency (cycles)
0, 257716
1, 125134
2, 123918
3, 122892
4, 122968
5, 122930
6, 143564
7, 124298
8, 181792
9, 123196
10, 122854
11, 122854
12, 122816
13, 122778
14, 122892
15, 122816
16, 122816
17, 174002
18, 122132
19, 122740
20, 122816
21, 122778
22, 122854
23, 122816
24, 122816
25, 122778
26, 174572
27, 122208
28, 122740
29, 122740
30, 122778
31, 122778
32, 122892
33, 122778
34, 122816
35, 176358
36, 122132
37, 122778
38, 122778
39, 122778
40, 122778
41, 122892
42, 123994
43, 141664
44, 172672
45, 122094
46, 122778
47, 122778
48, 122778
49, 122778
50, 122816
51, 122816
52, 122778
53, 176168
54, 122170
55, 122778
56, 122892
57, 122778
58, 122816
59, 122740
60, 122778
61, 122740
62, 180120
63, 122170
64, 122816
65, 122778
66, 122816
67, 122892
68, 122816
69, 122892
70, 122816
71, 171646
72, 122170
73, 122816
74, 123348
75, 122816
76, 122778
77, 123500
78, 122778
79, 122778
80, 194028
81, 122208
82, 122778
83, 122778
84, 122778
85, 122892
86, 122816
87, 122892
88, 122778
89, 184908
90, 160778
91, 122664
92, 122474
93, 122322
94, 124184
95, 122474
96, 922336
97, 387068
98, 189240
99, 122740
100, 121942
101, 122664
102, 122664
103, 133380
104, 128934
105, 122702
106, 122626
107, 983782
108, 392198
109, 123196
110, 122398
111, 122360
112, 122436
113, 122398
114, 122322
115, 122360
116, 184034
117, 122018
118, 121866
119, 121904
120, 121866
121, 121904
122, 121904
123, 121866
124, 121866
125, 175864
126, 121942
127, 121828
128, 121866
129, 121828
130, 121866
131, 121828
132, 121828
133, 121866
134, 174192
135, 121866
136, 121828
137, 121790
138, 121790
139, 121828
140, 121828
141, 121866
142, 121866
143, 179398
144, 121980
145, 121828
146, 121828
147, 121866
148, 121866
149, 121904
150, 121904
151, 121904
152, 228570
153, 123918
154, 123842
155, 121790
156, 121562
157, 121562
158, 121942
159, 121600
160, 121714
161, 173736
162, 121752
163, 121676
164, 121714
165, 121600
166, 121562
167, 121334
168, 122740
169, 140410
170, 177346
171, 121714
172, 121638
173, 121714
174, 121562
175, 121562
176, 121562
177, 121600
178, 121638
179, 166022
180, 121676
181, 121524
182, 121524
183, 121486
184, 121524
185, 121448
186, 121524
187, 121486
188, 177194
189, 121676
190, 121562
191, 121600
192, 121600
193, 121752
194, 121638
195, 121562
196, 121562
197, 167238
198, 121600
199, 121562
200, 121524
201, 121524
202, 121524
203, 121486
204, 121524
205, 121600
206, 178258
207, 121638
208, 121562
209, 121486
210, 121486
211, 121486
212, 121562
213, 121638
214, 121486
215, 175598
216, 121714
217, 121524
218, 121562
219, 121524
220, 121562
221, 121524
222, 121562
223, 121562
224, 171798
225, 121600
226, 121524
227, 121562
228, 121676
229, 121676
230, 121486
231, 121600
232, 121600
233, 174990
234, 121980
235, 121980
236, 121790
237, 121714
238, 121638
239, 121600
240, 121638
241, 121638
242, 166516
243, 121600
244, 121562
245, 122778
246, 138928
247, 121562
248, 121562
249, 121638
250, 121562
251, 177498
252, 121676
253, 121600
254, 121600
255, 121562
256, 121562
257, 121600
258, 121600
259, 121600
260, 174952
261, 121638
262, 121562
263, 121562
264, 121638
265, 121600
266, 121600
267, 121524
268, 121638
269, 165376
270, 121600
271, 121562
272, 121562
273, 121524
274, 121562
275, 121562
276, 121638
277, 121676
278, 174838
279, 121752
280, 121562
281, 121600
282, 122018
283, 121638
284, 121638
285, 121562
286, 121600
287, 167124
288, 121638
289, 121600
290, 121600
291, 121600
292, 121562
293, 121638
294, 121600
295, 121562
296, 174306
297, 121676
298, 121562
299, 121562
300, 121600
301, 121600
302, 121600
303, 121600
304, 121562
305, 176662
306, 122018
307, 121980
308, 121866
309, 121904
310, 121904
311, 121942
312, 121866
313, 121904
314, 171152
315, 121866
316, 121866
317, 121866
318, 121904
319, 195662
320, 121790
321, 121752
322, 131062
323, 178068
324, 121486
325, 121372
326, 121372
327, 121372
328, 121372
329, 121372
330, 121372
331, 121676
332, 167846
333, 121448
334, 121410
335, 121334
336, 121334
337, 121448
338, 121334
339, 121296
340, 121372
341, 175826
342, 121410
343, 121372
344, 121334
345, 121372
346, 121410
347, 121448
348, 121372
349, 121296
350, 175066
351, 121448
352, 121410
353, 121372
354, 121372
355, 121372
356, 121334
357, 121372
358, 121334
359, 171570
360, 121448
361, 121372
362, 121334
363, 121334
364, 121410
365, 121296
366, 121334
367, 121372
368, 172976
369, 121448
370, 121410
371, 121372
372, 121372
373, 121410
374, 121372
375, 121448
376, 121372
377, 169708
378, 121372
379, 121410
380, 121334
381, 121334
382, 121410
383, 121334
384, 121372
385, 121372
386, 176928
387, 121410
388, 121448
389, 121410
390, 121372
391, 121410
392, 121372
393, 121334
394, 121372
395, 174078
396, 121524
397, 121562
398, 121334
399, 121334
400, 121372
401, 121334
402, 121334
403, 121372
404, 182970
405, 121524
406, 121372
407, 121410
408, 121334
409, 121410
410, 121448
411, 121410
412, 121448
413, 174838
414, 121638
415, 121638
416, 121372
417, 121372
418, 121372
419, 121410
420, 121334
421, 121334
422, 164464
423, 121562
424, 124564
425, 133076
426, 121334
427, 121372
428, 121334
429, 121372
430, 121372
431, 175256
432, 121410
433, 121372
434, 121372
435, 121334
436, 121372
437, 121372
438, 121334
439, 121410
440, 177346
441, 121524
442, 121410
443, 121410
444, 121372
445, 121410
446, 121334
447, 121372
448, 121334
449, 167200
450, 121372
451, 121410
452, 121372
453, 121372
454, 121334
455, 121410
456, 121410
457, 121372
458, 175636
459, 121448
460, 121372
461, 121372
462, 121372
463, 121372
464, 121486
465, 121372
466, 121410
467, 166136
468, 121638
469, 121600
470, 121562
471, 121600
472, 121410
473, 121410
474, 121372
475, 121372
476, 177612
477, 121372
478, 121372
479, 121372
480, 121372
481, 121410
482, 121372
483, 121372
484, 121334
485, 179778
486, 121372
487, 121296
488, 121334
489, 121372
490, 121790
491, 121486
492, 121486
493, 511138
494, 168302
495, 121676
496, 121600
497, 121600
498, 122740
499, 137104
500, 122132
501, 121562
502, 121524
503, 172938
504, 1092234
505, 388892
506, 121942
507, 121714
508, 121676
509, 121638
510, 121676
511, 121638
512, 169708
513, 121600
514, 121486
515, 121524
516, 121562
517, 121600
518, 1700196
519, 125248
520, 383648
521, 173736
522, 121752
523, 121486
524, 121524
525, 121486
526, 121562
527, 121486
528, 121524
529, 121524
530, 978766
531, 388892
532, 122208
533, 121714
534, 121714
535, 121752
536, 121790
537, 121828
538, 121828
539, 173850
540, 121676
541, 121524
542, 121524
543, 121676
544, 132278
545, 121600
546, 121562
547, 121524
548, 194560
549, 121676
550, 121638
551, 121676
552, 121562
553, 121676
554, 121638
555, 121600
556, 121638
557, 170886
558, 121600
559, 121638
560, 121638
561, 121600
562, 121562
563, 121600
564, 121600
565, 121562
566, 170924
567, 121676
568, 121638
569, 121600
570, 121600
571, 121562
572, 121600
573, 134254
574, 123880
575, 170468
576, 121638
577, 121638
578, 121562
579, 121600
580, 121638
581, 121638
582, 121638
583, 121638
584, 174420
585, 121790
586, 121600
587, 121486
588, 121600
589, 121562
590, 121562
591, 121562
592, 121638
593, 172596
594, 121638
595, 121600
596, 121524
597, 121600
598, 121562
599, 121600
600, 121600
601, 121638
602, 166402
603, 121638
604, 121638
605, 121448
606, 121562
607, 121600
608, 121600
609, 121600
610, 121638
611, 174268
612, 121600
613, 121562
614, 121562
615, 121600
616, 121600
617, 121600
618, 121600
619, 121562
620, 168264
621, 121790
622, 121600
623, 121600
624, 121524
625, 137902
626, 121562
627, 121562
628, 121600
629, 183312
630, 121980
631, 121486
632, 121524
633, 121448
634, 121486
635, 121448
636, 121448
637, 121486
638, 172520
639, 121448
640, 121410
641, 121448
642, 121410
643, 121410
644, 121410
645, 121448
646, 121410
647, 169214
648, 121448
649, 121410
650, 121448
651, 121410
652, 121448
653, 121448
654, 121410
655, 121334
656, 175104
657, 121524
658, 121562
659, 121410
660, 121372
661, 121372
662, 121448
663, 121372
664, 121410
665, 171038
666, 121752
667, 121448
668, 121372
669, 121448
670, 121410
671, 121410
672, 121448
673, 121410
674, 174040
675, 121524
676, 121410
677, 121410
678, 121410
679, 121372
680, 121448
681, 121448
682, 121448
683, 171874
684, 121638
685, 121372
686, 121448
687, 121372
688, 121410
689, 121448
690, 121410
691, 121448
692, 167390
693, 121714
694, 121448
695, 121410
696, 121410
697, 121486
698, 121448
699, 121410
700, 121448
701, 174496
702, 140448
703, 121410
704, 121448
705, 121372
706, 121410
707, 121410
708, 121448
709, 121410
710, 168454
711, 121448
712, 121410
713, 121372
714, 121410
715, 135736
716, 121562
717, 121524
718, 121448
719, 174382
720, 121638
721, 121410
722, 121448
723, 121410
724, 121448
725, 121486
726, 121410
727, 121448
728, 175142
729, 121600
730, 121372
731, 121448
732, 121524
733, 121410
734, 121448
735, 121448
736, 121372
737, 167352
738, 121638
739, 121486
740, 121486
741, 121448
742, 121448
743, 121448
744, 121410
745, 121448
746, 175712
747, 121676
748, 121486
749, 121448
750, 121410
751, 121448
752, 121524
753, 121448
754, 121486
755, 173394
756, 121486
757, 121448
758, 121410
759, 121410
760, 121448
761, 121410
762, 121448
763, 121486
764, 172748
765, 121638
766, 121486
767, 121448
768, 121410
769, 121448
770, 121486
771, 121410
772, 121448
773, 175294
774, 121676
775, 121600
776, 121448
777, 121448
778, 122626
779, 140296
780, 121448
781, 121448
782, 169480
783, 121638
784, 121486
785, 121448
786, 121448
787, 121410
788, 121448
789, 121410
790, 121448
791, 174458
792, 121524
793, 121448
794, 121486
795, 121448
796, 121448
797, 121448
798, 121486
799, 121410
800, 169594
801, 674348
802, 122360
803, 121486
804, 121486
805, 121486
806, 121486
807, 121486
808, 121486
809, 165110
810, 121524
811, 121486
812, 121410
813, 121562
814, 121448
815, 121486
816, 121486
817, 121524
818, 165262
819, 121524
820, 121486
821, 121448
822, 121448
823, 121486
824, 121410
825, 121448
826, 121448
827, 166136
828, 121524
829, 121524
830, 121410
831, 121448
832, 121410
833, 121486
834, 121448
835, 121448
836, 165756
837, 121562
838, 121486
839, 121448
840, 121524
841, 121486
842, 121524
843, 121448
844, 121448
845, 165794
846, 121562
847, 121600
848, 121486
849, 121524
850, 121448
851, 121486
852, 121486
853, 121448
854, 169594
855, 121486
856, 121448
857, 121486
858, 121448
859, 121486
860, 121486
861, 121448
862, 121524
863, 173280
864, 121562
865, 121448
866, 121486
