# trial, latency (cycles)
# trial, latency (cycles)
0, 5956576
1, 36214
2, 20520
3, 19836
4, 19836
5, 19798
6, 19646
7, 19646
8, 19570
9, 19608
10, 19570
11, 19570
12, 19608
13, 19570
14, 19570
15, 19570
16, 19570
17, 19532
18, 19684
19, 19608
20, 19532
21, 19646
22, 19570
23, 19532
24, 19950
25, 10450
26, 9765
27, 9804
28, 9804
29, 9765
30, 9804
31, 9804
32, 9803
33, 9841
34, 9803
35, 9766
36, 9804
37, 9766
38, 9766
39, 9804
40, 9804
41, 9766
42, 9804
43, 9803
44, 9766
45, 9804
46, 9766
47, 9766
48, 9804
49, 9766
50, 9766
51, 9804
52, 9766
53, 9766
54, 9804
55, 9766
56, 9804
57, 9803
58, 9804
59, 9765
60, 9842
61, 9766
62, 9766
63, 23674
64, 14554
65, 9880
66, 9766
67, 9804
68, 9804
69, 9766
70, 9766
71, 9766
72, 9804
73, 9803
74, 9804
75, 9766
76, 9803
77, 9766
78, 9766
79, 9766
80, 9804
81, 9766
82, 9804
83, 9766
84, 9766
85, 9804
86, 9803
87, 9766
88, 9766
89, 9804
90, 9766
91, 9766
92, 9804
93, 9766
94, 9804
95, 9803
96, 9803
97, 9766
98, 9804
99, 9766
100, 9766
101, 9804
102, 9766
103, 9766
104, 9804
105, 9766
106, 9766
107, 9766
108, 9804
109, 9766
110, 9842
111, 9765
112, 9804
113, 9766
114, 9804
115, 9766
116, 9804
117, 9766
118, 9766
119, 9804
120, 9803
121, 9766
122, 9804
123, 9766
124, 9804
125, 9803
126, 9766
127, 10450
128, 10259
129, 9804
130, 9766
131, 9766
132, 9804
133, 9766
134, 9804
135, 9803
136, 9766
137, 9804
138, 9803
139, 9766
140, 9804
141, 9804
142, 9766
143, 9766
144, 9804
145, 9766
146, 9804
147, 9803
148, 9766
149, 9804
150, 9804
151, 9766
152, 9766
153, 9804
154, 9765
155, 9804
156, 9766
157, 9766
158, 9804
159, 9804
160, 9765
161, 9804
162, 9803
163, 9804
164, 9803
165, 9804
166, 9766
167, 9804
168, 9766
169, 9766
170, 9804
171, 9766
172, 9766
173, 9804
174, 9804
175, 9766
176, 9766
177, 9804
178, 9765
179, 9804
180, 9804
181, 9803
182, 9766
183, 9804
184, 9728
185, 9804
186, 9804
187, 9766
188, 9766
189, 9804
190, 9766
191, 10108
192, 10108
193, 9804
194, 9803
195, 9804
196, 9804
197, 9804
198, 9804
199, 9766
200, 9804
201, 9803
202, 9804
203, 9766
204, 9804
205, 9804
206, 9766
207, 9804
208, 9804
209, 9766
210, 9804
211, 9804
212, 9766
213, 9804
214, 9804
215, 9766
216, 9804
217, 9766
218, 9804
219, 9803
220, 9804
221, 9766
222, 9804
223, 9804
224, 9766
225, 9804
226, 9804
227, 9766
228, 9766
229, 9842
230, 9766
231, 9804
232, 9766
233, 9804
234, 9804
235, 9803
236, 9766
237, 9842
238, 9841
239, 9803
240, 9766
241, 9804
242, 9766
243, 9804
244, 9804
245, 9804
246, 9803
247, 9804
248, 9766
249, 9804
250, 9804
251, 9766
