# trial, latency (cycles)
0, 161234
1, 7714
2, 6118
3, 5700
4, 5662
5, 5738
6, 5624
7, 5662
8, 5662
9, 5662
10, 5624
11, 5662
12, 5624
13, 5662
14, 5624
15, 5662
16, 5662
17, 5662
18, 5662
19, 5700
20, 5624
21, 5662
22, 5662
23, 5700
24, 5624
25, 5662
26, 5624
27, 5700
28, 5624
29, 5662
30, 5624
31, 5624
32, 5624
33, 5662
34, 5624
35, 5662
36, 5624
37, 5624
38, 5662
39, 5662
40, 5624
41, 5662
42, 5624
43, 5624
44, 5662
45, 5662
46, 5624
47, 5662
48, 5624
49, 5662
50, 5624
51, 5662
52, 5624
53, 5662
54, 5624
55, 5662
56, 5624
57, 5662
58, 5624
59, 5662
60, 5624
61, 5662
62, 5662
63, 5662
64, 5624
65, 5662
66, 5624
67, 5662
68, 5624
69, 5624
70, 5624
71, 5662
72, 5624
73, 5662
74, 5624
75, 5624
76, 5624
77, 5662
78, 5624
79, 5662
80, 5624
81, 5624
82, 5624
83, 5662
84, 5624
85, 5662
86, 5624
87, 5624
88, 5624
89, 5662
90, 5624
91, 5662
92, 5624
93, 5662
94, 5624
95, 5662
96, 5624
97, 5624
98, 5624
99, 5662
100, 5624
101, 5662
102, 5624
103, 5662
104, 5586
105, 5662
106, 5624
107, 5700
108, 5662
109, 5662
110, 5662
111, 5662
112, 5624
113, 5662
114, 5662
115, 5662
116, 5624
117, 5662
118, 5662
119, 5662
120, 5662
121, 5662
122, 5662
123, 5662
124, 5662
125, 5662
126, 5700
127, 5662
128, 5624
129, 5700
130, 5624
131, 5662
132, 5662
133, 5700
134, 5624
135, 5700
136, 5624
137, 5662
138, 5624
139, 5662
140, 5624
141, 5662
142, 5624
143, 5662
144, 5624
145, 5662
146, 5624
147, 5662
148, 5662
149, 5662
150, 5662
151, 5700
152, 5624
153, 5662
154, 5624
155, 5662
156, 5624
157, 5624
158, 5624
159, 5662
160, 5624
161, 5662
162, 5624
163, 5662
164, 5624
165, 5662
166, 5624
167, 5662
168, 5624
169, 5662
170, 5662
171, 5624
172, 5624
173, 5662
174, 5662
175, 5662
176, 5662
177, 5624
178, 5624
179, 5624
180, 5624
181, 5624
182, 5624
183, 5662
184, 5624
185, 5662
186, 5624
187, 5662
188, 5624
189, 5624
190, 5624
191, 5662
192, 5624
193, 5624
194, 5624
195, 5662
196, 5662
197, 5662
198, 5624
199, 5624
200, 5624
201, 5624
202, 5624
203, 5662
204, 5662
205, 5662
206, 5662
207, 5624
208, 5624
209, 5662
210, 5624
211, 5624
212, 5662
213, 5662
214, 5624
215, 5662
216, 5624
217, 5662
218, 5662
219, 5624
220, 5624
221, 5662
222, 5624
223, 5662
224, 5624
225, 5662
226, 5624
227, 5662
228, 5624
229, 5624
230, 5624
231, 5662
232, 5624
233, 5662
234, 5624
235, 5662
236, 5624
237, 5662
238, 5624
239, 5662
240, 5624
241, 5624
242, 5624
243, 5662
244, 5624
245, 5662
246, 5624
247, 5662
248, 5624
249, 5662
250, 5624
251, 5662
252, 5624
253, 5662
254, 5624
255, 5624
256, 5624
257, 5662
258, 5624
259, 5624
260, 5624
261, 5662
262, 5624
263, 5662
264, 5624
265, 5662
266, 5662
267, 5662
268, 5624
269, 5662
270, 5624
271, 5624
272, 5662
273, 5662
274, 5662
275, 5662
276, 5624
277, 5662
278, 5662
279, 5624
280, 5624
281, 5662
282, 5624
283, 5662
284, 5624
285, 5662
286, 5624
