# trial, latency
0,0.184000
1,0.073000
2,0.036000
3,0.028000
4,0.034000
5,0.033000
6,0.033000
7,0.033000
8,0.033000
9,0.032000
10,0.029000
11,0.033000
12,0.033000
13,0.028000
14,0.034000
15,0.030000
16,0.033000
17,0.033000
18,0.033000
19,0.033000
20,0.033000
21,0.034000
22,0.032000
23,0.033000
24,0.033000
25,0.033000
26,0.033000
27,0.029000
28,0.033000
29,0.033000
30,0.034000
31,0.033000
32,0.033000
33,0.030000
34,0.033000
35,0.028000
36,0.033000
37,0.033000
38,0.029000
39,0.033000
40,0.033000
41,0.035000
42,0.034000
43,0.028000
44,0.033000
45,0.033000
46,0.033000
47,0.029000
48,0.033000
49,0.035000
50,0.033000
51,0.033000
52,0.028000
53,0.033000
54,0.033000
55,0.033000
56,0.033000
57,0.030000
58,0.029000
59,0.033000
60,0.033000
61,0.034000
62,0.033000
63,0.033000
64,0.033000
65,0.029000
66,0.033000
67,0.033000
68,0.033000
69,0.032000
70,0.029000
71,0.028000
72,0.033000
73,0.033000
74,0.033000
75,0.033000
76,0.034000
77,0.033000
78,0.030000
79,0.029000
80,0.033000
81,0.034000
82,0.030000
83,0.030000
84,0.029000
85,0.033000
86,0.033000
87,0.028000
88,0.033000
89,0.033000
90,0.035000
91,0.033000
92,0.033000
93,0.028000
94,0.033000
95,0.035000
96,0.033000
97,0.033000
98,0.034000
99,0.030000
100,0.032000
101,0.032000
102,0.028000
103,0.032000
104,0.034000
105,0.028000
106,0.030000
107,0.033000
108,0.030000
109,0.030000
110,0.028000
111,0.032000
112,0.033000
113,0.033000
114,0.033000
115,0.033000
116,0.032000
117,0.033000
118,0.033000
119,0.028000
120,0.028000
121,0.034000
122,0.033000
123,0.033000
124,0.034000
125,0.035000
126,0.033000
127,0.034000
128,0.033000
129,0.033000
130,0.033000
131,0.033000
132,0.033000
133,0.034000
134,0.033000
135,0.030000
136,0.033000
137,0.030000
138,0.033000
139,0.030000
140,0.035000
141,0.033000
142,0.029000
143,0.028000
144,0.031000
145,0.034000
146,0.030000
147,0.028000
148,0.033000
149,0.034000
150,0.028000
151,0.033000
152,0.032000
153,0.033000
154,0.030000
155,0.028000
