# trial, latency
0,21
1,21
2,21
3,21
4,18
5,21
6,21
7,21
8,32
9,35
10,21
11,21
12,21
13,21
14,21
15,21
16,18
17,32
18,18
19,21
20,18
21,21
22,18
23,32
24,18
25,21
26,18
27,21
28,29
29,32
30,21
31,21
32,18
33,21
34,32
35,21
36,21
37,18
38,32
39,21
40,21
41,21
42,21
43,32
44,32
45,21
46,21
47,21
48,21
49,32
50,21
51,21
52,21
53,21
54,21
55,32
56,32
57,21
58,21
59,18
60,18
61,21
62,32
63,21
64,18
65,21
66,18
67,21
68,29
69,21
70,24
71,21
72,21
73,29
74,21
75,18
76,21
77,18
78,21
79,29
80,21
81,18
82,21
83,18
84,32
85,29
86,21
87,18
88,21
89,18
90,32
91,18
92,21
93,18
94,21
95,18
96,32
97,18
98,21
99,18
100,21
101,21
102,21
103,21
104,32
105,21
106,21
107,21
108,21
109,32
110,21
111,21
112,21
113,32
114,21
115,21
116,21
117,21
118,32
119,21
120,21
121,21
122,21
123,32
124,21
125,21
126,21
127,32
128,21
129,21
130,21
131,21
132,32
133,21
134,21
135,21
136,21
137,32
138,21
139,21
140,21
141,32
142,21
143,21
144,21
145,21
146,32
147,21
148,21
149,21
150,21
151,32
152,21
153,21
154,21
155,32
156,32
157,21
158,21
159,21
160,32
161,21
162,21
163,21
164,21
165,32
166,21
167,21
168,21
169,21
170,32
171,21
172,21
173,21
174,32
175,21
176,21
177,21
178,21
179,32
180,21
181,21
182,21
183,21
184,32
185,21
186,21
187,21
188,32
189,21
190,21
191,21
192,21
193,32
194,21
195,21
196,21
197,21
198,32
199,21
200,21
201,21
202,32
203,21
204,21
205,21
206,21
207,32
208,21
209,21
210,21
211,21
212,32
213,21
214,21
215,21
216,32
217,21
218,21
219,21
220,21
221,32
222,21
223,21
224,21
225,21
226,32
227,21
228,21
229,21
230,32
231,21
232,21
233,21
234,21
235,32
236,21
237,21
238,21
239,21
240,32
241,21
242,21
243,21
244,32
245,21
246,21
247,21
248,21
249,32
250,21
251,21
252,21
253,21
254,32
255,21
256,21
257,21
258,32
259,21
260,21
261,21
262,21
263,32
264,21
265,21
266,21
267,21
268,32
269,21
270,21
271,21
272,32
273,32
274,21
275,21
276,21
277,32
278,21
279,21
280,21
281,21
282,32
283,21
284,21
285,21
286,32
287,32
288,21
289,21
290,21
291,32
292,21
293,21
294,21
295,21
296,32
297,21
298,21
299,21
300,21
301,32
302,21
303,21
304,21
305,32
306,21
307,21
308,21
309,21
310,32
311,21
312,21
313,21
314,21
315,32
316,21
317,21
318,21
319,32
320,32
321,21
322,21
323,21
324,32
325,21
326,21
327,21
328,21
329,32
330,21
331,21
332,21
333,21
334,32
335,21
336,21
337,21
338,32
339,21
340,21
341,21
342,21
343,32
344,21
345,21
346,21
347,21
348,32
349,21
350,21
351,21
352,32
353,21
354,21
355,21
356,21
357,32
358,21
359,21
360,21
361,21
362,32
363,21
364,21
365,21
366,32
367,21
368,21
369,21
370,21
371,32
372,21
373,21
374,21
375,21
376,32
377,21
378,21
379,21
380,32
381,21
382,21
383,21
384,21
385,32
386,21
387,21
388,21
389,21
390,32
391,21
392,21
393,21
394,32
395,21
396,21
397,21
398,21
399,32
400,21
401,21
402,21
403,21
404,32
405,21
406,21
407,21
408,32
409,21
410,21
411,21
412,21
413,32
414,21
415,21
416,21
417,21
418,32
419,21
420,21
421,21
422,32
423,21
424,21
425,21
426,21
427,32
428,21
429,21
430,21
431,21
432,32
433,21
434,21
435,21
436,32
437,32
438,21
439,21
440,21
441,32
442,21
443,21
444,21
445,21
446,32
447,21
448,21
449,21
450,32
451,32
452,21
453,21
454,21
455,32
456,21
457,21
458,21
459,21
460,32
461,21
462,21
463,21
464,21
