# trial, latency
0,1427
1,1377
2,1345
3,1329
4,1309
5,1263
6,1293
7,1266
8,1263
9,1283
10,1242
11,1282
12,1247
13,1239
14,1361
15,1388
16,1335
17,1305
18,1308
19,1332
20,1273
21,1313
22,1232
23,1255
24,1403
25,1328
26,1245
27,1300
28,1265
29,1261
30,1249
31,1251
32,1318
33,1254
34,1289
35,1264
36,1276
37,1355
38,1272
39,1337
40,1288
41,1321
42,1335
43,1254
44,1277
45,1320
46,1265
47,1416
48,1238
49,1304
50,1288
51,1298
52,1304
53,1373
54,1301
55,1353
56,1339
57,1467
58,1292
59,1361
60,1475
61,1370
62,1361
63,1333
64,1348
65,1271
66,1283
67,1431
68,1338
69,1381
70,1289
71,1287
72,1322
73,1357
74,1347
75,1271
76,1271
77,1330
78,1299
79,1334
80,1288
81,1312
82,1399
83,1369
84,1404
85,1359
86,1385
87,1438
88,1406
89,1428
90,1348
91,1300
92,1330
93,1321
94,1347
95,1391
96,2169
97,1370
98,1355
99,1296
100,1299
101,1359
102,1270
103,1325
104,1298
105,1293
106,1341
107,1646
108,1509
109,1452
110,1385
111,1272
112,1353
113,1289
114,1236
115,1224
116,1291
117,1235
118,1278
119,1251
120,1307
121,1312
122,1672
123,1313
124,1290
125,1295
126,1325
127,1233
128,1343
129,1379
130,1366
131,1421
132,1372
133,1385
134,1298
135,1279
136,1334
137,1699
138,1488
139,1488
140,1382
141,1299
142,1316
143,1290
144,1317
145,1398
146,1267
147,1232
148,1362
149,1288
150,1341
151,1317
152,1310
153,1349
154,1313
155,1355
156,1521
157,1504
158,1312
159,1319
160,1348
161,1323
162,1339
163,1339
164,1305
165,1401
166,1550
167,1546
168,1386
169,1345
170,1320
171,1339
172,1367
173,1343
174,1354
175,1304
176,1310
177,1313
178,1312
179,1369
180,1291
181,1327
182,1288
183,1284
184,1358
185,1298
186,1392
187,1437
188,1682
189,1593
190,1381
191,1469
192,1289
193,1349
194,1367
195,1352
196,1403
197,1330
198,1387
199,1365
200,1337
201,1393
202,1336
203,1695
204,1328
205,1315
206,1298
207,1289
208,1362
209,1371
210,1412
211,1284
212,1318
213,1368
214,1261
215,1235
216,1289
217,1327
218,1367
219,1335
220,1319
221,1367
222,1320
223,1392
224,1456
225,1304
226,1314
227,1391
228,1357
229,1310
230,1307
231,1399
232,1371
233,1579
234,1329
235,1405
236,1430
237,1266
238,1276
239,1401
240,1324
241,1266
242,1288
243,1352
244,1262
245,1277
246,1286
247,1247
248,1256
