# trial, latency
0,491
1,236
2,221
3,220
4,219
5,232
6,223
7,217
8,217
9,222
10,232
11,217
12,233
13,220
14,218
15,217
16,219
17,228
18,218
19,227
20,218
21,218
22,232
23,218
24,218
25,217
26,240
27,220
28,217
29,218
30,222
31,219
32,224
33,225
34,250
35,222
36,218
37,218
38,218
39,218
40,231
41,220
42,218
43,217
44,217
45,222
46,219
47,229
48,219
49,223
50,218
51,217
52,218
53,222
54,218
55,232
56,224
57,230
58,219
59,218
60,217
61,222
62,218
63,218
64,223
65,218
66,218
67,218
68,226
69,253
70,241
71,264
72,254
73,211
74,211
75,247
76,212
77,211
78,211
79,218
80,218
81,220
82,218
83,218
84,238
85,219
86,218
87,218
88,227
89,226
90,219
91,218
92,230
93,219
94,217
95,218
96,218
97,218
98,218
99,218
100,218
101,218
102,217
103,217
104,258
105,219
106,218
107,223
108,217
109,218
110,217
111,218
112,222
113,218
114,218
115,222
116,241
117,218
118,244
119,211
120,218
121,211
122,212
123,211
124,211
125,211
126,212
127,212
128,221
129,211
130,231
131,230
132,244
133,253
134,211
135,211
136,215
137,211
138,211
139,253
140,251
141,213
142,211
143,211
144,211
145,240
146,219
147,212
148,216
149,211
150,211
151,212
152,235
153,216
154,229
155,212
156,220
157,212
158,211
159,211
160,211
161,221
162,227
163,211
164,227
165,211
166,211
167,210
168,212
169,214
170,218
171,212
172,211
173,211
174,211
175,211
176,237
177,223
178,210
179,211
180,212
181,211
182,239
183,228
184,212
185,211
186,211
187,211
188,257
189,226
190,230
191,211
192,210
193,211
194,211
195,212
196,210
197,220
198,231
199,216
200,226
201,211
202,215
203,211
204,223
205,211
206,211
207,210
208,210
209,211
210,215
211,212
212,232
213,216
214,210
215,210
216,255
217,212
218,224
219,230
220,219
221,223
222,217
223,218
224,249
225,221
226,231
227,213
228,211
229,211
230,212
231,211
232,226
233,220
234,211
235,211
236,226
237,212
238,216
239,212
240,212
241,237
242,212
243,212
244,211
245,218
246,229
247,225
248,242
249,218
250,217
251,217
252,218
253,218
254,234
255,232
256,212
257,211
258,210
259,211
260,256
261,223
262,227
263,231
264,217
265,217
266,230
267,252
268,232
269,233
270,225
271,222
272,211
273,216
274,238
275,211
276,212
277,215
