# trial, latency
0,124467
1,163359
2,128541
3,122724
4,123354
5,122934
6,120729
7,122010
8,149226
9,125769
10,128079
11,122472
12,122787
13,120855
14,121338
15,122220
16,127050
17,124467
18,130809
19,121548
20,121527
21,121884
22,138390
23,127407
24,126945
25,122157
26,122094
27,120876
28,128646
29,124110
30,123102
31,123627
32,121863
33,129087
34,122304
35,122262
36,127470
37,126504
38,121779
39,119994
40,121800
41,119826
42,121947
43,129066
44,122724
45,120120
46,119994
47,121401
48,134526
49,121926
50,122640
51,137655
52,122472
53,121149
54,121296
55,120918
56,136332
57,124488
58,119889
59,121359
60,121548
61,121632
62,125139
63,122304
64,120960
65,121002
66,133560
67,132699
68,124131
69,120750
70,121443
71,121380
72,121338
73,120393
74,122220
75,121422
76,123732
77,130137
78,122892
79,122367
80,143136
81,124740
82,120435
83,123312
84,120204
85,128583
86,122745
87,121989
88,122934
89,127008
90,121128
91,119259
92,120855
93,127554
94,123018
95,192738
96,123375
97,126630
98,121065
99,121212
100,120225
101,121422
102,127491
103,124992
104,120057
105,151557
106,127869
107,121653
108,121044
109,143430
110,121527
111,124614
112,121212
113,130578
114,123459
115,120939
116,120813
117,127323
118,122682
119,126000
120,122199
121,121968
122,120561
123,137130
124,132111
125,125580
126,120519
127,120855
128,128499
129,122241
130,121863
131,120141
132,126714
133,121758
134,120771
135,120498
136,125118
137,124383
138,130620
139,121968
140,121002
141,119721
142,119637
143,120309
144,126903
145,123648
146,120834
147,125748
148,121758
149,119931
150,120918
151,122577
152,140196
153,125433
154,129570
155,121863
156,122304
157,120057
158,122010
159,121968
160,123753
161,124929
162,133707
163,122430
164,121779
165,131754
166,123564
167,127827
168,122619
169,120603
170,166026
171,127197
172,121464
173,123942
174,123249
175,124404
176,123102
177,122724
178,122703
179,120309
180,121779
181,143115
182,124320
183,123270
184,127071
185,121653
186,124299
187,122052
188,125118
189,125328
190,129633
191,125727
192,128877
193,124320
194,124236
195,146664
196,124404
197,123732
198,130095
199,124803
200,128310
201,123081
202,123165
203,123543
204,121233
205,122640
206,127113
207,125265
208,123270
209,140742
210,127092
211,121863
212,128940
213,122514
214,122724
215,122955
216,122703
217,122619
218,129591
219,130641
220,123165
221,121884
222,123270
223,123060
224,137109
225,128646
226,122220
227,122619
228,120876
229,131208
230,126567
231,124845
232,121653
233,129717
234,123354
235,122892
236,121485
237,134253
238,140427
239,123543
240,121947
241,128562
242,128394
243,121422
244,120414
245,123039
246,120057
247,122325
248,127827
249,122682
250,120624
251,121653
252,146433
253,127260
254,121632
255,129360
256,121758
257,120330
258,120561
259,122703
260,126966
261,121317
262,127113
263,125181
264,121506
265,120519
266,121212
