# trial, latency
0,110019
1,84063
2,87066
3,85995
4,73899
5,88032
6,83328
7,88557
8,79569
9,80913
10,92883
11,86331
12,72429
13,84462
14,90111
15,82383
16,83559
17,75978
18,84693
19,85680
20,71736
21,80955
22,85155
23,72198
24,78351
25,30828
26,29358
27,29421
28,27846
29,28434
30,28161
31,28539
32,28749
33,73185
34,47376
35,72345
36,31773
37,71673
38,32865
39,68313
40,31458
41,70266
42,31920
43,69594
44,31710
45,69720
46,34461
47,66906
48,32235
49,68061
50,32235
51,68166
52,32340
53,71547
54,31815
55,65163
56,51849
57,61236
58,33621
59,65205
60,32907
61,56784
62,32214
63,53403
64,32592
65,83433
66,33390
67,64470
68,31059
69,59220
70,31563
71,58212
72,32067
73,61719
74,32634
75,59766
76,31815
77,58695
78,31899
79,56847
80,32109
81,58002
82,32781
83,72849
84,33432
85,70602
86,33075
87,62538
88,31311
89,78309
90,33222
91,71883
92,32697
93,67347
94,32865
95,65772
96,31836
97,64533
98,34104
99,66864
100,32256
101,78267
102,34461
103,74256
104,32487
105,66990
106,33768
107,64995
108,33390
109,67011
110,33369
111,69321
112,32508
113,61971
114,32949
115,65058
116,34188
117,71883
118,33264
119,66444
120,32781
121,60018
122,33138
123,70497
124,34020
125,69552
126,33285
127,58107
128,32760
129,58611
130,32571
131,60228
132,33096
133,61215
134,45675
135,62433
136,32634
137,55020
138,32193
139,58128
140,33117
141,63483
142,33621
143,67893
144,33054
145,59409
146,32655
147,59409
148,31899
149,74235
150,33810
151,66465
152,32823
153,59892
154,33012
155,69321
156,32508
157,81249
158,32970
159,68271
160,33075
161,65121
162,33159
163,62937
164,32739
165,64323
166,33201
167,72996
168,32235
169,60690
170,32067
171,64974
172,32718
173,64848
174,33474
175,71589
176,33915
177,62475
178,32949
179,63357
180,32130
181,81249
182,33747
183,67725
184,33243
185,63252
186,33369
187,70140
188,31794
189,63189
190,35070
191,67851
192,33159
193,66297
194,32970
195,72765
196,31143
197,58485
198,32781
199,63084
200,32214
201,58632
202,32298
203,56679
204,32571
205,58212
206,32928
207,61698
208,33831
209,60186
210,33558
211,59220
212,33054
213,63924
214,33558
215,58086
216,32823
217,65940
218,31836
219,64239
220,32655
221,64617
222,32970
223,68502
224,32655
225,68334
226,33201
227,59913
228,33054
229,62076
230,35595
231,67494
232,33327
233,77259
234,32340
235,63126
236,33348
237,80850
238,34167
239,67011
240,33936
241,69951
242,32508
243,64680
244,33159
245,68271
246,32907
247,67410
248,32088
249,64281
250,32655
251,72156
252,33075
253,66129
254,33243
255,64428
256,33726
257,69573
258,33138
259,66801
260,33075
261,60837
262,31983
263,63798
264,32340
265,57771
266,32235
267,56217
268,34188
269,61635
270,33873
271,61845
272,33684
273,57729
274,33873
275,55167
276,33516
277,63798
278,34377
279,58380
280,32781
281,58611
282,33117
283,73059
284,33810
285,65205
286,32865
287,64386
288,32361
289,75705
290,33222
291,60333
292,32781
293,67578
294,32991
295,67893
296,32739
297,64470
298,45423
299,62685
300,33264
301,67809
302,32781
303,66801
304,32361
305,61950
306,33621
307,61845
308,31101
309,73731
310,33474
311,193536
312,52710
313,99897
314,40215
315,82005
316,36666
317,67074
318,38745
319,74445
320,37947
321,80388
322,41517
323,73017
324,37023
325,72912
326,38955
327,64617
328,39039
329,63483
330,38388
331,67179
332,38451
333,69258
334,42042
335,67641
336,39291
337,74613
338,36036
339,72156
340,36057
341,73752
342,38136
343,63819
344,37485
345,60480
346,37380
347,66213
348,38787
349,71526
350,37611
351,73269
352,36813
353,67599
354,39333
355,82824
356,36771
357,72912
358,38451
359,85617
360,37611
361,69615
362,39228
363,69867
364,37254
365,83118
366,40698
367,69678
368,37674
369,71337
370,41139
371,88431
372,38934
373,75159
374,39564
375,72618
376,36771
377,80115
378,38472
379,73731
380,38136
381,70581
382,40467
383,78687
384,40782
385,75915
386,37359
387,81942
388,36330
389,74886
390,37884
391,61950
392,37737
393,58590
394,40467
395,68397
396,37044
397,60900
398,41202
399,67557
400,38241
401,64806
402,38850
403,60900
404,37590
405,66759
406,40068
407,64701
408,38241
409,60165
410,37380
411,67956
412,37926
413,61152
414,39900
415,71715
416,37632
417,82404
418,38745
419,71778
420,38850
421,73101
422,39144
423,81249
424,37149
425,68964
426,38388
427,65982
428,37968
429,84630
430,41034
431,71232
432,38262
433,88389
434,36666
435,72261
436,37800
437,70896
438,39102
439,68733
440,38724
441,91644
442,37821
443,63000
444,38241
445,65184
446,41076
447,76482
448,36918
449,69048
450,38136
451,60627
452,38451
453,87444
454,41055
455,74067
456,36708
457,72240
458,38703
459,62265
460,37695
461,61593
462,40194
463,60753
464,38997
465,66591
466,38934
467,65037
468,37716
469,63063
470,39522
471,66801
472,35994
473,67830
474,40047
475,56658
476,36477
477,74676
478,41055
479,71757
480,38430
481,71589
482,37947
483,74676
484,37905
485,75831
486,38178
487,73983
488,37800
489,83937
490,37086
491,69636
492,38514
493,67998
494,40446
495,66402
496,38094
497,79086
498,41580
499,65184
500,38934
501,65142
502,39333
503,75180
504,38451
505,71946
506,38724
507,63903
508,39501
509,73416
510,39060
511,75621
512,36834
513,68523
514,38829
515,65121
516,39102
517,75600
518,40572
519,69951
520,38850
521,73185
522,39585
523,68586
524,39060
525,70938
526,51534
527,86562
528,40005
529,76965
530,39711
531,68838
532,37128
533,55461
534,40152
535,61194
536,37254
537,75600
538,38451
539,70875
540,37086
541,54453
542,39207
543,68271
544,37905
545,60942
546,40761
547,59535
548,37359
549,77721
550,38367
551,72618
552,36855
553,68880
554,37800
555,83391
556,38934
557,65709
558,40992
559,70770
560,38262
561,89544
562,37758
563,71379
564,36015
565,83160
566,37170
567,71463
568,37044
569,76146
570,39144
571,78687
572,37170
573,70980
574,39354
575,73206
576,38283
577,66549
578,39144
579,82110
580,36624
581,73836
582,39837
583,71925
584,36876
585,81186
586,37233
587,75579
588,39228
589,64428
590,39648
591,77469
592,38976
593,75474
594,37905
595,61992
596,37758
597,59262
598,40383
599,62685
600,37548
601,69657
602,39102
603,71043
604,38787
605,60186
606,39333
607,66927
608,37107
609,65604
610,38241
611,62391
612,38241
613,77154
614,40026
615,69888
616,37443
617,64428
618,38031
619,71799
620,37359
621,81060
622,39837
623,71883
624,38598
