# trial, latency
0,42
1,42
2,21
3,21
4,42
5,21
6,21
7,21
8,42
9,42
10,21
11,21
12,42
13,42
14,21
15,42
16,21
17,21
18,42
19,42
20,21
21,42
22,21
23,21
24,42
25,42
26,21
27,42
28,21
29,21
30,42
31,42
32,21
33,42
34,21
35,21
36,42
37,42
38,21
39,42
40,21
41,21
42,42
43,42
44,21
45,42
46,21
47,21
48,42
49,42
50,21
51,42
52,21
53,21
54,42
55,42
56,21
57,42
58,21
59,21
60,42
61,42
62,21
63,42
64,21
65,21
66,42
67,42
68,21
69,42
70,21
71,21
72,42
73,42
74,21
75,42
76,21
77,21
78,42
79,42
80,21
81,21
82,42
83,21
84,42
85,42
86,21
87,21
88,42
89,21
90,42
91,42
92,21
93,21
94,42
95,21
96,42
97,42
98,21
99,21
100,42
101,42
102,42
103,42
104,42
105,42
106,42
107,21
108,21
109,21
110,21
111,42
112,42
113,42
114,42
115,21
116,21
117,21
118,21
119,21
120,42
121,42
122,42
123,42
124,21
125,21
126,21
127,21
128,21
129,42
130,42
131,42
132,42
133,21
134,21
135,21
136,21
137,21
138,42
139,42
140,42
141,21
142,21
143,21
144,21
145,21
146,21
147,42
148,42
149,42
150,21
151,21
152,21
153,21
154,21
155,21
156,42
157,42
158,42
159,21
160,21
161,21
162,42
163,42
164,21
165,21
166,21
167,42
168,42
169,42
170,21
171,21
172,42
173,42
174,21
175,21
176,21
177,21
178,42
179,42
180,42
181,21
182,21
183,21
184,21
185,21
186,21
187,42
188,42
189,42
190,21
191,21
192,21
193,21
194,21
195,21
196,42
197,42
198,42
199,21
200,21
201,21
202,21
203,21
204,21
205,42
206,42
207,42
208,21
209,21
210,21
211,21
212,21
213,21
214,42
215,42
216,42
217,21
218,21
219,21
220,21
221,21
222,21
223,42
224,42
225,42
226,21
227,21
228,21
229,21
230,21
231,21
232,42
233,42
234,42
235,21
236,21
237,21
238,21
239,21
240,21
241,42
242,42
243,42
244,21
245,21
246,21
247,21
248,21
249,21
250,42
251,42
252,42
253,21
254,21
255,21
256,21
257,21
258,21
259,42
260,42
261,42
262,21
263,21
264,21
265,21
266,21
267,42
268,42
269,42
270,42
271,21
272,21
273,21
274,21
275,21
276,42
277,42
278,42
279,42
280,21
281,21
282,21
283,21
284,21
285,42
286,42
287,42
288,42
289,21
290,21
291,21
292,21
293,21
294,42
295,42
296,42
297,42
298,21
299,21
300,21
301,21
302,21
303,42
304,42
305,42
306,42
307,21
308,21
309,21
310,21
311,21
312,42
313,42
314,42
315,42
316,21
317,21
318,21
319,21
320,42
321,42
322,42
323,42
324,21
