# trial, latency
0,301967
1,151441
2,135624
3,160414
4,153570
5,154186
6,137349
7,135801
8,136737
9,136165
10,135119
11,136067
12,139386
13,147024
14,154772
15,149278
16,154351
17,134850
18,190863
19,159265
20,283527
21,182175
22,266330
23,162604
24,268291
25,174140
26,284511
27,143070
28,264911
29,155324
30,184788
31,168453
32,178295
33,130942
34,135772
35,132112
36,132441
37,275525
38,155988
39,240225
40,143897
41,241271
42,193408
43,244275
44,141999
45,451484
46,122336
47,188083
48,140130
49,163013
50,145546
51,137084
52,138035
53,135298
54,141731
55,135287
56,135845
57,150735
58,150589
59,136826
60,136905
61,133729
62,140778
63,159967
64,144129
65,134659
66,140433
67,187553
68,159602
69,153552
70,146477
71,136157
72,136647
73,136130
74,149843
75,160662
76,143615
77,138326
78,181197
79,151985
80,139845
81,143728
82,149380
83,135678
84,138118
85,135966
86,141524
87,144893
88,134710
89,135764
90,139227
91,133438
92,137669
93,156184
94,160915
95,135806
96,147579
97,147002
98,144848
99,135583
100,135456
101,133892
102,168807
103,146010
104,142691
105,139119
106,149909
107,143624
108,145544
109,149900
110,166724
111,147252
112,139220
113,145077
114,151914
115,159188
116,232033
117,147709
118,141229
119,135081
120,133901
121,134005
122,139015
123,133596
124,137108
125,149855
126,179154
127,169073
128,209698
129,143136
130,144254
131,161679
132,142289
133,146952
134,175439
135,143945
136,170152
137,135238
138,142114
139,135613
140,159331
141,139214
142,144985
143,135352
144,149861
145,154978
146,141844
147,135351
148,146919
149,143873
150,142908
151,146530
152,136112
153,165564
154,150944
155,181702
156,146917
157,136074
158,141146
159,136309
160,135515
161,137916
162,174054
163,152714
164,137580
165,140614
166,182303
167,142513
168,146949
169,136721
170,139152
171,143187
172,139841
173,133506
174,136986
175,132826
176,133325
177,141782
178,138014
179,156324
180,162465
181,140893
182,143853
183,153697
184,181341
185,154939
186,146896
187,129893
188,160760
189,194679
190,130339
191,137577
192,137301
193,135226
194,140965
195,135506
196,134451
197,222629
198,189822
199,156309
200,151151
201,173900
202,154987
203,150845
204,143145
205,140020
206,135610
207,135013
208,137277
209,162893
210,138531
211,136329
212,156289
213,184053
214,169080
215,146723
216,140689
217,144495
218,142091
219,143392
220,141170
221,145772
222,140433
223,139717
224,153316
225,167443
226,148491
227,151079
228,138881
229,156071
230,137197
231,136775
232,136867
233,143868
234,139250
235,148869
236,136618
237,141817
238,136962
239,136380
240,136400
241,142584
242,139562
243,167984
244,203926
245,301661
246,469635
247,207306
248,231177
249,315805
250,157594
251,440866
252,146802
253,438256
254,147435
255,436901
256,127269
257,254586
258,221465
259,176268
260,183054
261,144037
262,138858
263,136549
264,137209
265,141785
266,150860
267,157079
268,157132
269,142379
270,137458
271,135919
272,135188
273,140290
274,147041
275,138572
276,136207
277,175580
278,166455
279,133203
280,136076
281,159694
282,139544
283,136623
284,135937
285,143437
286,137143
287,136204
288,142643
289,144013
290,138944
291,135845
292,134558
293,140172
294,143731
295,133278
296,145439
297,138597
298,137524
299,132544
300,170236
301,299037
302,194611
303,139369
304,151614
305,141880
306,138433
307,135988
308,134668
309,167615
310,137939
311,148574
312,134736
313,189794
314,160977
315,137458
316,149879
317,141823
318,135509
319,134255
320,153385
321,166760
322,152250
323,151385
324,170730
325,143425
326,134169
327,142489
328,133771
329,139811
330,136816
331,135577
332,137987
333,138537
334,135622
335,142733
336,136731
337,140623
338,247873
339,147012
340,161007
341,277237
342,146557
343,166986
344,175065
345,294961
346,182067
347,158205
348,110412
349,138334
350,165821
351,136436
352,154927
353,138914
354,139609
355,112136
356,135203
357,142682
358,135931
359,135604
360,133399
361,138813
362,136942
363,165273
364,169469
365,148566
366,268556
367,256803
368,248016
369,149182
370,272101
371,145664
372,138329
373,180201
374,154737
375,134466
376,138335
377,145150
378,142247
379,140455
380,155746
381,155229
382,140611
383,148754
384,148742
385,145047
386,156220
387,138494
388,139659
389,144217
390,139516
391,137714
392,139137
393,260921
394,164076
395,269972
396,319803
397,169343
398,297119
399,147322
400,262820
401,154336
402,196997
403,142746
404,159019
405,160646
406,131679
407,155578
408,139663
409,136992
410,136255
411,144422
412,153663
413,152020
414,144927
415,148133
416,143979
417,143009
418,136106
419,142502
420,137873
421,136708
422,149959
423,139883
424,140235
425,134377
426,134925
427,209407
428,183215
429,164929
430,143673
431,188448
432,139008
433,152810
434,153257
435,144636
436,170918
437,180489
438,162448
439,143979
440,140786
441,134995
442,134169
443,139675
444,137735
445,136383
446,139327
447,155523
448,140094
449,135949
450,157141
451,187597
452,180917
453,142186
454,154994
455,203143
456,155223
457,150929
458,158456
459,186582
460,147475
461,157496
462,156875
463,185029
464,155859
465,161347
466,140745
467,342555
468,205428
469,168535
470,183416
471,192348
472,162472
473,168131
474,142978
475,185169
476,161655
477,164323
478,157630
479,183548
480,155865
481,161549
482,140455
483,178568
484,155609
485,204504
486,229702
487,241917
488,209315
489,208428
490,214219
491,234942
492,208954
493,216274
494,212328
495,262799
496,207544
497,205605
498,212784
499,230431
500,182645
501,176616
502,163812
503,190821
504,154810
505,164892
506,157903
507,188684
508,145468
509,153461
510,153776
511,182196
512,155816
513,158946
514,141324
515,185438
516,164078
517,166959
518,142489
519,203066
520,177644
521,266986
522,242170
523,196340
524,166697
525,165363
526,142064
527,181930
528,162625
529,140379
530,193611
531,189451
532,200375
533,172083
534,178537
535,160371
536,149662
537,148136
538,140274
539,157456
540,141816
541,158636
542,139776
543,186823
544,142774
545,153250
546,170857
547,184475
548,172872
549,144009
550,155049
551,189625
552,179011
553,206676
554,189824
555,176513
556,154764
557,146285
558,149555
559,173967
560,139219
561,147246
562,171576
563,176638
564,134787
565,150323
566,145481
567,167293
568,148151
569,135968
570,145508
571,173426
572,153639
573,172778
574,159894
575,182324
576,155899
577,195413
578,169082
579,177381
580,159465
581,136766
582,149723
583,183970
584,136867
585,157597
586,158875
587,180832
588,160753
589,154251
590,169180
591,180559
592,160114
593,159931
594,164240
595,185576
596,140419
597,162475
598,154336
599,185732
600,141651
601,159163
602,153216
603,192192
604,153400
605,158398
606,138198
607,178905
608,222664
609,152565
610,167461
611,190528
612,144368
613,162148
614,165516
615,182174
616,242268
617,150525
618,179446
619,198270
620,149577
621,162766
622,163794
623,183762
624,164859
625,156162
626,176635
627,185053
628,155419
629,168866
630,140914
631,184214
632,155361
633,156144
634,161246
635,181309
636,162121
637,141296
638,154073
639,180320
640,164647
641,176158
642,143098
643,187545
644,141884
645,154960
646,168204
647,183407
648,171958
649,167969
650,146169
651,183579
652,163699
653,165733
654,192583
655,195740
656,142244
657,156605
658,223994
659,147643
660,140638
661,139100
662,137993
663,139501
664,163198
665,135916
666,143119
667,139492
668,141984
669,138136
670,140954
671,143554
672,137855
673,178852
674,158325
675,141504
676,151066
677,181272
678,156083
679,149042
680,158799
681,211313
682,141783
683,155970
684,156909
685,184814
686,173876
687,194391
688,195037
689,222655
690,207186
691,208862
692,160995
693,188317
694,139397
695,153810
696,153094
697,182257
698,155281
699,160297
700,148304
701,184331
702,162528
703,166168
704,136356
705,176464
706,157064
707,140672
708,177706
709,186001
710,162568
711,168073
712,158355
713,187751
714,163653
715,175283
716,142367
717,184566
718,155725
719,163304
720,161604
721,184937
722,164913
723,257911
724,180562
725,151072
726,146643
727,145502
728,146769
729,146490
730,146423
731,142924
732,147494
733,137611
734,139409
735,139920
736,140290
737,137803
738,136200
739,141079
740,139406
741,175262
742,151351
743,206823
744,160765
745,162212
746,161925
747,181685
748,167828
749,158689
750,160032
751,182006
752,160723
753,167902
754,267632
755,195994
756,193232
757,226778
758,153926
759,139415
760,139338
761,168080
762,191091
763,151876
764,151849
765,141908
766,141299
767,139902
768,139743
769,150919
770,141140
771,142535
772,140654
773,139556
774,141700
775,142214
776,141972
777,221498
778,143563
779,146062
780,145554
781,165706
782,251595
783,154682
784,171386
785,164503
786,148518
787,190409
788,142434
789,155743
790,155033
791,185720
792,170609
793,142465
794,163381
795,195789
796,155966
797,171808
798,169064
799,185741
800,155395
801,159435
802,162543
803,192801
804,143233
805,180972
806,211453
807,151981
808,191568
809,142746
810,169425
811,157805
812,203299
813,160129
814,164136
815,166788
816,166085
817,157444
818,279809
819,133038
820,265952
821,111782
822,148417
823,139945
824,189283
825,144905
826,162065
827,174674
828,202139
829,163913
830,141856
831,171691
832,190445
833,140155
834,156076
835,157456
836,190293
837,142324
838,162258
839,153911
840,182083
841,172946
842,158584
843,143061
844,175170
845,157994
846,156355
847,159873
848,185518
849,156391
850,174760
851,139577
852,207034
853,156728
854,170089
855,139908
856,193510
857,141125
858,154284
859,169327
860,207571
861,146912
862,153822
863,241036
864,265999
865,178024
866,173013
867,146894
868,190400
869,166779
870,152012
871,161582
872,182860
873,135209
874,179076
875,155040
876,180755
877,164525
878,140602
879,153271
880,174117
881,153510
882,156306
883,161142
884,204779
885,158475
886,161904
887,165859
888,188686
889,168180
890,160102
891,165601
892,177076
893,157888
894,180113
895,167929
896,190491
897,170077
898,148010
899,163638
900,227696
901,163405
902,146805
903,154269
904,209404
905,209591
906,165525
907,148337
908,184622
909,162686
910,141629
911,155688
912,183404
913,171539
914,145343
915,351807
916,281727
917,161267
918,158364
919,146276
920,138880
921,148411
922,427186
923,119692
924,148699
925,175855
926,162209
927,160943
928,137677
929,275646
930,204736
931,255347
932,151653
933,147848
934,139495
935,139149
936,135999
937,137568
938,139130
939,137943
940,139039
941,158870
942,139837
943,135236
944,136433
945,135971
946,135096
947,135252
948,137607
949,140608
950,133906
951,136231
952,130177
953,134607
954,166447
955,163430
956,142966
957,134747
958,134445
959,135998
960,134135
961,136041
962,160377
963,146469
964,138360
965,141550
966,167889
967,157108
968,154125
969,140926
970,138739
971,142541
972,141581
973,136353
974,132472
975,143917
976,145732
977,136748
978,136717
979,142339
980,171912
981,141514
982,137136
983,200362
984,264255
985,166351
986,138788
987,158105
988,169618
989,140317
990,164026
991,165531
992,140394
993,138650
994,136598
995,134658
996,168516
997,139838
998,161429
999,146007
