# trial, latency
0,1277071
1,1186334
2,1056974
3,1059574
4,1103895
5,1040260
6,1090039
7,1026973
8,1019598
9,1099751
10,1036809
11,1022473
12,1049482
13,1097742
14,1044414
15,1067309
16,1052171
17,1277071
18,1054609
19,1063773
20,1105609
21,1046148
22,1075127
23,1045475
24,1064327
25,1045087
26,1038590
27,1205354
28,1038006
29,1065452
30,1020598
31,1017404
32,1036250
33,1047950
34,1244764
35,1029028
36,1024467
37,1043227
38,1021825
39,1030199
40,1087874
41,1101427
42,1145306
43,1049825
44,1021121
45,1029343
46,1045004
47,1062806
48,1100635
49,1081108
50,1040633
51,1026177
52,1231299
53,1072992
54,1125363
55,1137555
56,1065287
57,1054830
58,1178554
59,1034546
60,1086366
61,1063648
62,1105031
63,1052958
64,987008
65,1060702
66,1015931
67,992303
68,991759
69,1029273
70,1150665
71,1105683
72,995021
73,990047
74,1040160
75,1026967
76,1102118
77,1021619
78,1030393
79,991040
80,1026899
81,990591
82,988835
83,1022819
84,1023410
85,956035
86,952137
87,955379
88,1114822
89,986686
90,972738
91,1007295
92,1043710
93,998102
94,992568
95,962942
96,960700
97,972640
98,986018
99,1049889
100,971178
101,992536
102,1032119
103,967902
104,970167
105,992668
106,1030247
107,1158511
108,1008332
109,993998
110,1120938
111,1007084
112,973284
113,1058951
114,1083414
115,1024972
116,1003762
117,1040188
118,972047
119,1149440
120,961760
121,1006134
122,991250
123,956956
124,1102109
125,1207295
126,1105919
127,1054210
128,1052786
129,962581
130,1026373
131,960980
132,956436
133,1047604
134,960136
135,1052515
136,1068759
137,1048075
138,983346
139,1117157
140,969381
141,970037
142,1079198
143,1289196
144,1022556
145,1023299
146,1031830
147,962378
148,1079751
149,1036638
150,1118843
151,1031189
152,993903
153,1010973
154,1060081
155,1015878
156,997524
157,1020790
158,1026290
159,1199497
160,1011503
161,1108686
162,1029302
163,967734
164,1109671
165,1025611
166,1006807
167,962456
168,1068182
169,959371
170,1007035
171,963430
172,1056510
173,981414
174,1037475
175,995909
176,982806
177,982898
178,1009366
179,1054367
180,1126057
181,966879
182,957271
183,1006371
184,1009866
185,994621
186,985533
187,1168515
188,980059
189,1080502
190,1009464
191,970854
192,987749
193,993523
194,1000269
195,1014514
196,1062256
197,984964
198,1108591
199,961798
200,956826
201,1106887
202,976034
203,979310
204,970028
205,967780
206,956459
207,1018105
208,969179
209,1042387
210,967315
211,969020
212,958814
213,999096
214,959978
215,968208
216,997461
217,1131127
218,965394
219,968483
220,960503
221,957562
222,991895
223,1028046
224,1035958
225,965025
226,959733
227,996430
228,988537
229,1011218
230,1019119
231,988083
232,1035323
233,969659
234,969947
235,1112864
236,1153600
237,964756
238,965516
239,1046983
240,1046365
241,965169
242,985253
243,1002889
244,1009416
245,1031787
246,962185
247,1039610
248,977823
249,996002
250,1067875
251,985366
252,1038137
253,991400
254,1033901
255,1004903
256,1029071
257,1019610
258,1014089
259,1079364
260,1005429
261,1020208
262,975607
263,978854
264,976156
265,997507
266,1035335
267,969482
268,1027653
269,990898
270,965750
271,957886
272,958516
273,1178646
274,985704
275,997542
276,1121554
277,1082972
