# trial, latency
0,589225
1,495878
2,392927
3,375303
4,354705
5,403734
6,414188
7,418867
8,375434
9,445821
10,392677
11,379246
12,392823
13,575987
14,594267
15,575586
16,590559
17,529303
18,527416
19,550913
20,444793
21,412706
22,448209
23,419892
24,373247
25,175234
26,159851
27,144705
28,150337
29,141716
30,139304
31,138947
32,155507
33,161688
34,381038
35,189024
36,376816
37,182167
38,393782
39,187449
40,490293
41,226611
42,461162
43,148781
44,456451
45,178886
46,417574
47,239628
48,341218
49,246037
50,393453
51,248486
52,417846
53,283135
54,399482
55,253888
56,396781
57,126072
58,414535
59,184903
60,367492
61,184766
62,361151
63,183581
64,348174
65,177682
66,340924
67,181427
68,350735
69,179528
70,383609
71,178027
72,356137
73,195312
74,367994
75,182853
76,386294
77,175172
78,363551
79,170587
80,361611
81,167954
82,375208
83,176889
84,373797
85,170289
86,374477
87,169122
88,378049
89,170007
90,356503
91,169024
92,349333
93,170120
94,379629
95,170709
96,339097
97,169214
98,351413
99,171704
100,348973
101,168304
102,331614
103,168165
104,398612
105,153322
106,382269
107,179941
108,391985
109,173923
110,367732
111,176541
112,344267
113,172204
114,383133
115,191155
116,517808
117,179466
118,347686
119,194243
120,347505
121,194295
122,374993
123,228734
124,395483
125,200634
126,358133
127,181749
128,382249
129,176089
130,340955
131,190346
132,330125
133,212989
134,351745
135,200642
136,373285
137,177704
138,323452
139,176089
140,364413
141,192316
142,356249
143,202200
144,399707
145,197297
146,414706
147,133109
148,359222
149,237031
150,417251
151,198421
152,428596
153,196913
154,354551
155,172099
156,343062
157,132565
158,367473
159,230324
160,370730
161,229269
162,408376
163,237182
164,374374
165,266134
166,376367
167,270311
168,359154
169,232060
170,382809
171,236633
172,381535
173,138894
174,367851
175,262880
176,368591
177,234104
178,354518
179,232550
180,348709
181,232859
182,369818
183,234576
184,349131
185,266085
186,358078
187,236740
188,362713
189,237004
190,364053
191,231305
192,388827
193,238888
194,397745
195,272674
196,344951
197,269269
198,344474
199,265963
200,355484
201,266929
202,357980
203,265375
204,436147
205,214920
206,375577
207,181949
208,358653
209,120380
210,363752
211,136555
212,386111
213,242479
214,406057
215,246135
216,417378
217,249116
218,359210
219,288189
220,359162
221,245110
222,380441
223,217378
224,371310
225,220896
226,370581
227,271856
228,382055
229,236261
230,381802
231,221669
232,347499
233,229635
234,355264
235,242736
236,395031
237,269643
238,358289
239,295881
240,431081
241,251392
242,344308
243,262805
244,396427
245,229682
246,398730
247,249279
248,372050
249,227228
250,353121
251,221832
252,404789
253,221000
254,356268
255,223190
256,391684
257,283643
258,446016
259,266795
260,376729
261,224322
262,395450
263,257355
264,390624
265,260576
266,352177
267,225876
268,403065
269,137669
270,372742
271,134216
272,360904
273,133539
274,404959
275,210518
276,367637
277,223520
278,389687
279,285206
280,348379
281,223760
282,361849
283,223594
284,368959
285,223562
286,339976
287,220257
288,356402
289,243719
290,380833
291,219514
292,420962
293,324541
294,431083
295,265993
296,385626
297,282039
298,502974
299,289009
300,377669
301,252390
302,382997
303,264454
304,353698
305,266029
306,354447
307,239150
308,366018
309,241559
310,369111
311,326961
312,377170
313,272064
314,340456
315,263836
316,400590
317,260499
318,375945
319,258904
320,355175
321,253867
322,477847
323,140843
324,365319
325,283980
326,350385
327,253427
328,364891
329,251689
330,378435
331,284137
332,347960
333,276712
334,382916
335,283733
336,370127
337,258244
338,371672
339,261367
340,385973
341,141574
342,361026
343,126217
344,407980
345,233248
346,403072
347,269366
348,416812
349,265603
350,352427
351,266038
352,366240
353,125445
354,389504
355,248566
356,366745
357,252886
358,355852
359,288709
360,362253
361,282597
362,340021
363,250563
364,445147
365,249047
366,353032
367,251653
368,352201
369,215066
370,340731
371,248403
372,378801
373,242412
374,392561
375,250215
376,370626
377,255225
378,406093
379,253713
380,350786
381,258054
382,345711
383,362996
384,400489
385,250152
386,376926
387,256289
388,372234
389,252530
390,349309
391,250554
392,370531
393,252063
394,410087
395,128086
396,415757
397,237869
398,401538
399,247743
400,377497
401,255109
402,377368
403,127983
404,412265
405,281237
406,384830
407,295160
408,418243
409,262645
410,389801
411,139304
412,383662
413,136879
414,360253
415,137036
416,397568
417,266071
418,380078
419,244819
420,390743
421,278762
422,347619
423,280205
424,369518
425,282075
426,423922
427,286372
428,358054
429,283084
430,369093
431,246861
432,361477
433,249475
434,414960
435,328757
436,353270
437,257186
438,337046
439,253272
440,394514
441,254607
442,353689
443,250129
444,388431
445,250295
446,348801
447,283616
448,397324
449,133815
450,364701
451,228349
452,371191
453,133967
454,409448
455,283531
456,425146
457,283430
458,397910
459,251410
460,378168
461,127308
462,408117
463,226120
464,386930
465,142135
466,367173
467,180746
468,387192
469,134300
470,423206
471,134154
472,401731
473,141387
474,128793
475,354973
476,253897
477,341349
478,247657
479,365607
480,121152
481,411141
482,280826
483,396347
484,284723
485,377864
486,276618
487,380985
488,168979
489,359186
490,138171
491,364918
492,150678
493,352682
494,143793
495,136701
496,137223
497,136472
498,128143
499,389307
500,249826
501,394431
502,274966
503,377167
504,229695
505,360372
506,228432
507,340924
508,230250
509,376691
510,230404
511,374617
512,137405
513,386642
514,295201
515,394232
516,261293
517,367245
518,231216
519,393393
520,139648
521,354687
522,138632
523,381683
524,136804
525,366615
526,141613
527,373672
528,138439
529,447509
530,140323
531,129923
532,359424
533,141680
534,141428
535,1462006
536,131702
537,394654
538,294300
539,346857
540,271018
541,348703
542,267203
543,369668
544,128500
545,342119
546,132438
547,126860
548,410713
549,136427
550,134426
551,125245
552,331965
553,137366
554,134813
555,139490
556,374487
557,260058
558,342995
559,265234
560,345505
561,292934
562,374750
563,255763
564,349186
565,136820
566,364433
567,268849
568,359520
569,268058
570,490863
571,379279
572,363024
573,287624
574,372941
575,271986
576,378534
577,135576
578,357353
579,296171
580,337685
581,273026
582,337931
583,260343
584,378875
585,266213
586,378037
587,135581
588,392178
589,171603
590,346822
591,176268
592,387210
593,173344
594,335079
595,175926
596,346097
597,174138
598,315767
599,260388
600,336504
601,262262
602,332387
603,265194
604,355798
605,267827
606,383976
607,265816
608,343734
609,276014
610,339311
611,265089
612,353132
613,263817
614,327458
615,277265
616,342423
617,267380
618,368626
619,275474
620,325294
621,258740
622,366210
623,327360
624,370136
625,260452
626,376680
627,281332
628,442783
629,267089
630,342796
631,262860
632,426917
633,268459
634,377748
635,134351
636,346505
637,269371
638,338954
639,261104
640,343801
641,260858
642,336290
643,268748
644,420314
645,135899
646,514161
647,307494
648,438880
649,294995
650,411603
651,297922
652,370500
653,131372
654,366525
655,277862
656,365078
657,264832
658,379106
659,266806
660,418597
661,137410
662,440628
663,130159
664,350148
665,127050
666,420989
667,260091
668,365026
669,263212
670,486049
671,286048
672,367591
673,265462
674,345346
675,269419
676,385011
677,293697
678,376072
679,253941
680,329408
681,269159
682,355743
683,258260
684,436670
685,265186
686,401215
687,301956
688,373386
689,262441
690,344737
691,262554
692,346698
693,256108
694,335166
695,267167
696,375365
697,265440
698,338255
699,262603
700,338901
701,264784
702,341727
703,265475
704,381027
705,133008
706,488347
707,279647
708,419640
709,292110
710,418470
711,290359
712,371410
713,269833
714,388827
715,286169
716,328677
717,280962
718,392580
719,277787
720,335507
721,262415
722,411222
723,133984
724,392852
725,270096
726,329914
727,263193
728,347672
729,266380
730,326277
731,260127
732,334634
733,286399
734,361553
735,331817
736,335082
737,266061
738,362879
739,271249
740,341865
741,265931
742,340325
743,260718
744,354427
745,258229
746,339927
747,260794
748,406940
749,304039
750,412890
751,278295
752,365537
753,269376
754,384494
755,162235
756,452313
757,295396
758,404473
759,293869
760,442301
761,298104
762,393747
763,270579
764,361044
765,246940
766,351962
767,308323
768,344201
769,261634
770,411501
771,257528
772,402852
773,249671
774,344308
775,266365
776,365126
777,244967
778,373842
779,243387
780,359213
781,324410
782,379024
783,195211
784,332450
785,184291
786,332247
787,184656
788,380922
789,184175
790,348020
791,194498
792,336339
793,198539
794,360719
795,191993
796,405501
797,257495
798,364665
799,251778
800,507847
801,315169
802,339999
803,314802
804,373752
805,229207
806,389126
807,341189
808,372302
809,238091
810,347791
811,244819
812,336981
813,231240
814,367420
815,234746
816,339358
817,256177
818,358846
819,263438
820,358384
821,266599
822,337070
823,270651
824,366170
825,272006
826,343486
827,267652
828,402310
829,258497
830,353476
831,276755
