# trial, latency
0, 1786554
1, 20349
2, 10752
3, 10983
4, 9891
5, 10017
6, 10059
7, 11739
8, 10164
9, 10941
10, 10752
11, 9996
12, 9912
13, 9891
14, 9975
15, 10899
16, 9954
17, 10311
18, 9450
19, 10395
20, 10710
21, 9975
22, 9996
23, 9849
24, 10311
25, 11235
26, 9933
27, 9975
28, 9849
29, 9975
30, 10920
31, 9912
32, 10122
33, 9954
34, 9828
35, 10710
36, 9954
37, 9975
38, 9975
39, 10941
40, 11004
41, 10290
42, 9975
43, 10269
44, 10710
45, 11004
46, 9996
47, 9954
48, 9954
49, 10164
50, 10941
51, 9849
52, 9912
53, 10080
54, 10059
55, 10878
56, 9870
57, 9954
58, 9954
59, 10689
60, 11487
61, 9954
62, 9954
63, 9954
64, 21798
65, 10080
66, 9954
67, 9954
68, 9975
69, 10689
70, 9996
71, 10122
72, 9954
73, 10290
74, 10794
75, 10038
76, 10038
77, 9954
78, 9996
79, 10878
80, 9891
81, 9954
82, 9912
83, 10479
84, 10773
85, 9933
86, 8946
87, 10227
88, 10626
89, 9912
90, 10122
91, 10815
92, 9828
93, 10752
94, 10038
95, 9891
96, 9933
97, 9912
98, 10689
99, 9954
100, 10017
101, 10143
102, 12495
103, 10920
104, 9975
105, 9849
106, 9996
107, 9933
108, 11340
109, 11004
110, 9450
111, 9975
112, 10101
113, 10311
114, 10248
115, 10647
116, 10920
117, 10290
118, 9975
119, 9912
120, 9912
121, 9912
122, 10416
123, 9975
124, 9954
125, 9933
126, 9933
127, 10416
128, 10227
129, 10038
130, 9891
131, 9891
132, 10500
133, 9954
134, 9954
135, 9933
136, 9954
137, 10416
138, 9996
139, 9954
140, 9933
141, 9933
142, 10479
143, 10017
144, 9933
145, 9933
146, 9954
147, 10647
148, 9891
149, 9891
150, 9933
151, 10059
152, 10920
153, 9954
154, 9954
155, 9933
156, 10185
157, 10941
158, 10038
159, 9891
160, 9912
161, 10080
162, 10458
163, 9954
164, 9912
165, 9954
166, 10395
167, 30366
168, 11781
169, 10500
170, 10059
171, 11088
172, 9975
173, 9912
174, 9933
175, 10101
176, 10731
177, 9912
178, 9933
179, 9912
180, 10164
181, 10311
182, 9954
183, 9954
184, 9975
185, 10248
186, 10122
187, 9954
188, 9975
189, 9975
190, 10311
191, 9996
192, 10185
193, 10080
194, 9933
195, 10479
196, 9870
197, 9975
198, 9975
199, 9975
200, 10479
201, 9954
202, 9975
203, 9954
204, 9996
205, 10563
206, 10059
207, 9933
208, 9996
209, 9975
210, 10584
211, 9912
212, 9996
213, 9954
214, 10269
215, 10521
216, 9891
217, 9954
218, 9849
219, 10038
220, 10794
221, 9891
222, 9975
223, 9975
