Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  550,167336,13680, 748,711918,1778,1858
Hyper-V,  304, 838,10070, 532,35036,1972,1864
Hyper-V,  332, 856,10016, 558,34372,1818,1862
Hyper-V,  334, 770,9940, 566,34398,1824,1850
Hyper-V,  334, 864,9890, 558,34262,1820,1870
Hyper-V,  306, 854,9874, 514,34172,1826,1864
Hyper-V,  334, 792,9936, 558,34120,1826,1862
Hyper-V,  332,1116,9774, 558,34496,1836,1864
Hyper-V,  298, 918,9692, 532,34136,1828,1862
Hyper-V,  298, 970,9702, 522,34164,1824,1848
Hyper-V,  298, 926,9666, 540,34102,1818,1872
Hyper-V,  338, 914,9742, 554,34056,1836,1858
Hyper-V,  298, 910,9710, 522,34012,1836,1862
Hyper-V,  298, 980,9720, 532,34048,1818,1862
Hyper-V,  304,1126,9666, 522,34102,1836,1872
Hyper-V,  224, 800,12426, 526,34758,1826,1856
Hyper-V,  304, 812,9692, 522,34308,1818,1864
Hyper-V,  148, 594,4648, 250,15738, 832, 854
Hyper-V,  134, 798,4414, 234,15728, 834, 846
Hyper-V,  134, 804,4868, 234,15568, 898, 850
Hyper-V,  134, 606,4598, 232,15660, 836, 858
Hyper-V,  134, 718,4426, 236,16520, 902, 852
Hyper-V,  148, 698,4446, 252,16038, 844, 844
Hyper-V,  134, 684,4442, 234,15628, 904, 854
Hyper-V,  136, 650,4442, 236,15526, 840, 854
Hyper-V,  134, 708,4424, 230,15578, 892, 854
Hyper-V,  148, 674,4458, 246,15542, 908, 850
Hyper-V,  148, 734,4458, 248,15536, 838, 852
Hyper-V,  134, 900,4426, 234,15632,1136, 848
Hyper-V,  134, 710,4428, 238,15882, 900, 854
Hyper-V,  134, 674,4434, 236,15540, 840, 852
Hyper-V,  134, 822,4404, 232,15530, 908, 856
Hyper-V,  134, 714,4444, 238,15538, 898, 850
Hyper-V,  134, 678,4412, 232,15536, 834, 856
Hyper-V,  148, 738,4456, 246,15568, 932, 846
Hyper-V,  148, 726,4460, 252,15550, 904, 848
Hyper-V,  148, 732,4456, 246,15678, 938, 854
Hyper-V,  134, 712,4432, 232,15722, 898, 854
Hyper-V,  134, 610,4428, 234,15518, 838, 844
Hyper-V,  134, 672,4698, 232,15518, 926, 848
Hyper-V,  134, 692,4448, 238,15538, 900, 856
Hyper-V,  134, 786,4430, 236,15470,1342, 850
Hyper-V,  136, 758,4474, 236,15572,1348, 852
Hyper-V,  134, 752,4456, 238,15632, 902, 854
Hyper-V,  134, 706,4630, 234,15578,1090, 850
Hyper-V,  134, 712,4422, 238,15586, 836, 852
Hyper-V,  134, 672,4418, 230,15692, 906, 850
Hyper-V,  134, 730,4410, 240,15494, 892, 850
Hyper-V,  134, 664,4410, 236,15504, 992, 852
Hyper-V,  134, 692,4416, 236,15740, 996, 846
Hyper-V,  148, 694,4494, 250,15686, 926, 856
Hyper-V,  148, 654,4454, 246,15614, 908, 846
Hyper-V,  134, 708,4426, 234,15524,1368, 850
Hyper-V,  134, 748,4456, 236,15614, 914, 846
Hyper-V,  134, 636,4412, 236,15542, 838, 848
Hyper-V,  134, 700,4442, 232,15604,1530, 846
Hyper-V,  134, 726,4430, 238,15484, 912, 854
Hyper-V,  148, 602,4514, 250,15560, 840, 854
Hyper-V,  134, 672,4440, 232,15554, 902, 854
Hyper-V,  134, 716,4414, 232,15476, 908, 852
Hyper-V,  134, 754,4446, 236,15592, 906, 850
Hyper-V,  148, 742,4476, 250,15638, 934, 856
Hyper-V,  134, 644,4424, 236,15790,1334, 846
