Platform, cli, lgdt, prot, in 32, id map, long, in 64
KVM Noserial,   92,137154,99641, 224,1038207, 765, 205
KVM Noserial,   55, 236,103361, 569,483000, 722, 180
KVM Noserial,   92, 193,101357, 220,484426, 771, 183
KVM Noserial,   37, 193,101042, 245,477837, 924, 198
KVM Noserial,   34, 183,103404, 211,464338,1062, 186
KVM Noserial,   37, 199,103315, 232,466076, 817, 208
KVM Noserial,   83, 183,104340, 373,470524,1495, 184
KVM Noserial,   37, 190,102421, 233,483389, 841, 193
KVM Noserial,   40, 183,96864, 263,466309, 942, 205
KVM Noserial,   95, 269,102348, 227,475729, 973, 208
KVM Noserial,   77, 196,103978, 217,537864, 801, 224
KVM Noserial,   95, 180,97161, 229,473861, 844, 199
KVM Noserial,   71, 171,101002, 309,474736,1159, 190
KVM Noserial,   34, 168,60393, 199,264270, 679, 165
KVM Noserial,   89, 177,58935, 199,262306, 679, 168
KVM Noserial,   89, 174,60510, 202,262364, 679, 168
KVM Noserial,   27, 175,58827, 202,262799, 679, 165
KVM Noserial,   34, 168,59121, 202,262141, 679, 165
KVM Noserial,   89, 174,59164, 202,262588, 679, 168
KVM Noserial,   31, 333,97414, 401,461665, 728, 199
KVM Noserial,   95, 202,103462, 260,473160,1147, 171
KVM Noserial,   82, 181,59907, 199,263049, 679, 172
KVM Noserial,   89, 181,58980, 202,262499, 679, 168
KVM Noserial,   95, 208,92569, 208,600053,30743, 169
KVM Noserial,  172, 256,100746, 223,476718, 889, 202
KVM Noserial,   38, 158,58751, 196,286051, 757, 170
KVM Noserial,   27, 193,99213, 205,466580, 912, 178
KVM Noserial,   98, 193,100268, 264,486661, 930, 199
KVM Noserial,   95, 187,84279, 193,372462, 679, 165
KVM Noserial,   27, 158,57069, 196,252833, 654, 166
KVM Noserial,   63, 190,93276, 211,463965, 885, 193
KVM Noserial,   92, 181,99097, 205,466345, 918, 173
KVM Noserial,   51, 270,97285, 220,464630,1040, 193
KVM Noserial,   68, 205,159829, 233,479441,1174, 190
KVM Noserial,   27, 243,91030, 205,442449, 698, 184
KVM Noserial,   27, 190,89737, 185,263114, 665, 155
KVM Noserial,   75, 172,57524, 199,253778, 665, 155
KVM Noserial,   27, 169,56829, 202,252827, 654, 166
KVM Noserial,   72, 196,96440, 226,459746, 820, 199
KVM Noserial,   89, 199,101421, 217,470240, 811, 170
KVM Noserial,   27, 190,100803, 410,461071, 852, 167
KVM Noserial,  226, 181,100048, 205,449702, 897, 182
KVM Noserial,   33, 193,97243, 205,469275, 853, 187
KVM Noserial,   95, 179,99210, 368,469186,1191, 170
KVM Noserial,   95, 202,101254, 211,450959, 972, 199
KVM Noserial,   74, 261,99136, 226,470139, 782, 172
KVM Noserial,   27, 193,99415, 253,451853,1189, 181
