# trial, latency
0, 93600
1, 84485
2, 82980
3, 83004
4, 82833
5, 83170
6, 110824
7, 84108
8, 83028
9, 83344
10, 83548
11, 83099
12, 83567
13, 83365
14, 83213
15, 83120
16, 83509
17, 83500
18, 83323
19, 83219
20, 83582
21, 83353
22, 83117
23, 83111
24, 83172
25, 83338
26, 83598
27, 83322
28, 83209
29, 116027
30, 84457
31, 83375
32, 83032
33, 83286
34, 83298
35, 83374
36, 83307
37, 83136
38, 83392
39, 83564
40, 83420
41, 83350
42, 83105
43, 83493
44, 83234
45, 83448
46, 83380
47, 83601
48, 83004
49, 82919
50, 83053
51, 82885
52, 82548
53, 82977
54, 82576
55, 82845
56, 82738
57, 83335
58, 83084
59, 83203
60, 83115
61, 82781
62, 82897
63, 82937
64, 82808
65, 82989
66, 82784
67, 86959
68, 83246
69, 84029
70, 82916
71, 83169
72, 82732
73, 83080
74, 83065
75, 83402
76, 83225
77, 83035
78, 83099
79, 159442
80, 84503
81, 83552
82, 82744
83, 82995
84, 82809
85, 82463
86, 82821
87, 82668
88, 82536
89, 82294
90, 82533
91, 82665
92, 82729
93, 82377
94, 82267
95, 82854
96, 82387
97, 82484
98, 82411
99, 82319
100, 82567
101, 82827
102, 82741
103, 82934
104, 82833
105, 82836
106, 82631
107, 82539
108, 82496
109, 82726
110, 82705
111, 82879
112, 82714
113, 82564
114, 82442
115, 82907
116, 82368
117, 81952
118, 82466
119, 82738
120, 82316
121, 82478
122, 82478
123, 82726
124, 82212
125, 82631
126, 82707
127, 81762
128, 86861
129, 83597
130, 89544
131, 83435
132, 82940
133, 82756
134, 83390
135, 83564
136, 82958
137, 82640
138, 82154
139, 82509
140, 82848
141, 83304
142, 82625
143, 82927
144, 83279
145, 83090
146, 83114
147, 83001
148, 82870
149, 82716
150, 82772
151, 82735
152, 83133
153, 83157
154, 82717
155, 82579
156, 82481
157, 82937
158, 82989
159, 82659
160, 82762
161, 82754
162, 82802
163, 82980
164, 83295
165, 82392
166, 82750
167, 82634
168, 82145
169, 83270
170, 82074
171, 82750
172, 82230
173, 82622
174, 82493
175, 82579
176, 82356
177, 82469
178, 82512
179, 81958
180, 82261
181, 146496
182, 82708
183, 83066
184, 82399
185, 82450
186, 82004
187, 82494
188, 82289
189, 86525
190, 83702
191, 83023
192, 83069
193, 82979
194, 83072
195, 82811
196, 82453
197, 82349
198, 82240
199, 82426
200, 82108
201, 82411
202, 82723
203, 82301
204, 83322
205, 82423
206, 82650
207, 82607
208, 83240
209, 82977
210, 82224
211, 82806
212, 83139
213, 82460
214, 83111
215, 82845
216, 82668
217, 82738
218, 82634
219, 82585
220, 82891
221, 82365
222, 82995
223, 82659
224, 82738
225, 82203
226, 82836
227, 82142
228, 82784
229, 82435
230, 83060
231, 82408
232, 230605
233, 85204
234, 83405
235, 83500
236, 83010
237, 82815
238, 82524
239, 82805
240, 82695
241, 82968
242, 82784
243, 83025
244, 82616
245, 82279
246, 83004
247, 82497
248, 82796
249, 103501
250, 83576
251, 83203
252, 82968
253, 82812
254, 82869
255, 83050
256, 82901
257, 82677
258, 82622
259, 82503
260, 82671
261, 82628
262, 82469
263, 82863
264, 82646
265, 82711
266, 82961
267, 82882
268, 82276
269, 82411
270, 82414
271, 83270
272, 82451
273, 82677
274, 82631
275, 82692
276, 82441
277, 82414
278, 82472
279, 82542
280, 82420
281, 82637
282, 82604
283, 87534
284, 83530
285, 83166
286, 82882
287, 83081
288, 82625
289, 83246
290, 82817
291, 82976
292, 82934
293, 82172
294, 82585
295, 82561
296, 83032
297, 82759
298, 82680
299, 82496
300, 82793
301, 82429
302, 82830
303, 82796
304, 82901
305, 82601
306, 82857
307, 82989
308, 82383
309, 82814
310, 82998
311, 85919
312, 104211
313, 84225
314, 82830
315, 83286
316, 83179
317, 82830
318, 82857
319, 83928
320, 83282
321, 83139
322, 82906
323, 82710
324, 83056
325, 83038
326, 82946
327, 83114
328, 82848
329, 119982
330, 139663
331, 146832
332, 125834
333, 84286
334, 83949
335, 83953
336, 83967
337, 78930
338, 80401
339, 80570
340, 80752
341, 80407
342, 80889
343, 80350
344, 80505
345, 80427
346, 80752
347, 80434
348, 112218
349, 113364
350, 80380
351, 80478
352, 80600
353, 80633
354, 80484
355, 80514
356, 80624
357, 80330
358, 80323
359, 79726
360, 79872
361, 80419
362, 79950
363, 79884
364, 113872
365, 111512
366, 80808
367, 80134
368, 80475
369, 81108
370, 83729
371, 80478
372, 80357
373, 80725
374, 80736
375, 80089
376, 80737
377, 80767
378, 80761
379, 79988
380, 80190
381, 80585
382, 91181
383, 80802
384, 80758
385, 81019
386, 80606
387, 80113
388, 80252
389, 80460
390, 80891
391, 80573
392, 80457
393, 80262
394, 79845
395, 83264
396, 77934
397, 80330
398, 79964
399, 80300
400, 80223
401, 79730
402, 80148
403, 79985
404, 79637
405, 80068
406, 80312
407, 79913
408, 80050
409, 80306
410, 80321
411, 81258
412, 78482
413, 80273
414, 80172
415, 80223
416, 80130
417, 79925
418, 80047
419, 80065
420, 80119
421, 80023
422, 80270
423, 80017
424, 79979
425, 80348
426, 80306
427, 80683
428, 80775
429, 79593
430, 80434
431, 111482
432, 81126
433, 170404
434, 109054
435, 109003
436, 80508
437, 80511
438, 80532
439, 80871
440, 80258
441, 80368
442, 80148
443, 79738
444, 80252
445, 76529
446, 77827
447, 77414
448, 77942
449, 77726
450, 107185
451, 80978
452, 80787
453, 80677
454, 80787
455, 80597
456, 80457
457, 80785
458, 80900
459, 108196
460, 77873
461, 78387
462, 77500
463, 77601
464, 77887
465, 77769
466, 77555
467, 77471
468, 77936
469, 78040
470, 78098
471, 77821
472, 77977
473, 78205
474, 78023
475, 77928
476, 77309
477, 77994
478, 77670
479, 77558
480, 77812
481, 77809
482, 78237
483, 77581
484, 77832
485, 78009
486, 82365
487, 78803
488, 78182
489, 77870
490, 109122
491, 107185
492, 78179
493, 77425
494, 77151
495, 78332
496, 78017
497, 78208
498, 77775
499, 77420
500, 77850
501, 77104
502, 78349
503, 77676
504, 77662
505, 77682
506, 78144
507, 77673
508, 77417
509, 77353
510, 77483
511, 77630
512, 77705
513, 77477
514, 77578
515, 77572
516, 77656
517, 77720
518, 77680
519, 77529
520, 77781
521, 77520
522, 77428
523, 109206
524, 105375
525, 77137
526, 78344
527, 77538
528, 77514
529, 77772
530, 77783
531, 77605
532, 77451
533, 77971
534, 77720
535, 77151
536, 76963
537, 77128
538, 77350
539, 127914
540, 78896
541, 78586
542, 77963
