# trial, latency
0,1217
1,606
2,581
3,545
4,563
5,540
6,553
7,552
8,537
9,550
10,537
11,547
12,536
13,580
14,535
15,550
16,546
17,534
18,554
19,535
20,548
21,535
22,546
23,535
24,546
25,536
26,549
27,533
28,546
29,548
30,535
31,548
32,534
33,548
34,527
35,559
36,538
37,548
38,535
39,547
40,549
41,535
42,548
43,533
44,548
45,536
46,549
47,533
48,548
49,535
50,549
51,549
52,536
53,547
54,534
55,549
56,534
57,549
58,534
59,549
60,536
61,546
62,549
63,533
64,546
65,533
66,547
67,536
68,550
69,535
70,549
71,536
72,547
73,554
74,534
75,547
76,533
77,549
78,537
79,548
80,534
81,549
82,535
83,547
84,548
85,535
86,547
87,534
88,547
89,534
90,549
91,534
92,550
93,535
94,548
95,549
96,536
97,547
98,536
99,548
100,534
101,548
102,535
103,549
104,533
105,546
106,550
107,537
108,546
109,536
110,549
111,535
112,549
113,535
114,547
115,536
116,549
117,549
118,536
119,548
120,535
121,547
122,534
123,547
124,535
125,548
126,535
127,547
128,546
129,534
130,548
131,536
132,548
133,535
134,548
135,534
136,548
137,534
138,550
139,534
140,548
141,547
142,535
143,548
144,532
145,547
146,535
147,547
148,535
149,548
150,533
151,546
152,549
153,534
154,550
155,536
156,549
157,535
158,547
159,534
160,547
161,540
162,548
163,549
164,537
165,549
166,534
167,548
168,535
169,548
170,536
171,551
172,535
173,545
174,549
175,536
176,547
177,533
178,550
179,538
180,551
181,536
182,549
183,536
184,547
185,547
186,535
187,547
188,535
189,564
190,535
191,549
192,536
193,548
194,535
195,547
196,549
197,534
198,548
199,535
200,547
201,535
202,550
203,537
204,549
205,536
206,548
207,551
208,533
209,546
210,533
211,549
212,534
213,549
214,535
215,547
216,533
217,549
218,549
219,534
220,549
221,536
222,547
223,534
224,550
225,537
226,549
227,535
228,550
229,548
230,535
231,547
232,534
233,546
234,537
235,548
236,534
237,549
238,536
239,547
240,547
241,535
242,547
243,535
244,548
245,538
246,551
247,537
248,547
249,537
250,550
251,549
252,535
253,550
254,539
255,549
256,535
257,547
258,536
259,548
260,535
261,549
262,550
263,536
264,550
265,535
266,548
267,536
268,549
269,534
270,548
271,535
272,547
273,549
