# trial, latency
0,1332485
1,619999
2,573789
3,585159
4,578228
5,569810
6,586814
7,603187
8,569535
9,579243
10,608387
11,575982
12,567026
13,568822
14,602530
15,568944
16,569419
17,590065
18,596896
19,568176
20,565928
21,634082
22,569351
23,567540
24,598633
25,616683
26,579455
27,597477
28,596217
29,568614
30,576692
31,566819
32,615310
33,629007
34,572563
35,610437
36,569592
37,568323
38,595522
39,618506
40,580864
41,566090
42,565870
43,573184
44,763072
45,590340
46,621477
47,569406
48,569180
49,612508
50,570021
51,567993
52,568406
53,627285
54,569550
55,567290
56,802599
57,575772
58,567586
59,566959
60,636376
61,579604
62,566353
63,592399
64,581880
65,591763
66,568886
67,675716
68,570443
69,586529
70,588903
71,572416
72,590839
73,568522
74,607550
75,570318
76,569425
77,569222
78,578307
79,634479
80,570544
81,602429
82,568448
83,566604
84,675544
85,741447
86,571538
87,569440
88,645375
89,568491
90,600799
91,587682
92,573700
93,597431
94,568155
95,605582
96,569822
97,566782
98,567146
99,577537
100,566512
101,567308
102,673073
103,569082
104,581354
105,566562
106,605562
107,604785
108,566680
109,598229
110,567292
111,566167
112,579268
113,618674
114,733377
115,583357
116,602316
117,567974
118,580877
119,569320
120,633883
121,572951
122,568902
123,621443
124,568746
125,608782
126,569134
127,638789
128,568501
129,568109
130,617934
131,570168
132,578757
133,567620
134,638337
135,570826
136,579840
137,585805
138,553991
139,549019
140,577372
141,585877
142,551247
143,707102
144,553337
145,557877
146,552211
147,548992
148,625124
149,556709
150,621304
151,553146
152,595706
153,565843
154,550832
155,597426
156,588209
157,551592
158,550421
159,584058
160,581785
161,550600
162,549471
163,623896
164,549301
165,547985
166,572425
167,552281
168,547931
169,547578
170,601566
171,552109
172,612647
173,562539
174,558771
175,548267
176,547976
177,626368
178,551456
179,548894
180,551824
181,597355
182,548018
183,547563
184,582088
185,557244
186,549797
187,548036
188,581939
189,568954
190,548059
191,547109
192,589380
193,549316
194,549043
195,550454
196,619171
197,549975
198,591793
199,593047
200,549723
201,548231
202,559229
203,608864
204,551538
205,547982
206,580962
207,556540
208,610114
209,548398
210,594734
211,551705
212,546038
213,559217
214,593623
215,547661
216,547700
217,550662
218,568505
219,551622
220,602660
221,597742
222,549580
223,548874
224,549833
225,621198
226,552324
227,549257
228,549048
229,557625
230,549652
231,548297
232,803977
233,555639
234,549081
235,550383
236,572116
237,551868
238,561240
239,581366
240,551779
241,548666
242,548843
243,583190
244,616905
245,576514
246,548282
247,557484
248,547664
249,574095
250,578202
251,551363
252,546339
253,546668
254,602103
255,551096
256,587181
257,549703
258,585036
259,548071
260,547774
261,585059
262,698479
263,588614
264,549275
265,599997
266,560578
267,548315
268,585300
269,557984
270,548606
271,549069
272,578783
273,562976
274,548431
275,547545
276,592681
277,562450
278,572743
279,549999
280,630394
281,552177
282,551527
283,581776
284,601043
285,549863
286,549581
287,597974
288,549729
289,668530
290,570621
291,556094
292,726485
293,602635
294,597456
295,551051
296,560337
297,572247
298,552139
299,549200
300,551851
301,583823
302,550222
303,579907
304,570945
305,600433
306,596259
307,549973
308,621599
309,550724
310,549411
311,548392
312,582213
313,565228
314,550475
315,617419
316,565808
317,648859
318,549860
319,580296
320,586964
321,550549
322,613314
323,558433
324,548169
325,562022
326,581428
327,689223
328,551138
329,549759
330,598484
331,552724
332,561921
333,558225
334,577524
335,551361
336,672559
337,589472
338,549619
339,564756
340,550894
341,665185
342,563017
343,549586
344,612310
345,552724
346,549129
347,549563
348,621670
349,553033
350,730684
351,596885
352,552894
353,565329
354,561012
355,595932
356,551960
357,551167
358,567929
359,564601
360,551048
361,548383
362,665514
363,554781
364,639731
365,550570
366,558254
367,550240
368,549545
369,575812
370,551090
371,548873
372,549596
373,595293
374,580462
375,553583
376,561219
377,616563
378,585816
379,552068
380,729334
381,556239
382,561739
383,551242
384,662563
385,549402
386,555271
387,583425
388,549007
389,548267
390,548769
391,611407
392,617368
393,550193
394,574826
395,563668
396,549522
397,549412
398,596146
399,551381
400,549741
401,548790
402,605765
403,548766
404,568062
405,593391
406,552436
407,586621
408,548407
409,609995
410,740908
411,571640
412,571477
413,554228
414,550980
415,548996
416,583913
417,552377
418,550897
419,572853
420,610085
421,659308
422,563428
423,581351
424,552555
425,550677
426,550122
427,584691
428,563799
429,549952
430,549536
431,610863
432,551584
433,609265
434,583199
435,625385
436,550781
437,549236
438,597902
439,707815
440,554834
441,592227
442,551993
443,550680
444,561365
445,627530
446,552157
447,549275
448,553404
449,671844
450,550942
451,549022
452,595453
453,550454
454,550092
455,548770
456,585380
457,612471
458,562678
459,567682
460,557678
461,551257
462,580281
463,616995
464,570400
465,567296
466,568134
467,620021
468,569330
469,728967
470,645020
471,584171
472,569195
473,569125
474,591769
475,570342
476,571691
477,600839
478,595308
479,571869
480,606372
481,614426
482,569247
483,566926
484,599358
485,570223
486,567249
487,567920
488,617803
489,568580
490,593812
491,589304
492,577830
493,570969
494,568207
495,640364
496,569611
497,569944
498,633862
499,572419
500,569109
501,568972
502,618185
503,631158
504,573065
505,599080
506,572434
507,568941
508,567501
509,623165
510,569908
511,568363
512,583333
513,575989
514,580626
515,573682
516,602148
517,592476
518,569067
519,567723
520,590115
521,567238
522,569617
523,612199
524,568244
525,568455
526,631690
527,586456
528,627490
529,569733
530,605920
531,601900
532,571333
533,570517
534,579360
535,572578
536,569602
537,602383
538,574307
539,567883
540,588518
541,598297
542,573832
543,573211
544,603790
545,602420
546,576187
547,591014
548,616741
549,580805
550,551316
551,575898
552,554564
553,553455
554,550472
555,582890
556,572080
557,551598
558,550947
559,584412
560,562679
561,610715
562,583535
563,551369
564,561858
565,549744
566,597141
567,551262
568,563469
569,550874
570,558147
571,550184
572,560138
573,630633
574,553339
575,564001
576,549818
577,597162
578,549593
579,549991
580,561965
581,559383
582,568229
583,551723
584,579411
585,583271
586,563338
587,554279
588,776735
589,655876
590,550330
591,597397
592,554299
593,549854
594,569516
595,594164
596,551872
597,569076
598,580635
599,551147
600,549976
601,549477
602,632658
603,591726
604,551634
605,550781
606,558495
607,549872
608,549037
609,582486
610,551848
611,563026
612,551705
613,591267
614,563213
615,712097
616,607663
617,586376
618,563543
619,550371
620,618919
621,554210
622,560017
623,549277
624,566218
625,549474
626,549114
627,585258
628,552445
629,571186
630,573129
631,587648
632,687143
633,552041
634,550734
635,559678
636,551996
637,550222
638,582368
639,552412
640,552023
641,549182
642,608296
643,552792
644,581089
645,593198
646,631032
647,552302
648,608813
649,603931
650,571026
651,553512
652,551622
653,560643
654,552092
655,551925
656,622268
657,554929
658,552427
659,556792
660,602127
661,553732
662,563110
663,548597
664,556370
665,560711
666,548629
667,578742
668,613764
669,554409
670,560385
671,596583
672,548234
673,584293
674,724972
675,555808
676,548216
677,550018
678,597350
679,551223
680,587256
681,561571
682,587912
683,549043
684,550068
685,572125
686,564801
687,576522
688,574309
689,586361
690,554786
691,551286
692,587181
693,591787
694,550754
695,552495
696,573376
697,555473
698,551167
699,550561
700,600321
701,555030
702,575652
703,552493
704,799276
705,557936
706,581375
707,587701
708,554023
709,553167
710,552305
711,605334
712,554135
713,555015
714,554412
715,563630
716,587323
717,555785
718,587273
719,626710
720,607797
721,560536
722,562816
723,549176
724,562602
725,580840
726,550653
727,579161
728,549248
729,584112
730,600666
731,549010
732,548653
733,577429
734,712498
735,552950
736,586958
737,551417
738,550516
739,613151
740,605330
741,550160
742,568119
743,562138
744,578430
745,550853
746,548975
747,581874
748,563392
749,601236
750,551753
751,627857
752,552282
753,548151
754,569552
755,554617
756,549111
757,548817
758,581422
759,575601
760,549669
761,548909
762,597067
763,592854
764,564533
765,581458
766,565374
767,548585
768,549789
769,595581
770,549747
771,549262
772,561469
773,581856
774,549331
775,623780
776,584941
777,550721
778,550074
779,548550
780,605241
781,552029
782,548956
783,576350
784,557903
785,549631
786,549997
787,628971
788,564839
789,548149
790,549551
791,597819
792,561505
793,667983
794,577328
795,565478
796,549997
797,548915
798,584602
799,599162
800,549239
801,549099
802,597873
803,564443
804,551529
805,577411
806,556896
807,560170
808,564687
809,581919
810,551759
811,627355
812,550496
813,587362
814,549922
815,547412
816,623985
817,552080
818,547937
819,561597
820,583993
821,569037
822,550332
823,731212
824,561722
825,551254
826,550419
827,581752
828,658784
829,552002
830,584391
831,620292
832,592761
833,549180
834,602523
835,555707
836,550258
837,551850
838,598927
839,552029
840,551572
841,550401
842,585396
843,550359
844,550609
845,581318
846,697104
847,554507
848,562902
849,600312
850,549058
851,550822
852,552284
853,711803
854,553606
855,602891
856,588708
857,550650
858,581429
859,553649
860,631440
861,549620
862,549411
863,582510
864,551411
865,548850
866,563296
867,593766
868,552808
869,549997
870,579916
871,559877
872,593165
873,581372
874,614904
875,554596
876,551693
877,549866
878,601970
879,552041
880,551298
881,549827
882,810294
883,556368
884,551584
885,599319
886,567733
887,589445
888,586634
889,602790
890,551286
891,571584
892,584177
893,552784
894,554189
895,553173
896,596523
897,552926
898,549509
899,557583
900,556174
901,575191
902,551125
903,585835
904,551646
905,548805
906,599093
907,600950
908,564188
909,564562
910,560581
