# trial, latency
0, 1790712
1, 35385
2, 26145
3, 25893
4, 25536
5, 24570
6, 24465
7, 24654
8, 25389
9, 24906
10, 24465
11, 24465
12, 24423
13, 25326
14, 25158
15, 26607
16, 24549
17, 25578
18, 25977
19, 24528
20, 24528
21, 24570
22, 25179
23, 26775
24, 24549
25, 24444
26, 24339
27, 24570
28, 26733
29, 24528
30, 24486
31, 24465
32, 50799
33, 26754
34, 24570
35, 24654
36, 24507
37, 26628
38, 24423
39, 24402
40, 24612
41, 24738
42, 26019
43, 24507
44, 24528
45, 24444
46, 25032
47, 25977
48, 24381
49, 24822
50, 24696
51, 25158
52, 25452
53, 24465
54, 24549
55, 24402
56, 25200
57, 25452
58, 24465
59, 24633
60, 24423
61, 24990
62, 25620
63, 40467
64, 37317
65, 25263
66, 25263
67, 24444
68, 24591
69, 24528
70, 25074
71, 25977
72, 24507
73, 24549
74, 24507
75, 25053
76, 25473
77, 24822
78, 24528
79, 24633
80, 25137
81, 25389
82, 24402
83, 24402
84, 24591
85, 25410
86, 25473
87, 24381
88, 24486
89, 24486
90, 25221
91, 25326
92, 24507
93, 24507
94, 24591
95, 25767
96, 24990
97, 24717
98, 24423
99, 24780
100, 25620
101, 24906
102, 24528
103, 24570
104, 24507
105, 25746
106, 25158
107, 24591
108, 24507
109, 24591
110, 26292
111, 25179
112, 44583
113, 26607
114, 25788
115, 25494
116, 24528
117, 24486
118, 25032
119, 26187
120, 24969
121, 24927
122, 25410
123, 24444
124, 25725
125, 24906
126, 24549
127, 25641
128, 24339
129, 26313
130, 25032
131, 24465
132, 24528
133, 24528
134, 26019
135, 24591
136, 24570
137, 24549
138, 24633
139, 26292
140, 24528
141, 24570
142, 24549
143, 24717
144, 25725
145, 24528
146, 24507
147, 24444
148, 24948
149, 25473
150, 24423
151, 24444
152, 24549
153, 25158
154, 25788
155, 24549
156, 24549
157, 24612
158, 25368
159, 25305
160, 24549
161, 24612
162, 24528
163, 25620
164, 24822
165, 24465
166, 24549
167, 24612
168, 25872
169, 24906
170, 24507
171, 24591
172, 24528
173, 26061
174, 24507
175, 24444
176, 24549
177, 24591
178, 26061
179, 24486
180, 24486
181, 24654
182, 24570
183, 25683
184, 24549
185, 24591
186, 24528
187, 24675
188, 25725
189, 24633
190, 24528
191, 25053
192, 25494
193, 25725
194, 45423
195, 27174
196, 25788
197, 26019
198, 24612
199, 24675
200, 24612
201, 25494
202, 25578
203, 24465
204, 24444
205, 24444
206, 25515
207, 25053
208, 24444
209, 24528
210, 24465
211, 25536
212, 24780
213, 24423
214, 24381
215, 24423
216, 25494
217, 24780
218, 24507
219, 24423
220, 24549
221, 25956
222, 24507
223, 24444
224, 24444
225, 24444
226, 26019
227, 24591
228, 24507
229, 24486
230, 24780
231, 26292
232, 24486
233, 24507
234, 24507
235, 24885
236, 25683
237, 24528
238, 24549
239, 24444
240, 24759
241, 25557
242, 24465
243, 24591
244, 24465
245, 24843
246, 25662
247, 24591
248, 24423
249, 24486
250, 25179
251, 25431
252, 24486
253, 24381
254, 24402
255, 26124
256, 25263
257, 24528
258, 24486
259, 24444
260, 25557
261, 24780
262, 24528
263, 24570
264, 24654
265, 26103
266, 24465
267, 24612
268, 24528
269, 24444
270, 26292
271, 24612
272, 24528
273, 24591
274, 24675
275, 25935
276, 46221
277, 26313
278, 24864
279, 26250
280, 24696
281, 24549
282, 24549
283, 24717
284, 25851
285, 24549
286, 24654
287, 24444
288, 25326
289, 25704
290, 24570
291, 24444
292, 24528
293, 25158
294, 25536
295, 24507
296, 24528
297, 24465
298, 25179
299, 25788
300, 24591
301, 24444
302, 24528
303, 25305
304, 25137
305, 24612
306, 24528
307, 24612
308, 25452
309, 24843
310, 24465
311, 24465
312, 24528
313, 25410
314, 24906
315, 24591
316, 24675
317, 24591
318, 25830
319, 36561
320, 24969
321, 24549
322, 25494
323, 25725
324, 24507
325, 24528
326, 24507
327, 25452
328, 25620
329, 24486
330, 24549
331, 24549
332, 25578
333, 25158
334, 24507
335, 24486
336, 24444
337, 25494
338, 24759
339, 24528
340, 24444
341, 24465
342, 25536
343, 24717
344, 24444
345, 24528
346, 24465
347, 25914
348, 24444
349, 24654
350, 24444
351, 24780
352, 26187
353, 24528
354, 24444
355, 24528
356, 24843
357, 46032
358, 28560
359, 24486
360, 25284
361, 26061
362, 24486
363, 24528
364, 24381
365, 24591
366, 25578
367, 24570
368, 24465
369, 24402
370, 24990
371, 25578
372, 24444
373, 24549
374, 24507
375, 25326
376, 25599
377, 24591
378, 24339
379, 24549
380, 25347
381, 27573
382, 25452
383, 25872
384, 24885
385, 24570
386, 24444
387, 26145
388, 24801
389, 24444
390, 24549
391, 24528
392, 25725
393, 24591
394, 24717
395, 24381
396, 24465
397, 26145
398, 24465
399, 24528
400, 24465
401, 24444
402, 26523
403, 24486
404, 24444
405, 24444
406, 24780
407, 25767
408, 24486
409, 24444
410, 24486
411, 25074
412, 25578
413, 24507
414, 24549
415, 24381
416, 25200
417, 25557
418, 24612
419, 24549
420, 24612
421, 25137
422, 25557
423, 24381
424, 24591
425, 24507
426, 25557
427, 25158
428, 24528
429, 24528
430, 24528
431, 25431
432, 24843
433, 24528
434, 24528
435, 24423
436, 45591
437, 27594
438, 25389
439, 24507
440, 25578
441, 24780
442, 24486
443, 24465
444, 24591
445, 25788
446, 24570
447, 25137
448, 24696
449, 24654
450, 26040
451, 24528
452, 24717
453, 24507
454, 24633
455, 26754
456, 24486
457, 24465
458, 24465
459, 24612
460, 25935
461, 24507
462, 24528
463, 24486
464, 24927
465, 25284
466, 24444
467, 24486
468, 24486
469, 25305
470, 25683
471, 24486
472, 24507
473, 24486
474, 25536
475, 25326
476, 24612
477, 24486
478, 24612
479, 25494
480, 24906
481, 24360
482, 24591
483, 24360
484, 25914
485, 24801
486, 24591
487, 24339
488, 24612
489, 25683
490, 24885
491, 24339
492, 24612
493, 24507
494, 25935
495, 24486
496, 24423
497, 24360
498, 24591
499, 25914
500, 24528
501, 24507
502, 24591
503, 24717
504, 25809
505, 24402
506, 24402
507, 24339
508, 25347
509, 25641
510, 24507
511, 24969
512, 24759
513, 25200
514, 25767
515, 24486
516, 24486
517, 24486
518, 51030
519, 25788
520, 24990
521, 25011
