# trial, latency
0, 176442
1, 12684
2, 10374
3, 11424
4, 9996
5, 10416
6, 10794
7, 10437
8, 9954
9, 10164
10, 10542
11, 10584
12, 10353
13, 10794
14, 13293
15, 10479
16, 9975
17, 10353
18, 10038
19, 10017
20, 10311
21, 10563
22, 11697
23, 10353
24, 10227
25, 10122
26, 10122
27, 10122
28, 10059
29, 10983
30, 11235
31, 11067
32, 10059
33, 10311
34, 10038
35, 9996
36, 10059
37, 10122
38, 10878
39, 10458
40, 10941
41, 10017
42, 10038
43, 10227
44, 10269
45, 10122
46, 10080
47, 11025
48, 9807
49, 10059
50, 10164
51, 10101
52, 9975
53, 10185
54, 10773
55, 10017
56, 10143
57, 10143
58, 9954
59, 9975
60, 10983
61, 10647
62, 10017
63, 13776
64, 10794
65, 10080
66, 9912
67, 10521
68, 10857
69, 10227
70, 10038
71, 14742
72, 10584
73, 10038
74, 11088
75, 10710
76, 9975
77, 10059
78, 10794
79, 10143
80, 10038
81, 10479
82, 10080
83, 10227
84, 9933
85, 10206
86, 10017
87, 10101
88, 10374
89, 10101
90, 10080
91, 10185
92, 9849
93, 10164
94, 10059
95, 10920
96, 10080
97, 10059
98, 9975
99, 11088
100, 10059
101, 10185
102, 9996
103, 10311
104, 9996
105, 9996
106, 10101
107, 10269
108, 10080
109, 10017
110, 10206
111, 10038
112, 9891
113, 10122
114, 10227
115, 9996
116, 9996
117, 9996
118, 10626
119, 10122
120, 12936
121, 10920
122, 10311
123, 10710
124, 10143
125, 10563
126, 9975
127, 10101
128, 9933
129, 10773
130, 9849
131, 9996
132, 9912
133, 10941
134, 10101
135, 10059
136, 9996
137, 10458
138, 9954
139, 10122
140, 10185
141, 10101
142, 9975
143, 10143
144, 10269
145, 10164
146, 10038
147, 10290
148, 10311
149, 10164
150, 10059
151, 10269
152, 10584
153, 10143
154, 9975
155, 9996
156, 10689
157, 10080
158, 9996
159, 10206
160, 10857
161, 10080
162, 10038
163, 10164
164, 11424
165, 10122
166, 9954
167, 10143
168, 10185
169, 9996
170, 10059
171, 10605
172, 11655
173, 10059
174, 9996
175, 10143
176, 9933
177, 10290
178, 10143
179, 10101
180, 9891
181, 10206
182, 10311
183, 10185
184, 10059
185, 9975
186, 10752
187, 10101
188, 10059
189, 9975
190, 10416
191, 10164
192, 9933
193, 10311
194, 10227
195, 10164
196, 9975
197, 10290
198, 9975
199, 10143
200, 10164
201, 10206
202, 10017
203, 10269
204, 10584
205, 9975
206, 9996
207, 10017
208, 10059
209, 10164
210, 9975
211, 10374
212, 9996
213, 10101
214, 10584
215, 10815
216, 9870
217, 10143
218, 10332
219, 10101
220, 10059
221, 10332
222, 13188
223, 10038
224, 10143
225, 10017
226, 10059
227, 10164
228, 10290
229, 10101
230, 10101
231, 10437
232, 10017
233, 10206
234, 9870
235, 11004
236, 9933
237, 10227
238, 10059
239, 10101
240, 9933
241, 10101
242, 10479
243, 10227
244, 9891
245, 10374
246, 9849
247, 10038
248, 9954
249, 10374
250, 9996
251, 10227
252, 10626
253, 10059
254, 9996
255, 10059
256, 10143
257, 10080
258, 9954
259, 10878
260, 9870
261, 10059
262, 10185
263, 9975
264, 9891
265, 10143
266, 10668
267, 10185
268, 10017
269, 10290
270, 10038
271, 10227
272, 11697
273, 9975
274, 9954
275, 10101
276, 10479
277, 10248
278, 10059
279, 10500
280, 9954
281, 10164
282, 9975
283, 10059
284, 9975
285, 10143
286, 10500
287, 10038
288, 10143
289, 10017
290, 10290
291, 10101
292, 9975
293, 10521
294, 9996
295, 10080
296, 9975
297, 10059
298, 9891
299, 10143
300, 10542
301, 10059
302, 9996
303, 10353
304, 9912
305, 10101
306, 10206
307, 10500
308, 9975
309, 10038
310, 10185
311, 10206
312, 9975
313, 10248
314, 10836
315, 10122
316, 10059
317, 10311
318, 10080
319, 10080
320, 10122
321, 10605
322, 9891
323, 10122
324, 10584
325, 10101
326, 9912
327, 10416
328, 9933
329, 10101
330, 10185
331, 10080
332, 9954
333, 10185
334, 10563
335, 10017
336, 9996
337, 10311
338, 10059
339, 10164
340, 9996
341, 10374
342, 10017
343, 10101
344, 10290
345, 10143
346, 10059
347, 10122
348, 10353
349, 10143
350, 9954
351, 10500
352, 10059
353, 10059
354, 9912
355, 10164
356, 10101
357, 10227
358, 10542
359, 10122
360, 9891
361, 10164
362, 10080
363, 10164
364, 10206
365, 10080
366, 9933
