# trial, microseconds
0,96
1,65
2,69
3,67
4,49
5,50
6,67
7,50
8,51
9,50
10,50
11,50
12,50
13,49
14,51
15,49
16,50
17,49
18,50
19,50
20,50
21,49
22,50
23,79
24,51
25,50
26,66
27,50
28,50
29,50
30,50
31,50
32,79
33,51
34,50
35,49
36,49
37,50
38,49
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,49
48,50
49,50
50,50
51,75
52,51
53,50
54,50
55,50
56,49
57,49
58,49
59,50
60,50
61,50
62,49
63,50
64,50
65,49
66,49
67,49
68,50
69,49
70,78
71,50
72,49
73,49
74,50
75,49
76,49
77,50
78,50
79,50
80,51
81,49
82,50
83,50
84,50
85,50
86,49
87,49
88,49
89,79
90,66
91,49
92,49
93,50
94,50
95,49
96,49
97,49
98,57
99,51
100,65
101,49
102,49
103,49
104,50
105,50
106,50
107,50
108,52
109,49
110,50
111,50
112,50
113,49
114,50
115,50
116,68
117,50
118,50
119,49
120,50
121,50
122,50
123,50
124,50
125,51
126,50
127,49
128,49
129,51
130,66
131,49
132,49
133,50
134,78
135,50
136,50
137,49
138,49
139,50
140,50
141,49
142,49
143,50
144,51
145,50
146,50
147,50
148,51
149,50
150,50
151,50
152,50
153,88
154,50
155,51
156,49
157,49
158,50
159,50
160,49
161,49
162,88
163,50
164,50
165,50
166,50
167,50
168,63
169,49
170,49
171,50
172,50
173,50
174,50
175,49
176,50
177,49
178,49
179,50
180,50
181,77
182,50
183,50
184,49
185,49
186,50
187,49
188,49
189,50
190,127
191,49
192,49
193,50
194,50
195,50
196,49
197,50
198,49
199,82
200,50
201,50
202,49
203,49
204,49
205,49
206,50
207,51
208,49
209,51
210,50
211,50
212,49
213,49
214,49
215,50
216,49
217,49
218,66
219,49
220,50
221,50
222,49
223,49
224,50
225,50
226,49
227,50
228,51
229,50
230,50
231,49
232,49
233,50
234,49
235,50
236,51
237,82
238,49
239,50
240,50
241,49
242,49
243,50
244,49
245,49
246,50
247,51
248,50
249,50
250,49
251,50
252,49
253,49
254,49
255,49
256,63
257,50
258,49
259,49
260,49
261,50
262,49
263,49
264,50
265,50
266,68
267,50
268,50
269,49
270,50
271,50
