# trial, us for 1000 calls
0, 140487
1, 154135
2, 154651
3, 154537
4, 151077
5, 151206
6, 129120
7, 129029
8, 130180
9, 129453
10, 129709
11, 129664
12, 129410
13, 128457
14, 128260
15, 128284
16, 128231
17, 127739
18, 127800
19, 127904
20, 127727
21, 140188
22, 144292
23, 150976
24, 151044
25, 151413
26, 151763
27, 151930
28, 146815
29, 131536
30, 149563
31, 149797
32, 150035
33, 150129
34, 150114
35, 141786
36, 127768
37, 127735
38, 127724
39, 127858
40, 127641
41, 151118
42, 155554
43, 154340
44, 150923
45, 151191
46, 151112
47, 144212
48, 128241
49, 128375
50, 128165
51, 137390
52, 142364
53, 142642
54, 143535
55, 143099
56, 143297
57, 131251
58, 128777
59, 128475
60, 128932
61, 133268
62, 142770
63, 142989
64, 137436
65, 128402
66, 128591
67, 129059
68, 128792
69, 128543
70, 131877
71, 142586
72, 132520
73, 128655
74, 128863
75, 128779
76, 128415
77, 129116
78, 128953
79, 129010
80, 128507
81, 128443
82, 128379
83, 131911
84, 142887
85, 142792
86, 143019
87, 137810
88, 128870
89, 128829
90, 133996
91, 143070
92, 142842
93, 142960
94, 138322
95, 128040
96, 128180
97, 128598
98, 128126
99, 128281
