# trial, latency
0,194
2,42
4,41
6,40
8,40
10,40
12,41
14,40
16,40
18,41
20,41
22,40
24,40
26,40
28,40
30,40
32,40
34,40
36,40
38,41
40,51
42,41
44,40
46,40
48,40
50,40
52,41
54,40
56,41
58,40
60,40
62,40
64,41
66,40
68,41
70,40
72,41
74,40
76,40
78,40
80,40
82,40
84,40
86,41
88,40
90,40
92,41
94,40
96,41
98,40
100,40
102,40
104,40
106,40
108,41
110,40
112,40
114,40
116,40
118,40
120,40
122,41
124,41
126,40
128,40
130,41
132,40
134,40
136,40
138,40
140,40
142,40
144,46
146,40
148,40
150,40
152,41
154,41
156,40
158,40
160,40
162,40
164,40
166,40
168,40
170,40
172,40
174,79
176,40
178,40
180,40
182,40
184,41
186,40
188,41
190,40
192,40
194,41
196,51
198,41
200,40
202,59
204,41
206,40
208,40
210,40
212,40
214,41
216,40
218,71
220,40
222,40
224,41
226,41
228,40
230,40
232,40
234,40
236,40
238,40
240,41
242,41
244,40
246,40
248,40
250,40
252,41
254,40
256,41
258,41
260,41
262,40
264,41
266,40
268,40
270,40
272,40
274,40
276,40
278,41
280,40
282,40
284,40
286,41
288,40
290,41
292,40
294,40
296,40
298,40
300,41
302,40
304,41
306,40
308,41
310,40
312,40
314,40
316,40
318,41
320,40
322,41
324,40
326,40
328,40
330,41
332,41
334,40
336,41
338,40
340,40
342,40
344,40
346,41
348,40
350,40
352,41
354,41
356,41
358,41
360,40
362,43
364,40
366,40
368,40
370,40
372,41
374,41
376,46
378,40
380,40
382,41
384,41
386,41
388,51
390,41
392,40
394,40
396,41
398,52
400,40
402,40
404,41
406,40
408,40
410,40
412,41
414,40
416,41
418,41
420,40
422,40
424,41
426,40
428,40
430,40
432,41
434,40
436,40
438,40
440,65
442,41
444,40
446,40
448,41
450,40
452,40
454,40
456,40
458,40
460,40
462,40
464,41
466,40
468,40
470,40
472,40
474,40
476,40
478,40
480,40
482,40
484,40
486,40
488,40
490,40
492,40
494,40
496,40
498,40
500,40
502,40
504,40
506,40
508,41
510,40
512,40
514,40
516,40
518,40
520,40
522,41
524,41
526,40
528,41
530,41
532,40
534,40
536,40
538,40
540,40
542,40
544,41
546,40
548,40
550,40
552,41
554,40
556,40
558,40
560,40
562,40
564,40
566,40
568,40
570,40
572,40
574,41
576,41
578,40
580,40
582,40
584,40
586,40
588,74
590,40
592,40
594,40
596,41
598,40
600,40
602,40
604,40
606,41
608,40
610,40
612,40
614,41
616,40
618,41
620,40
622,40
624,41
626,40
628,40
630,40
632,40
634,40
636,40
638,41
640,41
642,40
644,41
646,40
648,40
650,41
652,40
654,74
656,40
658,40
660,41
662,41
664,40
666,40
668,41
670,40
672,40
674,41
676,47
678,40
680,40
682,40
684,42
686,40
688,40
690,41
692,41
694,40
696,41
698,40
700,40
702,40
704,41
706,42
708,41
710,41
712,40
714,40
716,41
718,40
720,41
722,41
724,40
726,40
728,41
730,41
732,40
734,40
736,41
738,40
740,40
742,40
744,40
746,40
748,40
750,41
752,40
754,40
756,40
758,41
760,40
762,40
764,40
766,40
768,40
770,40
772,41
774,40
776,41
778,40
780,40
782,41
784,40
786,51
788,41
790,40
792,40
794,53
796,41
798,40
800,40
802,40
804,40
806,40
808,40
810,40
812,40
814,40
816,42
818,40
820,40
822,40
824,40
826,40
828,40
830,40
832,40
834,40
836,41
838,63
840,41
842,40
844,41
846,40
848,40
850,40
852,40
854,41
856,40
858,40
860,40
862,41
864,41
866,40
868,40
870,40
872,41
874,40
876,40
878,40
880,40
882,40
884,40
886,40
888,46
890,40
892,40
894,40
896,40
898,40
900,40
902,40
904,40
906,41
908,40
910,40
912,43
914,40
916,40
918,40
920,40
922,40
924,40
926,40
928,41
930,40
932,40
934,40
936,40
938,40
940,40
942,40
944,40
946,40
948,41
950,40
952,39
954,39
956,39
958,40
960,39
962,40
964,39
966,39
968,39
970,39
972,39
974,40
976,40
978,40
980,40
982,40
984,40
986,39
988,40
990,40
992,64
994,41
996,40
998,40
