n,latency,throughput,is_vm
10,0.115152579,428993.15065173025,true
10,0.126862239,607189.5357572889,true
10,0.087253341,485570.0647426753,true
10,0.118667185,742552.4506328477,true
10,0.059184257,507631.6831001669,true
10,0.150588139,379931.05431940826,true
10,0.154841006,411062.9344319783,true
10,0.130800256,555670.6662397108,true
10,0.174908026,477607.75181666337,true
10,0.126860076,567302.2374784858,true
10,0.142800865,568753.2735446183,true
10,0.127042079,493834.04943920544,true
10,0.122925936,577934.6509372664,true
10,0.123021942,518256.0829209733,true
10,0.130713199,463519.44817616884,true
10,0.15884869,482826.91064428753,true
10,0.143020809,411069.61707820074,true
10,0.154642066,506423.2783039112,true
10,0.059024651,440664.6318085175,true
10,0.150828786,463350.7853403141,true
10,0.142887053,367326.6093886191,true
10,0.142650302,451353.2948790526,true
10,0.146838629,355778.17934034305,true
10,0.066891605,419053.93247786356,true
10,0.138723016,462326.8886184001,true
10,0.114734778,435691.23522157484,true
10,0.14291138,398448.52697856707,true
10,0.118847232,424274.23936258187,true
10,0.150645419,455112.29960274097,true
10,0.139041967,451907.5861752023,true
10,0.086843861,493493.9651543075,true
10,0.126674112,398651.3422387989,true
10,0.130927486,466521.1753170762,true
10,0.154732006,663020.6772550194,true
10,0.174983,366074.60476351995,true
10,0.122971609,490327.79937005346,true
10,0.126803986,548548.0521895435,true
10,0.094997351,641876.455101286,true
10,0.138979525,637293.554693829,true
10,0.182757584,457229.653280429,true
10,0.154882256,420048.4123593906,true
10,0.13492717,428111.18313483807,true
10,0.16688057,513192.2296317773,true
10,0.15892564,407783.3633603192,true
10,0.15484158,377543.62015272386,true
10,0.138710275,333932.65125545475,true
10,0.14283862,431854.77968086663,true
10,0.122927602,379759.8716111259,true
10,0.14668786,491888.0162739899,true
10,0.086992835,482298.02748281305,true
10,0.138849279,411231.97665503446,true
10,0.13472883,505863.1540138955,true
10,0.138922452,477402.9280712921,true
10,0.150972869,328671.88704085746,true
10,0.094681765,402840.3659702308,true
10,0.15489758,500226.0908885372,true
10,0.15885081,363293.03585722786,true
10,0.078930495,431181.4859926918,true
10,0.106665114,457417.5291700585,true
10,0.139020357,417919.0464834592,true
10,0.130717252,455997.52679307497,true
10,0.126822682,330627.29524457076,true
10,0.146719616,444296.06685024215,true
10,0.110817368,466108.38995101914,true
10,0.142865245,458778.61210397945,true
10,0.094997082,438216.4343541878,true
10,0.150784905,407322.6018018847,true
10,0.138749092,335820.6831389558,true
10,0.158779253,441859.3040091867,true
10,0.1748862,459001.0891551268,true
10,0.150954485,441924.3934774956,true
10,0.146783986,403025.65246893064,true
10,0.138836609,371647.30041280144,true
10,0.146879907,397365.2662347284,true
10,0.126783582,406319.2981006295,true
10,0.150745653,388589.09228222544,true
10,0.122985859,506842.3720223011,true
10,0.190793754,388117.891357689,true
10,0.138828142,372984.9330945106,true
10,0.074770781,463790.2934194184,true
10,0.062968098,455851.9022159038,true
10,0.198777331,360698.89997024747,true
10,0.202783921,381197.69300017663,true
10,0.17482734,431671.51992273814,true
10,0.19495861,450254.5082686569,true
10,0.170887177,444508.06518447085,true
10,0.106944592,433937.33160412166,true
10,0.146803499,297019.7341925091,true
10,0.114664538,369657.97239469446,true
10,0.134696993,343874.2780097256,true
10,0.19485117,316698.60491580644,true
10,0.114796892,379313.0790149861,true
10,0.142686456,424815.97308058786,true
10,0.186934281,454588.64863893075,true
10,0.162827253,388025.14929103205,true
10,0.082818097,330697.0982730886,true
10,0.166762563,512474.55723066855,true
10,0.158910959,446142.7555994697,true
10,0.130795369,503947.5894506971,true
10,0.171038754,416059.4236284143,true
