n,latency,throughput,is_vm
5,0.070218472,41362.4230658931,true
5,0.042474511,80736.74975375291,true
5,0.039671384,64831.7831333633,true
5,0.040300669,76364.24727761459,true
5,0.039038209,74057.61682589055,true
5,0.132777395,75443.60841749486,true
5,0.066349821,88855.71608821595,true
5,0.053344661,61506.919528446946,true
5,0.079293978,78562.41259931598,true
5,0.066904191,67964.02437643008,true
5,0.052499883,55482.19576337953,true
5,0.079722086,89141.3901302653,true
5,0.066571225,79528.3439017666,true
5,0.05278198,119739.44696340762,true
5,0.066740568,91618.15994087575,true
5,0.073053269,68845.86787101038,true
5,0.046675183,94915.68323472649,true
5,0.065738134,140635.10814839817,true
5,0.033475364,84569.93369717197,true
5,0.046605599,53375.65429656225,true
5,0.066066208,162698.62790823798,true
5,0.039776781,93118.53990129435,true
5,0.039890972,77253.48413213436,true
5,0.07923376,55260.0167990451,true
5,0.066479083,91182.0845440288,true
5,0.066190021,97351.39309843523,true
5,0.079756102,86964.58801975835,true
5,0.079850825,89300.0660820489,true
5,0.092586356,68975.9825628716,true
5,0.066514331,82400.83060037246,true
5,0.079651109,72392.77423589428,true
5,0.066722117,83969.63657941288,true
5,0.072791438,76663.99194516991,true
5,0.04659433,88525.86725841291,true
5,0.053030506,61646.200128224096,true
5,0.039978003,75246.80953527571,true
5,0.072163179,65872.97056356522,true
5,0.086544463,64005.46179940688,true
5,0.032611655,34081.149489009964,true
5,0.06001747,71113.97674098867,true
5,0.040007535,99550.69453201219,true
5,0.039414983,53864.219076551824,true
5,0.039605908,57382.222987318535,true
5,0.07962298,51378.66072957698,true
5,0.065902967,43579.18774204607,true
5,0.040142116,90479.17772523283,true
5,0.053033004,67368.79926343447,true
5,0.065954619,79266.1015874358,true
5,0.03965385,125242.13479393495,true
5,0.066233179,51398.378552484595,true
5,0.039914088,61567.761478283,true
5,0.026614045,77866.66112948187,true
5,0.03959868,132512.34573354418,true
5,0.052445321,65393.669892754384,true
5,0.053416721,78952.7704527152,true
5,0.040098413,61704.01816566295,true
5,0.039566212,118966.41974525324,true
5,0.079362923,86256.46923519264,true
5,0.039947053,108181.3985691207,true
5,0.079146574,102044.98142781337,true
5,0.079766314,83864.47500838645,true
5,0.066457074,45691.031155191115,true
5,0.076225359,51237.38279448685,true
5,0.083191018,92324.16862086157,true
5,0.079688732,72070.68692974068,true
5,0.079789303,92341.78773701059,true
5,0.039909157,69036.93476009664,true
5,0.039353313,64661.861571886744,true
5,0.065941127,77030.12905114287,true
5,0.033231673,90029.52968573691,true
5,0.033443898,72382.9928919901,true
5,0.052526728,98788.84871475708,true
5,0.033071806,50690.91720145584,true
5,0.046552959,103835.69040350549,true
5,0.065679262,64467.88210113722,true
5,0.027314504,86642.09881820176,true
5,0.065384,74285.74258504479,true
5,0.05300301,138092.30089391748,true
5,0.040097199,38300.87121715062,true
5,0.03281976,75709.77917981072,true
5,0.046288898,60759.73978628774,true
5,0.03996164,52928.90941746443,true
5,0.039323059,54783.31373308109,true
5,0.065899113,76438.9634876551,true
5,0.027069039,88230.62308466023,true
5,0.066110664,67682.20048370212,true
5,0.066015772,69359.03008332332,true
5,0.040251638,78625.83015772342,true
5,0.079144545,54610.192446318186,true
5,0.039841758,86182.62673155262,true
5,0.039660576,108313.41569966856,true
5,0.066252803,76949.91073810354,true
5,0.053522982,106109.80242354788,true
5,0.053151506,87062.51088281386,true
5,0.052714026,99748.63344372182,true
5,0.066213593,72784.44159776406,true
5,0.040963144,108757.91213810805,true
5,0.040014865,138580.9312638581,true
5,0.031951817,55067.49439229348,true
5,0.046494893,114578.16140243669,true
