trial,vm,rust,c
0,0.00580403,0.00010342,0.00010233
1,0.00032097,0.00010254,0.00010221
2,0.00031435,0.00010231,0.00010227
3,0.00033533,0.00010253,0.00010214
4,0.00031318,0.00010232,0.00010223
5,0.00031237,0.00010234,0.00010219
6,0.00033067,0.00010232,0.00010226
7,0.00031445,0.00010222,0.00010214
8,0.00031290,0.00010224,0.00010211
9,0.00034565,0.00010222,0.00010219
10,0.00031806,0.00010242,0.00011161
11,0.00032137,0.00010233,0.00010212
12,0.00031413,0.00010222,0.00010216
13,0.00031326,0.00010236,0.00011958
14,0.00031508,0.00010236,0.00010228
15,0.00034647,0.00010235,0.00010218
16,0.00031461,0.00010227,0.00010214
17,0.00031343,0.00010238,0.00010214
18,0.00031215,0.00010233,0.00010210
19,0.00031284,0.00010232,0.00010216
20,0.00031278,0.00010229,0.00010211
21,0.00032341,0.00011725,0.00010217
22,0.00031919,0.00010224,0.00010211
23,0.00031349,0.00010232,0.00010214
24,0.00031596,0.00010240,0.00010218
25,0.00031344,0.00010224,0.00010218
26,0.00031294,0.00010220,0.00010217
27,0.00031233,0.00010221,0.00010224
28,0.00032481,0.00010228,0.00011187
29,0.00031667,0.00010229,0.00010220
30,0.00031363,0.00010242,0.00010209
31,0.00031301,0.00010234,0.00010222
32,0.00031242,0.00011153,0.00009889
33,0.00030352,0.00009897,0.00009891
34,0.00034921,0.00011218,0.00009880
35,0.00030505,0.00009901,0.00009886
36,0.00033871,0.00009893,0.00009885
37,0.00030340,0.00009902,0.00009886
38,0.00030336,0.00009906,0.00009891
39,0.00030375,0.00009896,0.00009884
40,0.00030218,0.00011281,0.00009891
41,0.00030615,0.00009906,0.00009889
42,0.00030319,0.00009895,0.00009883
43,0.00030179,0.00009897,0.00009875
44,0.00036017,0.00009906,0.00009896
45,0.00030316,0.00009908,0.00009889
46,0.00030255,0.00009903,0.00011075
47,0.00034290,0.00009891,0.00009883
48,0.00031447,0.00009592,0.00009582
49,0.00029648,0.00009583,0.00009583
50,0.00029370,0.00019288,0.00009892
51,0.00031125,0.00013258,0.00009570
52,0.00029665,0.00009584,0.00009575
53,0.00038201,0.00010991,0.00009576
54,0.00032453,0.00009589,0.00009580
55,0.00032310,0.00009598,0.00009566
56,0.00034123,0.00010709,0.00009582
57,0.00032311,0.00009587,0.00009571
58,0.00031440,0.00013228,0.00012081
59,0.00032354,0.00009587,0.00009569
60,0.00032336,0.00009606,0.00009574
61,0.00032489,0.00009587,0.00009584
62,0.00033486,0.00009584,0.00009568
63,0.00031480,0.00009889,0.00009888
64,0.00031355,0.00011257,0.00009879
65,0.00034921,0.00009903,0.00009896
66,0.00031458,0.00009914,0.00009892
67,0.00031344,0.00009904,0.00009893
68,0.00031342,0.00009891,0.00009883
69,0.00031320,0.00009903,0.00009887
70,0.00036951,0.00009912,0.00009882
71,0.00031371,0.00009904,0.00009882
72,0.00032325,0.00009897,0.00009886
73,0.00031367,0.00009910,0.00009888
74,0.00031336,0.00009899,0.00009882
75,0.00031320,0.00009889,0.00009891
76,0.00033030,0.00009902,0.00009896
77,0.00031372,0.00009901,0.00009886
78,0.00031317,0.00009899,0.00009894
79,0.00031333,0.00010772,0.00009890
80,0.00031426,0.00009900,0.00009893
81,0.00031257,0.00009903,0.00009882
82,0.00034449,0.00009901,0.00009890
83,0.00031414,0.00009898,0.00009891
84,0.00031322,0.00009905,0.00009879
85,0.00031274,0.00009902,0.00009895
86,0.00032052,0.00010801,0.00010843
87,0.00031548,0.00009904,0.00009882
88,0.00031271,0.00009898,0.00009889
89,0.00031373,0.00009906,0.00009897
90,0.00031324,0.00009908,0.00009887
91,0.00031953,0.00009899,0.00009888
92,0.00031290,0.00009895,0.00009891
93,0.00031766,0.00010621,0.00011356
94,0.00031491,0.00009891,0.00010317
95,0.00031383,0.00009901,0.00009892
96,0.00031269,0.00009909,0.00009886
97,0.00031310,0.00009911,0.00009885
98,0.00037731,0.00009911,0.00009886
99,0.00031384,0.00011233,0.00009902
100,0.00031476,0.00010750,0.00009898
101,0.00031431,0.00009888,0.00009881
102,0.00031343,0.00009898,0.00009884
103,0.00031281,0.00009903,0.00009891
104,0.00031298,0.00017411,0.00009889
105,0.00040161,0.00009901,0.00009881
106,0.00037919,0.00009896,0.00011373
107,0.00034048,0.00009899,0.00009884
108,0.00031534,0.00009911,0.00009901
109,0.00031269,0.00009909,0.00009889
