minimum vm,kmain()
80961.77406030097,69943.53528340106
81327.96861521159,70486.88179215998
81291.66604343055,70572.23283275744
81413.61388681781,70675.51872827037
81425.69884623856,70739.4029014332
81349.7882261638,73084.16796671221
91913.80911229827,79546.95147445047
91664.5568541164,79503.78191540194
91612.3321559011,79499.49028901801
91742.942513597,79384.13155665297
91583.97320765814,79380.61528549953
91647.84754490538,79394.17165797975
91615.34527716482,79351.60218819979
91480.42776248022,79477.45796755159
91537.0349689781,79495.98275000771
91600.34038686487,79491.21172985039
91840.31834058504,79482.16416262083
91525.52363124953,79482.56216172222
91590.39018971667,79468.19249834567
91555.48931007262,79492.09006008648
91615.06829674303,79501.38006445655
91679.70046408263,79511.5130683135
91548.11338563416,79560.95084883578
91675.49807298102,79524.19718533647
91583.53705327955,79468.45142212768
91652.35820601141,79555.00747459072
91582.06925655874,79503.85776569037
91542.11294209577,79587.0577755083
91621.20422513016,79682.01775267547
91683.86961673576,79464.99082417751
91571.37672894771,79511.38030484028
91550.73673166617,79506.34194262457
91555.11210328368,79609.20795127215
91509.76935420182,79420.24491932809
91622.69006600224,79886.90570533108
91624.88113962294,79547.70447995966
92009.9904447625,79385.22179000497
91526.19378987452,79335.24679370566
91624.46138560375,79337.4938444022
91734.94728130182,79368.9344276087
91526.26918333398,79356.67763428856
91523.78126475248,79316.29984067735
91602.83246950335,79264.49523695685
91751.79780766419,79291.60876727318
91599.51811325511,79350.771035572
91781.13686540801,79338.903823556
91714.71294762283,79316.89120617593
91665.18703777256,79326.04591391538
91665.45591876975,79340.90557646762
91538.03208426332,79240.28220951067
91537.23606611039,79311.97810735606
91541.4257906616,79412.17204361189
91571.01616173492,79244.99803591272
91606.0547571528,79301.021761945
92025.82428681136,79301.27330882501
91614.33808365892,79397.66391429372
91622.80759219568,79318.1494599822
91561.75139684319,79344.69533501592
91772.8486172906,79397.93498674768
91731.37933264504,79348.41619767786
91578.83188269411,79268.64842515391
91629.84292354176,79328.92174622313
91871.42740728635,79277.3143446196
91741.25919098337,79284.88836370579
91703.70349991768,79294.54497935488
91626.10684337067,79430.26261233425
91559.22801653779,79468.64719488788
91513.35358279812,79369.72186388998
91549.47113701513,79360.19178501389
91891.4523030525,79371.78187110403
91622.08565034135,79357.23811417047
91646.95722479084,79359.96505622019
91570.79814572797,79420.35214825302
91448.67968682485,79363.24015348215
91565.255856674,79320.77933934833
91641.66605648592,79281.45001966576
91629.42312405937,79318.9295973906
91612.080372011,79329.19864261395
91696.06824681611,79309.38655141214
91685.59286517386,79108.89212426677
91499.33649256142,79314.90953737994
91565.65829985464,79706.19022982244
97011.72832990818,84303.70409399863
96338.9280560153,83363.531772718
97217.2722427772,86535.17819410429
99586.04074582773,87283.4247292621
100177.99626376145,88023.85305579647
101102.34924451774,88228.71069885168
101164.71953244905,87918.29436398894
101099.56902264722,88257.73234818876
101022.09100575068,88195.18865259536
101442.91386248865,87919.00549537744
101332.09140722106,88240.27969344975
101404.30769555263,88294.13956478052
101506.77674467565,88273.92174728693
101268.80700990783,88197.05550602311
101305.84243963109,88276.61796033695
101206.09325453293,88306.71607015333
101535.18148347571,88342.36766556265
101107.37856371915,88212.96585928867
